category,district,total_price,land_area_aana,build_up_area,floors,facing,road_width_feet,bedrooms,bathrooms,parking_cars,parking_bikes,house_age,is_under_construction,amenity_count,has_modular_kitchen,has_parquet,has_drainage,has_solar,has_parking,has_garden,is_wide_road,is_area_estimated,luxury_score,price_segment,is_incomplete_listing,log_land,log_build_up,neighborhood_encoded
0,1,25000000.0,3.0,1796.81,2.5,7,13.0,4.0,3.0,2.0,5.0,8.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.3862943611198906,7.4943245364778175,17.256953456397962
0,3,120000000.0,11.0,6588.31,2.5,7,20.0,4.0,4.0,0.0,2.0,2.0,0,11,1,0,0,0,1,0,0,1,2,4,0,2.4849066497880004,8.79320391791758,17.618032236068405
0,2,62500000.0,6.4,2870.0,2.5,3,13.0,5.0,6.0,2.0,3.0,4.0,0,11,0,0,1,0,1,0,0,0,2,4,0,2.0014800002101243,7.962415680121064,17.598201792760147
0,1,160000000.0,12.0,7187.25,2.5,1,12.0,7.0,7.0,1.0,0.0,4.0,0,11,1,1,0,0,1,0,0,1,3,4,0,2.5649493574615367,8.880203027487838,17.66719878919104
0,2,28000000.0,2.2,1317.66,2.5,1,12.0,4.0,4.0,1.0,2.0,4.0,0,11,1,1,0,0,1,0,0,1,3,2,0,1.1631508098056809,7.184371348449984,17.378252251811972
0,2,59900000.0,7.0,4192.56,2.5,0,20.0,5.0,5.0,1.0,0.0,4.0,0,11,0,1,0,0,1,0,0,1,2,4,0,2.0794415416798357,8.341305294179508,17.136122222322758
0,2,48000000.0,5.0,2994.69,2.5,4,25.0,6.0,4.0,2.0,2.0,4.0,0,11,1,1,0,0,1,0,0,1,3,4,0,1.791759469228055,8.004929867988526,17.598201792760147
0,2,25000000.0,3.1,2228.05,3.0,1,13.0,5.0,3.0,1.0,0.0,6.0,0,11,1,1,0,0,1,0,0,1,3,1,0,1.410986973710262,7.709330764717954,17.136122222322758
0,2,40000000.0,4.0,2395.75,2.5,2,18.0,4.0,5.0,1.0,0.0,6.0,0,11,0,1,1,0,1,0,0,1,3,3,0,1.6094379124341003,7.781868931957106,17.598201792760147
0,2,60000000.0,7.0,4192.56,2.5,0,13.0,5.0,3.0,2.0,3.0,6.0,0,11,0,1,0,0,1,0,0,1,2,4,0,2.0794415416798357,8.341305294179508,17.374887052914218
0,2,25000000.0,3.5,2096.28,2.5,7,12.0,4.0,4.0,1.0,3.0,11.0,0,11,1,1,0,0,1,0,0,1,3,1,0,1.5040773967762742,7.648396546070395,17.136122222322758
0,2,27000000.0,3.3,1581.19,2.0,0,12.0,5.0,4.0,3.0,3.0,4.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.4586150226995167,7.366565242253835,17.136122222322758
0,2,27500000.0,3.0,1796.81,2.5,1,12.0,5.0,4.0,1.0,0.0,8.0,0,11,1,1,0,0,1,0,0,1,3,2,0,1.3862943611198906,7.4943245364778175,17.09891623073532
0,1,110000000.0,11.0,6588.31,2.5,5,16.0,5.0,5.0,4.0,4.0,5.0,0,11,0,1,1,0,1,0,0,1,3,4,0,2.4849066497880004,8.79320391791758,17.66719878919104
