ad_id,Type,Title,location,Price,Land_Size,Road_Type,Road_Size
HB-24EAAA,LandPlotted,"4 aana 1 paisa land is ""FOR SALE"" at Kavresthali.","All Core Kathmandu, Kathmandu",3600000.0,4.0,"Korean school, Padamsal",AboveTwentyFeet
HB-FBEF4C,Land - Individual,"५ आना जग्गा बिक्रीमा रानीबनमा KTM, ५ Aana sale","Nagarjun-01, नागार्जुन नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44601, नेपाल",5100000.0,5.0,Pitched,13 - 20 Ft.
HB-0E0212,LandIndividual,land on sale,"Mulpani (Kageshwor), Kathmandu",19000000.0,4.3,Pitched,NineToTwelveFeet
HB-6F556A,LandIndividual,1 Ropani Land on sale in Budhanilkantha Height,"budanilkantha, Budhanilkantha, Kathmandu",3800000.0,16.0,Gravel,ThirteenToTwentyFeet
HB-3E2B8B,Land - Commercial Use,Maharajgunj Ma 24 Aana Jagga Ghar Bikrima,"Maharajganj Sadak, Narayan Gopal Chowk, Maharajganj, Kathmandu, Kathmandu Metropolitan City, Kathmandu",8500000.0,24.0,Pitched,13 - 20 Ft.
HB-07DF62,LandIndividual,3 Ropani land with Trees on sale in Budhanilkantha,"budanilkantha, Budhanilkantha, Kathmandu",8500000.0,48.0,Pitched,ThirteenToTwentyFeet
HB-5816E9,Land - Plotted,Champi Land For Sale,"Dukuchhap, Godawari, Lalitpur",1175000.0,5.0,Gravel,13 - 20 Ft.
HB-0F05E9,LandIndividual,"Land on sale at Basundhara (Dhaarapati), Kathmandu","vasundhara, Basundhara, Kathmandu",6000000.0,15.5,Pitched,ThirteenToTwentyFeet
HB-600B8C,LandIndividual,Land for Sale at Kumaripati,"Manbhawan Patan Hospital Lagankhel Jawalakhel, Kumaripati Area, Lalitpur",165000000.0,11.0,Pitched,ThirteenToTwentyFeet
HB-557747,LandIndividual,Land for sale in Budhanilkantha,"budanilkantha, Budhanilkantha, Kathmandu",5000000.0,12.0,Pitched,ThirteenToTwentyFeet
HB-C6118A,Non,4.5 aana Land for Sale in Special Chowk,"budanilkantha, Budhanilkantha, Kathmandu",4000000.0,4.5,ThirteenToTwentyFeet,LandIndividual
HB-881952,22 ropani,22 Ropani land on sale at Dakshinkali Nagarpalika,"27DR003, Pharping, Dakshinkali-06, Dakshinkali, दक्षि‍णकाली नगरपालिका, काठमाडौं, बाग्मती प्रदेश, नेपाल",250000.0,352.0,ThirteenToTwentyFeet,LandIndividual
HB-5E31B2,LandPlotted,3/4and 5 aana land plot for sale-Dryport Kirtipur,"kritipur kritipur, Kirtipur (Kritipur), Kathmandu",2650000.0,26.5,Gravel,ThirteenToTwentyFeet
HB-3874C9,LandIndividual,"Land on sale at Chandol (Panchakanya), Kathmandu","Chandol, Kathmandu",7500000.0,4.0,Pitched,ThirteenToTwentyFeet
HB-7E363E,16,VARIOUS PLOTS FOR SALE IN FARSIDOL,"Dakshinkali, Kathmandu",1600000.0,16.0,LandPlotted,Non
HB-C2BE3B,.,10.5 Aana land sale tokha 700 from grande hospital,"Tokha, Kathmandu",4000000.0,10.5,NineToTwelveFeet,LandIndividual
HB-F1AA21,Land - Individual,4 Aana Land On Sale At Pashupatinath Area,"Mitrapark Area, Kathmandu",10000000.0,4.0,Near Mitra Park,9 - 12 Ft.
HB-30BFA0,5 aana 3 paisa,5 AANA 3 PAISA LAND FOR SALE IN CHAPAGAUN,"Chapagaun (Bajrabarahi), Lalitpur",3000000.0,5.0,LandIndividual,Non
HB-AF342C,LandIndividual,"Land on sell at Gairidhara,Kathmandu","gairedhara gharidhara, Gairidhara, Kathmandu",7000000.0,5.0,Pitched,ThirteenToTwentyFeet
HB-DD7BD8,LandIndividual,"Land on sell Dachi,Kathmandu","Thali (Kageshwor), Kathmandu",1300000.0,336.0,Pitched,ThirteenToTwentyFeet
HB-650771,Non,"7 aana Land for Sale at Chandragiri, Kathmandu","chandagiri, Chandragiri, Kathmandu",2800000.0,7.0,ThirteenToTwentyFeet,LandPlotted
HB-3D15A1,LandIndividual,Land For Sale at Chakupat,"Jwagal Bakhundole Bhakundole Chakupat Pulchowk Sanepa Kupandol kopondole, Kupondole Area, Lalitpur",61500000.0,7.3,Pitched,ThirteenToTwentyFeet
HB-4816D8,LandIndividual,1 Ropani Land on sale in Budhanilkantha Height,"budanilkantha, Budhanilkantha, Kathmandu",4300000.0,15.75,Gravel,ThirteenToTwentyFeet
HB-4BE66A,LandPlotted,"Planning Land on Sale at Chapagaun, GJBLOS 3100","Chapagaun (Bajrabarahi), Lalitpur",2000000.0,4.4375,Pitched,ThirteenToTwentyFeet
HB-BB8BAD,3.5,"Land on sale in Sankata Homes, Sitapaila.","All Outskirt Kathmandu, Kathmandu",3850000.0,3.4886778670562455,LandIndividual,Non
HB-1FE48B,LandIndividual,Suryabinayak Ganesthan road Land sale,"Ghalate, Suryabinayak-06, Suryabinayak, सूर्यविनायक नगरपालिका, भक्तपुर, बाग्मती प्रदेश, 89130, नेपाल",36000000.0,11.75,Soil,LessThan5Ft
HB-9930FB,LandIndividual,Kakrabari Land sale,"Basnetgau, Suryabinayak-09, Mahatgau, सूर्यविनायक नगरपालिका, भक्तपुर, बाग्मती प्रदेश, 89130, नेपाल",43200000.0,144.0,Gravel,NineToTwelveFeet
HB-1D960F,LandIndividual,Nagarkot Land Sale near buspark,"Nagarkot Buddha Peace Garden Hiking Trail, Changunarayan-06, चाँगुनारायण नगरपालिका, भक्तपुर, बाग्मती प्रदेश, 44812, नेपाल",32000000.0,16.0,Pitched,AboveTwentyFeet
HB-1AA507,LandIndividual,"Land on sell at Kapan Gumba , Kathmandu","kopan, Kapan, Kathmandu",12000000.0,4.0,Pitched,ThirteenToTwentyFeet
