Price,Location,Road_Access,Facing_Direction,Land_AREA
Rs. 34 Lac/aana,"Lubhu, Lalitpur",13 Feet /Soil Stabilized,North-East,3.1 aana
Rs. 51 Lac/aana,"Bhaisepati, Lalitpur",20 Feet /Soil Stabilized,North-West,
Rs. 55 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 75 Lac/aana,"Dhobighat, Lalitpur",,East,
Rs. 36 Lac/aana,"Lubhu, Lalitpur",13 Feet /Soil Stabilized,South,3.1 aana
Rs. 51 Lac/aana,"Chabahil, Kathmandu",20 Feet /Black Topped,South,
Rs. 25 Lac/aana,"Thankot, Kathmandu",13 Feet /Black Topped,East,
Rs. 55 Lac/aana,"Raniban, Kathmandu",,North,
Rs. 30 Lac/aana,"Tokha Chandeshwori, Kathmandu",14 Feet /Gravelled,South,28.2 aana
Rs. 18 Lac/aana,"Chapagaun, Lalitpur",20 Feet /Black Topped,North-East,4.2 aana
Rs. 25 Lac/aana,"Lamatar, Lalitpur",20 Feet /Gravelled,North-East,
Rs. 37 Lac/aana,"Bode, Bhaktapur",25 Feet /Black Topped,North-West,
Rs. 23.5 Lac/aana,"Dahachowk, Kathmandu",15 Feet /Black Topped,South-West,
Rs. 55 Lac/aana,"Bansbari, Kathmandu",20 Feet /Black Topped,West,5.1 aana
Rs. 16 Lac/aana,", Lalitpur",20 Feet /Paved,South-East,
Price on call,"Bhanimandal, Lalitpur",,North,
Rs. 38 Lac/aana,"Satungal, Kathmandu",20 Feet /Dhalan,South-East,4.1 aana
Rs. 80 Lac/aana,"Golfutar, Kathmandu",22 Feet /Black Topped,South,15.2 aana
Rs. 45 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Black Topped,North,
Rs. 24 Lac/aana,"Machhe Gaun, Kathmandu",13 Feet /Soil Stabilized,North-West,10.2 aana
Rs. 34 Lac/aana,"Rarahill, Kathmandu",13 Feet /Soil Stabilized,North-East,4.2 aana
Rs. 34 Lac/aana,"Rarahill, Kathmandu",13 Feet /Soil Stabilized,North-East,5.2 aana
Rs. 23 Lac/aana,"Jhulpokhari, Kathmandu",13 Feet /Soil Stabilized,East,8.2 aana
Rs. 47 Lac/aana,"Greenland Chowk, Kathmandu",13 Feet /Black Topped,West,
