Price,Location,Road_Access,Facing_Direction,Land_AREA
Rs. 40 Lac/aana,"Helmet Danda, Bhaktapur",13 Feet /Dhalan,North-West,2.2 aana
Rs. 3.1 Cr,"Mahadevtar, Kathmandu",13 Feet /Black Topped,West,5.2 aana
Rs. 28 Lac/aana,"Lubhu, Lalitpur",20 Feet /Dhalan,South-West,
Rs. 80 Lac,"Pepsicola, Kathmandu",20 Feet /Soil Stabilized,East,
Rs. 24 Lac/aana,"Sudal, Bhaktapur",32 Feet /Black Topped,East,4.2 aana
Rs. 21 Lac/aana,"Nagdaha, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 62 Lac/aana,"Pepsicola, Kathmandu",20 Feet /Soil Stabilized,West,5.3 aana
Rs. 43 Lac/aana,"Imadol, Lalitpur",13 Feet /Paved,East,3.3 aana
Rs. 38 Lac/aana,"Balkot, Bhaktapur",20 Feet /Dhalan,South,
Rs. 37 Lac/aana,"Satungal, Kathmandu",13 Feet /Gravelled,North,3.1 aana
Rs. 37 Lac/aana,"Satungal, Kathmandu",13 Feet /Gravelled,South,
Rs. 24 Lac/aana,"Dadhikot, Bhaktapur",20 Feet /Gravelled,East,5.2 aana
Rs. 28 Lac/aana,"Lubhu, Lalitpur",20 Feet /Dhalan,South-West,
Rs. 57 Lac/aana,"Pepsicola, Kathmandu",20 Feet /Soil Stabilized,West,
Price on call,"Devdaha, Rupandehi",,South,
Rs. 58 Lac/aana,"Imadol, Lalitpur",20 Feet /Dhalan,East,8.3 aana
Rs. 40 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Soil Stabilized,South,4.2 aana
Rs. 65 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Soil Stabilized,South-East,3.3 aana
Rs. 32 Lac/aana,"Tikathali, Lalitpur",10 Feet /Soil Stabilized,North,2.3 aana
Rs. 68 Lac/aana,"Baluwatar, Kathmandu",12 Feet /Black Topped,North,4.1 aana
Rs. 1.7 Cr,"Panchetar, Kathmandu",20 Feet /Black Topped,South,4.2 aana
Rs. 43 Lac/aana,"Sanothimi, Bhaktapur",12 Feet /Dhalan,South,4.2 aana
Rs. 50 Lac/aana,"Kaushaltar, Bhaktapur",13 Feet /Dhalan,East,
Rs. 42 Lac/aana,"Tikathali, Lalitpur",13 Feet /Soil Stabilized,South,
Rs. 38 Lac/aana,"Hattiban, Lalitpur",13 Feet /Soil Stabilized,West,4.2 aana
Rs. 37 Lac/aana,"Hattiban, Lalitpur",13 Feet /Dhalan,North,
Rs. 50 Lac/aana,"Hattiban, Lalitpur",13 Feet /Soil Stabilized,North,
Rs. 36 Lac/aana,"Sanothimi, Bhaktapur",13 Feet /Soil Stabilized,South,3.1 aana
Rs. 32 Lac/aana,"Tikathali, Lalitpur",10 Feet /Soil Stabilized,North,2.3 aana
Rs. 21 Lac/aana,"Nagdaha, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 40 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,South-East,2.2 aana
Rs. 31 Lac/aana,"Duwakot, Bhaktapur",13 Feet /Soil Stabilized,East,
Rs. 7.5 Cr,"Harisiddhi, Lalitpur",13 Feet /Dhalan,South-West,
Rs. 28 Lac/aana,"Lubhu, Lalitpur",20 Feet /Dhalan,South-West,
Rs. 4 Cr,"Jawalakhel, Lalitpur",12 Feet /Black Topped,South,
Rs. 36 Lac/aana,"Hattiban, Lalitpur",13 Feet /Soil Stabilized,South,3.3 aana
Rs. 44 Lac/aana,"Shital Height, Lalitpur",20 Feet /Dhalan,South-West,4.2 aana
Rs. 48 Lac/aana,"Hattiban, Lalitpur",26 Feet /Dhalan,West,
Rs. 45 Lac,"Pikhel, Bhaktapur",13 Feet /Gravelled,,3.3 aana
Rs. 43 Lac/aana,"Imadol, Lalitpur",12 Feet /Soil Stabilized,North,3.1 aana
Rs. 54 Lac/aana,"Hattiban, Lalitpur",20 Feet /Dhalan,West,
Rs. 67 Lac/aana,"Bafal, Kathmandu",13 Feet /Dhalan,East,
Rs. 21 Lac/aana,"Nagdaha, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 30 Lac/aana,"Chobhar, Kathmandu",12 Feet /Dhalan,East,
Price on call,"Setipakha, Lalitpur",23 Feet /Dhalan,East,5.3 aana
"Rs. 35,000 /m","Suryabinayak, Bhaktapur",,South,
Rs. 45 Lac/aana,"Manamaiju, Kathmandu",,East,
Rs. 36 Lac,"Sanothimi, Bhaktapur",13 Feet /Dhalan,South,4.1 aana
Rs. 42 Lac/aana,"Sanothimi, Bhaktapur",13 Feet /Dhalan,South,4.3 aana
Rs. 19 Lac/aana,"Machhegaun , Kathmandu",13 Feet /Dhalan,South-East,
Rs. 55 Lac/aana,"Bafal, Kathmandu",13 Feet /Paved,South-East,
Rs. 50 Lac/aana,"Rudreshwor, Kathmandu",20 Feet /Black Topped,West,
Rs. 55 Lac/aana,"Bafal, Kathmandu",13 Feet /Paved,West,
Rs. 50 Lac/aana,"Kalanki, Kathmandu",13 Feet /Paved,West,
Rs. 67 Lac/aana,"Dhumbarahi, Kathmandu",13 Feet /Black Topped,East,
Rs. 35 Lac/aana,"Tokha, Kathmandu",20 Feet /Black Topped,South,
Rs. 41 Lac/ropani,"Dachhila, Dhading",22 Feet /Black Topped,East,
Rs. 45 Lac,"Sitapaila, Kathmandu",21 Feet /Black Topped,North,5.2 aana
Rs. 38 Lac/aana,"Budhanilkantha, Kathmandu",16 Feet /Black Topped,East,13.1 aana
Rs. 37.5 Lac/aana,"Lubhu, Lalitpur",13 Feet /Black Topped,North,
Price on call,"Deuwa chowk, Kathmandu",13 Feet /Dhalan,South-East,
Rs. 60 Lac/aana,"Deuwa chowk, Kathmandu",13 Feet /Black Topped,South-East,
Rs. 27 Lac/aana,"Tikathali, Lalitpur",13 Feet /Gravelled,East,
Rs. 45 Lac/aana,"Sunakothi, Lalitpur",14 Feet /Dhalan,East,
Rs. 55 Lac/aana,"Setipakha, Lalitpur",20 Feet /Dhalan,South-East,
Rs. 45 Lac/aana,"Sunakothi, Lalitpur",12 Feet /Soil Stabilized,South-East,
Rs. 30 Lac/aana,"Chunikhel, Kathmandu",20 Feet /Black Topped,South,
Rs. 50 Lac/aana,"Sunakothi, Lalitpur",20 Feet /Dhalan,South-East,
Rs. 45 Lac/aana,"Sunakothi, Lalitpur",20 Feet /Dhalan,North-East,
Rs. 40 Lac/aana,"Suryadarshan Height, Kathmandu",13 Feet /Dhalan,North-East,3.3 aana
Price on call,"Kakani, Nuwakot",26 Feet /Soil Stabilized,North,
Rs. 25 Lac/aana,"Sitapaila, Kathmandu",20 Feet /Dhalan,North-West,5.1 aana
Rs. 35 Lac/aana,"Dharmasthali, Kathmandu",20 Feet /Soil Stabilized,South,4.1 aana
Rs. 27 Lac/aana,"Kavresthali, Kathmandu",13 Feet /Gravelled,South-East,
Rs. 23.5 Lac/aana,"Jitpurphedi, Kathmandu",20 Feet /Gravelled,North,4.1 aana
Rs. 33 Lac/aana,"Jarankhu, Kathmandu",12 Feet /Gravelled,East,
Rs. 45 Lac/aana,"Pasikot, Kathmandu",22 Feet /Black Topped,West,
Rs. 33.5 Lac/aana,"Thankot, Kathmandu",13 Feet /Dhalan,South,
Rs. 25 Lac/aana,"Bungamati, Lalitpur",20 Feet /Gravelled,East,3.2 aana
Rs. 45 Lac/aana,"Bhangal , Kathmandu",20 Feet /Gravelled,East,
Rs. 43 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,West,
Price on call,"Damaitar, Lalitpur",13 Feet /Soil Stabilized,North,
Rs. 60 Lac/aana,"Rudreshwor, Kathmandu",20 Feet /Black Topped,North-East,
Rs. 90 Lac/aana,"Sanepa, Lalitpur",20 Feet /Black Topped,East,4.0.8 aana
Rs. 80 Lac/aana,"Kalanki, Kathmandu",13 Feet /Dhalan,West,4.2 aana
Rs. 70 Lac/aana,"Kalanki, Kathmandu",13 Feet /Dhalan,South-East,3.1 aana
Rs. 38 Lac/aana,"Tikathali, Lalitpur",,South-East,4.2 aana
Rs. 22.5 Lac/aana,"Pukhulachhi, Kathmandu",12 Feet /Dhalan,East,
Rs. 45 Lac/aana,"Balkot, Bhaktapur",26 Feet /Black Topped,North-East,
Rs. 43 Lac/aana,"Imadol, Lalitpur",13 Feet /Dhalan,North,3.1 aana
Rs. 26 Lac/aana,"Thankot, Kathmandu",13 Feet /Soil Stabilized,South-East,
Rs. 45 Lac/aana,"Imadol, Lalitpur",13 Feet /Soil Stabilized,South,9.2 aana
Rs. 42 Lac/aana,"Dhapakhel, Lalitpur",13 Feet /Black Topped,,3.2 aana
Rs. 41 Lac/aana,"Kalanki, Kathmandu",13 Feet /Black Topped,South-East,6.2 aana
Rs. 2.3 Cr,"Dhumbarahi, Kathmandu",13 Feet /Black Topped,South,
Rs. 85 Lac/aana,"Dhumbarahi, Kathmandu",20 Feet /Black Topped,North,
Rs. 32 Lac/aana,"Sanagaun Lubhu, Lalitpur",13 Feet /Dhalan,North,
Rs. 50 Lac/aana,"Ochu Height, Lalitpur",16 Feet /Gravelled,South,
Rs. 15.8 Lac/aana,"Chapagaun, Lalitpur",13 Feet /Gravelled,West,3.3 aana
Price on call,"Suryadarshan Height, Kathmandu",16 Feet /Black Topped,South-East,4.5 aana
Price on call,"Bouddha, Kathmandu",12 Feet /Black Topped,South,
Rs. 38 Lac/aana,"Harisiddhi, Lalitpur",16 Feet /Dhalan,South-East,4.1 aana
Rs. 6.19 Lac/aana,"Chhaimale, Kathmandu",13 Feet /Dhalan,East,
Rs. 39 Lac/aana,"Imadol, Lalitpur",10  Feet /Soil Stabilized,West,3.3 aana
Rs. 40 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Soil Stabilized,South,4.2 aana
Rs. 38 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Soil Stabilized,East,4.2 aana
Rs. 38 Lac/aana,"Bhaisepati, Lalitpur",15 Feet /Soil Stabilized,South,
Price on call,"Hattiban, Lalitpur",13 Feet /Paved,North-East,
Rs. 38 Lac/aana,"Katunje, Bhaktapur",13 Feet /Dhalan,South-West,4.1 aana
Rs. 40 Lac/aana,"Naya Naikap, Kathmandu",26 Feet /Dhalan,South-East,
Rs. 32 Lac/aana,"Lubhu, Lalitpur",13 Feet /Black Topped,North,3.2 aana
Rs. 32 Lac/aana,"Lubhu, Lalitpur",,South,3.2 aana
Rs. 32 Lac/aana,"Lubhu, Lalitpur",12 Feet /Soil Stabilized,South,3.1 aana
Rs. 45 Lac/aana,"Bhaisepati, Lalitpur",14 Feet /Dhalan,North-West,4.2 aana
Rs. 30 Lac/aana,"Chobhar, Kathmandu",13 Feet /Black Topped,North-West,
Rs. 27 Lac/aana,"Chobhar, Kathmandu",8 Feet /Black Topped,North-West,
Rs. 9.6 Cr,"Dhalpa road, Kathmandu",20 Feet /Black Topped,South,42.3 aana
Rs. 65 Lac/aana,"Bhaisepati, Lalitpur",15 Feet /Black Topped,South,
Rs. 32 Lac/aana,"Changathali, Lalitpur",12 Feet /Soil Stabilized,South,
Rs. 45 Lac/aana,"Narayanthan , Kathmandu",13 Feet /Black Topped,South,
Rs. 31 Lac/aana,"Lubhu, Lalitpur",13 Feet /Soil Stabilized,North-East,
Rs. 25 Lac/aana,"Jharuwarasi, Lalitpur",20 Feet /Black Topped,South,
Price on call,"Dhangadhi, Kailali",36 Feet /Black Topped,East,
Rs. 36 Lac/aana,"Harisiddhi, Lalitpur",26 Feet /Black Topped,South,4.2 aana
Rs. 50 Lac/aana,"Tyanglafat, Kathmandu",13 Feet /Soil Stabilized,North-East,
Rs. 55 Lac/aana,"Tyanglafat, Kathmandu",13 Feet /Black Topped,North-East,
Rs. 50 Lac/aana,"Tyanglafat, Kathmandu",13 Feet /Soil Stabilized,West,
Rs. 45 Lac/aana,"Maitrinagar, Kathmandu",13 Feet /Dhalan,North-East,
Rs. 49.5 Lac/aana,"Nakhudole, Lalitpur",10 Feet /Paved,South,
Rs. 95 Lac,"Naubise, Dhading",6 Meter/Dhalan,East,5.1 aana
Rs. 46 Lac/aana,"Chapali, Kathmandu",13 Feet /Black Topped,West,
Rs. 80 Lac/aana,"Chandol, Kathmandu",13 Feet /Black Topped,North-East,
Rs. 70 Lac/aana,"Maharajgunj, Kathmandu",12 Feet /Black Topped,South,
Rs. 35 Lac/aana,"Kalanki, Kathmandu",20 Feet /Black Topped,South,
Rs. 1.6 Cr/aana,"Gairidhara, Kathmandu",30 Feet /Black Topped,East,
Rs. 1 Cr/aana,"Naxal, Kathmandu",23 Feet /Black Topped,,
Rs. 85 Lac/aana,"Baluwatar, Kathmandu",,East,
Rs. 75 Lac/aana,"Chundevi, Kathmandu",16 Feet /Black Topped,South-West,
Rs. 35 Lac/aana,"Kalanki, Kathmandu",16 Feet /Black Topped,West,
Rs. 1.5 Cr/aana,"Thamel, Kathmandu",20 Feet /Black Topped,North-East,11.2 aana
Rs. 57 Lac/aana,"Imadol, Lalitpur",14 Feet /Dhalan,North,
Rs. 1 Cr,"Sanagaun Lubhu, Lalitpur",12 Feet /Dhalan,North,2.2 aana
Rs. 47 Lac/aana,"Bhangal , Kathmandu",12 Feet /Black Topped,South,
Rs. 34 Lac/aana,"Lubhu, Lalitpur",11 Feet /Dhalan,West,4.3 aana
Rs. 36 Lac/aana,"Lubhu, Lalitpur",13 Feet /Dhalan,East,
Rs. 43 Lac/aana,"Lubhu, Lalitpur",22 Feet /Paved,West,3.2 aana
Rs. 38 Lac/aana,"Lubhu, Lalitpur",,East,
Rs. 40 Lac/aana,"Lubhu, Lalitpur",20 Feet /Dhalan,East,
Rs. 42 Lac/aana,"Lubhu, Lalitpur",20 Feet /Paved,South,
Rs. 65 Lac/aana,"Chandol, Kathmandu",13 Feet /Black Topped,South,
Rs. 42 Lac/aana,"Dhunchepakha, Bhaktapur",20 Feet /Paved,East,
Rs. 35 Lac/aana,"Balajutar, Kathmandu",5 Feet /Black Topped,West,
Rs. 36 Lac/aana,"Dhunchepakha, Bhaktapur",20 Feet /Gravelled,East,6.1 aana
Rs. 55 Lac/aana,"Sanobharyang, Kathmandu",10 Feet /Black Topped,North-West,6.2 aana
Rs. 33 Lac/aana,"Harhar Mahadev, Kathmandu",13 Feet /Black Topped,South,
Rs. 60 Lac/aana,"Sanobharyang, Kathmandu",13 Feet /Black Topped,South,
Rs. 50 Lac/aana,"Mhaipi, Kathmandu",8 Feet /Paved,,3.1 aana
Rs. 65 Lac/aana,"Sorhakhutte, Kathmandu",13 Feet /Black Topped,South,7.2 aana
Rs. 85 Lac/aana,"Chamati, Kathmandu",20 Feet /Black Topped,South,
Rs. 25 Lac/aana,"Halchowk, Kathmandu",3 Feet /Black Topped,South-East,
Rs. 55 Lac/aana,"Balaju, Kathmandu",10 Feet /Black Topped,South-East,3.1 aana
Rs. 50 Lac/aana,"Chhetrapati, Kathmandu",5 Feet /Black Topped,South,
Rs. 70 Lac/aana,"Lazimpat, Kathmandu",8 Feet /Black Topped,East,
Rs. 1.25 Cr/aana,"Naya Bazar, Kathmandu",40 Feet /Black Topped,North-West,
Rs. 32 Lac/aana,"Halchowk, Kathmandu",13 Feet /Black Topped,South-West,
Rs. 77 Lac/aana,"Baluwatar, Kathmandu",10 Feet /Black Topped,North-East,8.2 aana
Rs. 65 Lac/aana,"Gairidhara, Kathmandu",12 Feet /Black Topped,South-East,7.1 aana
Rs. 75 Lac/aana,"Balkhu, Kathmandu",13 Feet /Black Topped,North,
Rs. 65 Lac/aana,"Handigaun, Kathmandu",18 Feet /Black Topped,North,
Rs. 50 Lac/aana,"Sitapaila, Kathmandu",13 Feet /Black Topped,North-West,10.2 aana
Rs. 95 Lac/aana,"Lazimpat, Kathmandu",13 Feet /Black Topped,East,
Rs. 60 Lac/aana,"Teku, Kathmandu",10 Feet /Black Topped,East,
Rs. 60 Lac/aana,"Kalanki, Kathmandu",13 Feet /Black Topped,South-East,
Rs. 60 Lac/aana,"Maharajgunj, Kathmandu",18 Feet /Black Topped,North,
Rs. 60 Lac/aana,"Kuleshwor, Kathmandu",10 Feet /Black Topped,North,
Rs. 55 Lac/aana,"Balkhu, Kathmandu",8 Feet /Black Topped,South,
Rs. 75 Lac/aana,"Chamati, Kathmandu",20 Feet /Black Topped,South,5.2 aana
Rs. 85 Lac/aana,"Kuleshwor, Kathmandu",16 Feet /Black Topped,South,
Rs. 1 Cr/aana,"Lazimpat, Kathmandu",16 Feet /Black Topped,North,6.2 aana
Rs. 1.15 Cr/aana,"Bishalnagar, Kathmandu",13 Feet /Black Topped,East,
Rs. 1.25 Cr/aana,"Naya Bazar, Kathmandu",20 Feet /Black Topped,North,7.2 aana
Rs. 52 Lac/aana,"Samakhusi, Kathmandu",13 Feet /Black Topped,South,9.2 aana
Rs. 23 Lac/aana,"Kirtipur, Kathmandu",13 Feet /Black Topped,East,
Rs. 32 Lac/aana,"Harisiddhi, Lalitpur",13 Feet /Dhalan,North-East,
Price on call,"Gongabu, Kathmandu",10 Feet /Black Topped,South,
Rs. 80 Lac/aana,"Lazimpat, Kathmandu",13 Feet /Black Topped,South-East,
Rs. 52 Lac/aana,"Sanobharyang, Kathmandu",15 Feet /Black Topped,South,
Rs. 8.75 Cr,"Mahalaxmisthan, Lalitpur",20 Feet /Black Topped,South-East,10.1 aana
Rs. 80 Lac/aana,"Dhobighat, Lalitpur",16 Feet /Black Topped,West,
Rs. 25 Lac/aana,"Godawari, Lalitpur",12 Feet /Gravelled,West,4.1 aana
Rs. 62 Lac/aana,"Dhapakhel, Lalitpur",13 Feet /Black Topped,South,11.5 aana
Rs. 8.5 Cr,"Dhapakhel, Lalitpur",16 Feet /Black Topped,North-West,
Rs. 1.05 Cr/aana,"Bhanimandal, Lalitpur",10 Feet /Black Topped,West,
Rs. 85 Lac/aana,"Kupandole, Lalitpur",20 Feet /Black Topped,North-East,
Rs. 53 Lac/aana,"Dhapakhel, Lalitpur",16 Feet /Black Topped,North-East,
Rs. 55 Lac/aana,"Dhapakhel, Lalitpur",13 Feet /Black Topped,South-West,
Rs. 38 Lac/aana,"Nakhipot, Lalitpur",12 Feet /Gravelled,South-West,
Rs. 38 Lac/aana,"Nakhipot, Lalitpur",20 Feet /Black Topped,East,
Rs. 26 Lac/aana,"Godawari, Lalitpur",16 Feet /Gravelled,North-West,
Rs. 18 Lac/aana,"Godawari, Lalitpur",13 Feet /Soil Stabilized,West,
Rs. 26 Lac/aana,"Jharuwarasi, Lalitpur",10 Feet /Soil Stabilized,East,
Rs. 18.5 Lac/aana,"Godawari, Lalitpur",13 Feet /Soil Stabilized,South,4.3 aana
Rs. 56 Lac/aana,"Hattiban, Lalitpur",16 Feet /Paved,East,
Rs. 85 Lac/aana,"Dhobighat, Lalitpur",24 Feet /Black Topped,East,
Rs. 95 Lac/aana,"Soltimode, Kathmandu",14 Feet /Paved,South,
Rs. 1 Cr/aana,"Kuleshwor, Kathmandu",16 Feet /Black Topped,West,
Rs. 23 Lac/aana,"Godawari, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 26 Lac/aana,"Godawari, Lalitpur",13 Feet /Gravelled,North-East,
Rs. 85 Lac/aana,"Mahalaxmisthan, Lalitpur",18 Feet /Black Topped,South,
Rs. 75 Lac/aana,"Jwagal, Lalitpur",13 Feet /Black Topped,East,5.8 aana
Rs. 50 Lac/aana,"Dhobighat, Lalitpur",12 Feet /Black Topped,East,
Rs. 1.35 Cr/aana,"Jawalakhel, Lalitpur",13 Feet /Black Topped,East,
Rs. 20 Lac/aana,"Jharuwarasi, Lalitpur",10 Feet /Gravelled,South-East,
Rs. 65 Lac/aana,"Thasikhel, Lalitpur",13 Feet /Black Topped,East,
Rs. 45 Lac/aana,"Nakhipot, Lalitpur",20 Feet /Black Topped,South-West,
Rs. 1.65 Cr/aana,"Jhamsikhel, Lalitpur",20 Feet /Black Topped,West,
Rs. 1.35 Cr/aana,"Sanepa, Lalitpur",20 Feet /Black Topped,East,
Rs. 1.3 Cr/aana,"Jhamsikhel, Lalitpur",20 Feet /Black Topped,North,
Rs. 25 Lac/aana,"Godamchaur, Lalitpur",20 Feet /Gravelled,South,3.5 aana
Rs. 40 Lac/aana,"Ochu Height, Lalitpur",16 Feet /Gravelled,North-East,
Rs. 65 Lac/aana,"Sanepa, Lalitpur",13 Feet /Gravelled,South,7.2 aana
Rs. 85 Lac/aana,"Sanepa, Lalitpur",10 Feet /Soil Stabilized,North,
Rs. 43 Lac/aana,"Tikathali, Lalitpur",13 Feet /Gravelled,South-West,
Rs. 43 Lac/aana,"Tikathali, Lalitpur",13 Feet /Gravelled,East,
Rs. 32 Lac/aana,"Bhaisepati, Lalitpur",20 Feet /Soil Stabilized,East,
Rs. 42 Lac/aana,"Sunakothi, Lalitpur",20 Feet /Paved,North-East,
Rs. 43 Lac/aana,"Tikathali, Lalitpur",13 Feet /Gravelled,North,3.1 aana
Rs. 60 Lac/aana,"Nakhipot, Lalitpur",26 Feet /Paved,East,
Rs. 23.5 Lac/aana,"Thecho, Lalitpur",13 Feet /Paved,West,3.2 aana
Rs. 18 Lac/aana,"Chapagaun, Lalitpur",13 Feet /Paved,East,19.1 aana
Rs. 42 Lac/aana,"Sunakothi, Lalitpur",13 Feet /Gravelled,South-East,
Rs. 40 Lac/aana,"Sunakothi, Lalitpur",13 Feet /Paved,South,4.2 aana
Rs. 13 Lac/aana,"Godawari, Lalitpur",20 Feet /Soil Stabilized,West,
Rs. 16 Lac/aana,"Godawari, Lalitpur",16 Feet /Gravelled,South-East,
Rs. 18 Lac/aana,"Jharuwarasi, Lalitpur",20 Feet /Soil Stabilized,West,3.2 aana
Rs. 30 Lac/ropani,"Dhulikhel, Kavrepalanchok",14 Feet /Soil Stabilized,South-West,
Rs. 43 Lac/aana,"Tikathali, Lalitpur",13 Feet /Gravelled,South,3.1 aana
Rs. 28 Lac/aana,"Lubhu, Lalitpur",13 Feet /Paved,North,
Rs. 38 Lac/aana,"Tikathali, Lalitpur",13 Feet /Dhalan,South,
Rs. 38 Lac/aana,"Changathali, Lalitpur",13 Feet /Dhalan,East,3.5 aana
Rs. 20 Lac/aana,"Godawari, Lalitpur",13 Feet /Soil Stabilized,North-West,4.1 aana
Rs. 1.3 Cr/aana,"Baneshwor, Kathmandu",20 Feet /Black Topped,South,
Rs. 80 Lac/aana,"Baneshwor, Kathmandu",13 Feet /Black Topped,East,
Rs. 76 Lac/aana,"Baneshwor, Kathmandu",13 Feet /Black Topped,East,
Rs. 1.1 Cr/aana,"Baneshwor, Kathmandu",22 Feet /Black Topped,East,
Rs. 75 Lac/aana,"Dillibazar, Kathmandu",12 Feet /Black Topped,East,6.3 aana
Rs. 90 Lac/aana,"Maitidevi, Kathmandu",15 Feet /Black Topped,South,
Rs. 85 Lac/aana,"Baneshwor, Kathmandu",20 Feet /Black Topped,East,
Rs. 68 Lac/aana,"Baneshwor, Kathmandu",12 Feet /Black Topped,North,6.2 aana
Rs. 33 Lac/aana,"Nagdaha, Lalitpur",13 Feet /Soil Stabilized,East,
Rs. 32 Lac/aana,"Nagdaha, Lalitpur",20 Feet /Black Topped,South-West,
Rs. 32 Lac/aana,"Nagdaha, Lalitpur",16 Feet /Gravelled,South-West,
Rs. 16 Lac/aana,"Jharuwarasi, Lalitpur",13 Feet /Paved,West,3.2 aana
Rs. 20 Lac/aana,"Jharuwarasi, Lalitpur",13 Feet /Paved,East,3.2 aana
Rs. 26 Lac/aana,"Nagdaha, Lalitpur",13 Feet /Paved,North-West,
Rs. 20 Lac/aana,"Nagdaha, Lalitpur",13 Feet /Paved,East,
Rs. 45 Lac/aana,"Dhapakhel, Lalitpur",13 Feet /Paved,North-East,
Rs. 45 Lac/aana,"Nakhipot, Lalitpur",13 Feet /Paved,East,4.2 aana
Rs. 40 Lac/aana,"Sunakothi, Lalitpur",16 Feet /Paved,South,
Rs. 32 Lac/aana,"Duwakot, Bhaktapur",13 Feet /Gravelled,West,3.2 aana
Rs. 22 Lac/aana,"Thecho, Lalitpur",13 Feet /Paved,South,
Rs. 55 Lac/aana,"Kusunti, Lalitpur",13 Feet /Paved,West,
Rs. 65 Lac/aana,"Kusunti, Lalitpur",20 Feet /Paved,South,
Rs. 35 Lac/aana,"Duwakot, Bhaktapur",13 Feet /Gravelled,East,3.5 aana
Rs. 38 Lac/aana,"Nikoshera, Bhaktapur",20 Feet /Gravelled,East,3.5 aana
Rs. 42 Lac/aana,"Sallaghari, Bhaktapur",20 Feet /Gravelled,East,
Rs. 32 Lac/aana,"Harisiddhi, Lalitpur",13 Feet /Paved,North-East,3.2 aana
Rs. 55 Lac/aana,"Bagdol, Lalitpur",20 Feet /Paved,South,
Rs. 35 Lac/aana,"Satdobato, Lalitpur",8 Feet /Paved,North,
Rs. 35 Lac/aana,"Satdobato, Lalitpur",8 Feet /Paved,North,
Rs. 51 Lac/aana,"Gothatar, Kathmandu",20 Feet /Paved,North,5.2 aana
Rs. 25 Lac/aana,"Lubhu, Lalitpur",36 Feet /Paved,North,
Rs. 19 Lac/aana,"Lubhu, Lalitpur",36 Feet /Paved,South-East,15.1 aana
Rs. 22 Lac/aana,"Lubhu, Lalitpur",36 Feet /Paved,North-East,
Rs. 36 Lac/aana,"Shital Height, Lalitpur",13 Feet /Paved,East,
Rs. 42 Lac/aana,"Imadol, Lalitpur",13 Feet /Paved,East,
Rs. 45 Lac/aana,"Imadol, Lalitpur",13 Feet /Paved,North,3.2 aana
Rs. 41 Lac/aana,"Balkot, Bhaktapur",13 Feet /Gravelled,North,3.3 aana
Rs. 38 Lac/aana,"Balkot, Bhaktapur",13 Feet /Gravelled,West,
Rs. 28.5 Lac/aana,"Changathali, Lalitpur",10 Feet /Paved,South-East,9.3 aana
Rs. 28 Lac/aana,"Godawari, Lalitpur",13 Feet /Paved,South,
Rs. 1.8 Cr/aana,"Jhamsikhel, Lalitpur",33 Feet /Paved,South-East,
Rs. 26 Lac/aana,"Lamatar, Lalitpur",20 Feet /Paved,East,3.2 aana
Rs. 12.5 Lac/aana,"Bhaisepati, Lalitpur",13 Feet /Paved,East,
Rs. 32 Lac/aana,"Sanagaun, Lalitpur",13 Feet /Paved,,
Rs. 75 Lac/aana,"Shankhamul, Kathmandu",26 Feet /Black Topped,East,10.3 aana
Rs. 80 Lac/aana,"Shankhamul, Kathmandu",13 Feet /Black Topped,North,5.3 aana
Rs. 85 Lac/aana,"Tinkune, Kathmandu",25 Feet /Black Topped,North,
Rs. 90 Lac/aana,"Baneshwor, Kathmandu",10 Feet /Black Topped,North,
Rs. 75 Lac/aana,"Koteshwor, Kathmandu",13 Feet /Black Topped,South,7.2 aana
Rs. 1 Cr/aana,"Anamnagar, Kathmandu",12 Feet /Black Topped,North-East,
Rs. 55 Lac/aana,"Koteshwor, Kathmandu",10 Feet /Black Topped,North,4.2 aana
Rs. 85 Lac/aana,"Baneshwor, Kathmandu",20 Feet /Black Topped,West,
Rs. 1.5 Cr/aana,"Putalisadak, Kathmandu",12 Feet /Black Topped,North,
Rs. 75 Lac/aana,"Bansbari, Kathmandu",20 Feet /Black Topped,West,
Rs. 80 Lac/aana,"Bansbari, Kathmandu",12 Feet /Black Topped,East,3.1 aana
Rs. 1.4 Cr/aana,"Dillibazar, Kathmandu",16 Feet /Black Topped,East,
Rs. 1.25 Cr/aana,"Putalisadak, Kathmandu",5 Feet /Gravelled,South,
Rs. 28 Lac/aana,"Nagdaha, Lalitpur",13 Feet /Paved,South-East,3.2 aana
Rs. 10 Lac/aana,"Lele, Lalitpur",13 Feet /Paved,South-West,
Rs. 32 Lac/aana,"Lubhu, Lalitpur",20 Feet /Gravelled,East,
Rs. 45 Lac/aana,"Kalanki, Kathmandu",13 Feet /Gravelled,North-East,
Rs. 45 Lac/aana,"Kalanki, Kathmandu",13 Feet /Black Topped,South-East,
