district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m
Kathmandu,Residential,South,High Access,Unfurnished,Kathmandu,7,Samakhusi,9.0,2.0,5.0,3.0,1.0,2.5,55100000.0,5.0,1369.0,8.0,12.0,500.0,7000.0,100.0,1000.0,50.0,240.4,50.0,500.0,6000.0,500.0
Kathmandu,Residential,West,High Access,Full Furnished,Nagarjun,10,Syuchatar,11.0,1.0,4.0,1.0,2.0,3.5,35000000.0,4.5,1026.75,18.0,13.0,1500.0,13000.0,480.0,3000.0,250.0,2000.0,1500.0,830.0,14000.0,1500.0
Kathmandu,Residential,South,High Access,Full Furnished,Kathmandu,13,Tahachal,4.0,1.0,5.0,1.0,3.0,3.5,50000000.0,4.5,1540.12,19.0,10.0,200.0,10000.0,220.0,5000.0,300.0,700.0,1000.0,420.0,10000.0,1000.0
Kathmandu,Residential,North-East,Low Access,Full Furnished,Budhanilkantha,1,Budhanilkantha,6.0,2.0,6.0,2.0,2.0,2.5,107500000.0,9.5,1711.25,3.0,13.0,2000.0,10000.0,200.0,5000.0,200.0,200.0,200.0,200.0,8000.0,4000.0
Kathmandu,Commercial,North,High Access,Unfurnished,Kathmandu,22,New Road,9.0,5.0,4.0,2.0,1.0,4.5,35000000.0,1.0,342.25,10.0,12.0,1000.0,6000.0,210.0,3500.0,500.0,400.0,600.0,250.0,6500.0,600.0
Kathmandu,Residential,South,High Access,Unfurnished,Kathmandu,4,Dhumbarahi,6.0,3.0,3.0,1.0,1.0,2.5,29000000.0,3.5,1026.75,34.0,11.0,1000.0,2000.0,90.0,1230.0,100.0,240.0,100.0,310.0,2000.0,1450.0
Kathmandu,Residential,South-West,High Access,Unfurnished,Kathmandu,6,Guheshwori,4.0,1.0,4.0,2.0,1.0,2.5,30000000.0,4.0,1026.75,14.0,12.0,1000.0,3000.0,90.0,1230.0,100.0,420.0,100.0,370.0,1000.0,1150.0
Kathmandu,Commercial,North-East,High Access,Unfurnished,Kathmandu,6,Mahankal,9.0,2.0,3.0,2.0,1.0,4.0,33000000.0,3.5,1026.75,12.0,15.0,1000.0,3000.0,90.0,1230.0,100.0,420.0,100.0,370.0,1000.0,1150.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Tokha,4,Tokha,6.0,3.0,5.0,1.0,2.0,3.5,28500000.0,3.37,855.62,0.0,13.0,400.0,4000.0,300.0,500.0,50.0,300.0,300.0,400.0,4000.0,2200.0
Kathmandu,Residential,West,High Access,Semi Furnished,Kageshwori Manohara,6,Jorpati,6.0,3.0,4.0,3.0,3.0,3.5,29000000.0,3.0,1026.75,1.0,13.0,1000.0,8000.0,398.0,4000.0,1000.0,1000.0,500.0,500.0,3000.0,4000.0
Kathmandu,Residential,North-West,High Access,Full Furnished,Kageshwori Manohara,6,Mulpani,4.0,1.0,4.0,1.0,2.0,2.5,50000000.0,5.0,2125.12,2.0,20.0,1000.0,7000.0,498.0,4000.0,1000.0,1000.0,500.0,500.0,2000.0,4000.0
Kathmandu,Residential,South-East,High Access,Unfurnished,Kathmandu,14,Ravi Bhawan,6.0,2.0,3.0,1.0,1.0,2.0,22000000.0,3.75,1026.75,10.0,4.0,470.0,5600.0,106.0,1480.0,460.0,360.0,356.0,660.0,6000.0,500.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Tokha,11,Tokha,12.0,3.0,6.0,3.0,1.0,3.0,28000000.0,3.5,1026.75,1.0,13.0,400.0,5000.0,300.0,400.0,300.0,600.0,400.0,600.0,4000.0,4000.0
Kathmandu,Residential,East,Low Access,Unfurnished,Budhanilkantha,7,Budhanilkantha,4.0,1.0,5.0,3.0,5.0,2.5,225000000.0,32.0,2000.0,14.0,13.0,500.0,4000.0,100.0,2000.0,500.0,500.0,100.0,1000.0,4000.0,2000.0
Kathmandu,Residential,East,High Access,Unfurnished,Budhanilkantha,10,Kapan,7.0,3.0,4.0,3.0,1.0,3.5,46000000.0,4.0,1026.75,3.0,13.0,1000.0,3000.0,90.0,1400.0,100.0,240.0,100.0,310.0,2000.0,1110.0
Kathmandu,Residential,North-East,High Access,Unfurnished,Nagarjun,2,Swayambhu,7.0,3.0,4.0,2.0,1.0,3.0,33000000.0,4.5,1197.87,9.0,13.0,1000.0,8000.0,110.0,1600.0,100.0,580.0,200.0,630.0,7000.0,1920.0
Kathmandu,Residential,East,High Access,Unfurnished,Budhanilkantha,10,Kapan,5.0,2.0,3.0,1.0,1.0,2.5,19000000.0,2.5,684.5,19.0,8.0,1000.0,3000.0,90.0,1400.0,100.0,240.0,100.0,310.0,2000.0,1110.0
Kathmandu,Residential,East,Low Access,Semi Furnished,Tokha,3,Tokha,8.0,3.0,6.0,2.0,2.0,3.0,32000000.0,4.0,1197.87,6.0,13.0,500.0,4000.0,300.0,600.0,300.0,500.0,200.0,600.0,4000.0,2000.0
Kathmandu,Residential,East,High Access,Unfurnished,Kathmandu,10,Buddhanagar,10.0,1.0,5.0,1.0,7.0,3.5,10000000.0,16.0,1711.25,22.0,20.0,1046.7625523012553,6408.157488419969,235.14698795180723,2009.0114526823388,351.83984589983487,676.6095054592164,246.62772585669782,622.2681787858572,7701.352813852814,2700.7269155206286
Kathmandu,Commercial,East,High Access,Semi Furnished,Kathmandu,31,Old Baneshowr,14.0,5.0,9.0,5.0,5.0,5.0,110000000.0,7.75,1369.0,12.0,26.0,300.0,1000.0,100.0,1000.0,300.0,400.0,100.0,300.0,5000.0,700.0
