district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m,is_corner_plot,neighborhood_encoded,municipality_encoded,log_land,log_built,floor_area_ratio,urban_centrality,amenity_access_score,house_size_score,comm_road_premium,neighborhood_x_district,municipality_x_ward,age_condition_score,rooms_total,bath_per_bed,sqft_per_room,floors_x_land,luxury_score,parking_premium
1,0,6,0,2,Kathmandu,15,Chamati,4.0,4.0,5.0,4.0,1.0,4.5,48500000.0,3.5,1026.75,10.0,21.0,550.0,7700.0,240.0,1000.0,100.0,180.0,500.0,440.0,10000.0,500.0,1,17.40940096010793,17.620749917248713,1.5040773967762742,6.935127225777988,0.8571428571428571,0.06593821828558269,0.7182957437785327,10.43096810406042,0.0,17.40940096010793,264.3112487587307,0.2727272727272727,8.0,1.25,128.34375,15.75,6.392805345894095,1.0
1,1,2,1,2,Nagarjun,3,Budget_Zone,7.0,1.0,4.0,1.0,3.0,2.5,28000000.0,4.0,1898.0,4.0,12.0,2000.0,10000.0,120.0,2100.0,1000.0,2000.0,1000.0,740.0,12000.0,600.0,1,17.182697151432865,17.31717635288628,1.6094379124341003,7.549082710812286,1.3864134404674946,0.06406545828640356,0.6295586368090249,12.149779918882084,12.0,17.182697151432865,51.951529058658835,0.6000000000000001,8.0,0.5714285714285714,237.25,10.0,2.147593660277774,6.0
1,1,0,0,1,Budhanilkantha,11,Kapan,5.0,2.0,4.0,3.0,2.0,2.5,45500000.0,3.5,5000.0,2.0,13.0,300.0,4000.0,250.0,4000.0,300.0,500.0,250.0,250.0,4000.0,800.0,0,17.289342158205557,17.57755518264029,1.5040773967762742,8.517393171418904,4.174058228112282,0.06675495875138916,0.7124013255199997,12.81081854858776,13.0,17.289342158205557,193.35310700904319,0.6666666666666666,8.0,0.8,625.0,8.75,2.004420749592589,4.0
1,1,1,0,2,Kathmandu,13,Bafal,11.0,3.0,5.0,3.0,4.0,3.5,100000000.0,9.0,1711.25,15.0,13.0,900.0,10000.0,188.0,1230.0,500.0,800.0,500.0,560.0,11000.0,100.0,0,17.680537714725286,17.620749917248713,2.302585092994046,7.445563574078014,0.5555555555555556,0.07232979612208405,0.6594780988098528,17.144043694611504,13.0,17.680537714725286,229.06974892423327,0.1875,14.0,0.45454545454545453,122.23214285714286,31.5,2.0510146319676466,8.0
1,1,2,0,2,Kathmandu,8,Syuchatar,6.0,2.0,4.0,2.0,4.0,2.5,27500000.0,4.0,1095.2,0.0,10.0,1500.0,12000.0,680.0,2240.0,500.0,1500.0,1000.0,760.0,14000.0,2000.0,1,17.293868843278084,17.620749917248713,1.6094379124341003,6.999604932612016,0.8,0.058843786928109584,0.5956200467146981,11.265429550606514,10.0,17.293868843278084,140.9659993379897,3.0,8.0,0.6666666666666666,136.9,10.0,2.505525936990736,8.0
1,2,2,0,2,Gokarneshwor,4,Makalbari,4.0,2.0,3.0,1.0,2.0,2.5,27500000.0,3.5,1283.4,19.0,16.0,1000.0,7000.0,418.0,4000.0,500.0,500.0,500.0,500.0,2000.0,4000.0,1,17.15125278262907,17.218882479495953,1.5040773967762742,7.158046962215359,1.0713972659918607,0.05831547169951634,0.6320841308411862,10.766256640931195,32.0,17.15125278262907,68.87552991798381,0.15000000000000002,5.0,0.75,256.68,8.75,2.818716679114578,6.0
1,1,0,0,1,Kathmandu,10,Samakhusi,7.0,2.0,6.0,2.0,4.0,3.5,74500000.0,9.5,2053.5,19.0,14.0,300.0,5000.0,100.0,1000.0,200.0,220.0,50.0,300.0,4000.0,400.0,0,17.670450106424845,17.620749917248713,2.3513752571634776,7.627787788323465,0.631578947368421,0.06891155427266794,0.8347955322535109,17.935791472357522,14.0,17.670450106424845,176.20749917248713,0.1,9.0,0.8571428571428571,228.16666666666666,33.25,2.5784183944736125,8.0
1,1,4,0,2,Kathmandu,16,Machhapokhari,11.0,3.0,4.0,1.0,1.0,3.5,27000000.0,3.5,1026.75,32.0,10.0,100.0,8300.0,110.0,1380.0,100.0,150.0,200.0,230.0,8300.0,200.0,0,17.33621900306092,17.620749917248713,1.5040773967762742,6.935127225777988,0.8571428571428571,0.06979615806205614,0.8342551994536211,10.43096810406042,10.0,17.33621900306092,281.9319986759794,0.09090909090909091,12.0,0.36363636363636365,85.5625,12.25,1.6408117055741172,2.0
1,1,6,0,1,Budhanilkantha,7,Budhanilkantha,2.0,1.0,1.0,1.0,1.0,1.0,17500000.0,3.0,684.5,3.0,13.0,500.0,7000.0,300.0,3000.0,500.0,600.0,300.0,400.0,6000.0,400.0,1,17.65948418097955,17.57755518264029,1.3862943611198906,6.530148499002369,0.6666666666666666,0.06735018255611736,0.67215900088118,9.052708041442502,13.0,17.65948418097955,123.04288627848203,0.5,3.0,0.5,228.16666666666666,3.0,0.6931471805599453,2.0
1,2,1,0,2,Kathmandu,15,Dallu,10.0,1.0,4.0,1.0,1.0,3.5,45000000.0,6.0,1026.75,28.0,14.0,1500.0,8500.0,218.0,1720.0,500.0,500.0,100.0,370.0,10000.0,1500.0,0,17.48271979796729,17.620749917248713,1.9459101490553132,6.935127225777988,0.5,0.061117873105410565,0.69982546205083,13.495134453631206,28.0,17.48271979796729,264.3112487587307,0.10344827586206896,11.0,0.4,93.3409090909091,21.0,1.8048928761315293,3.0
1,0,6,0,2,Kathmandu,16,Chettrapati,9.5,3.0,6.0,3.0,10.0,10.0,200000000.0,6.5,2224.62,12.0,21.0,200.0,6500.0,80.0,1600.0,1500.0,3000.0,600.0,980.0,7000.0,2000.0,1,17.979261111191317,17.620749917248713,2.0149030205422647,7.707790807469563,0.9999977524301848,0.0610459107301949,0.7091319882196239,15.530450979678324,0.0,17.979261111191317,281.9319986759794,0.23076923076923078,12.5,0.631578947368421,177.96959999999999,65.0,4.543380516881123,10.0
1,1,5,0,0,Budhanilkantha,8,Budhanilkantha,8.0,3.0,6.0,3.0,1.0,2.5,35000000.0,4.5,1540.12,22.0,13.0,150.0,6000.0,150.0,200.0,200.0,200.0,170.0,200.0,4000.0,250.0,1,17.65948418097955,17.57755518264029,1.7047480922384253,7.340264703800292,0.999996753510267,0.07029810588006531,0.7816736212309757,12.513302250328598,13.0,17.65948418097955,140.6204414611223,0.043478260869565216,11.0,0.75,140.01090909090908,11.25,0.939572226371526,2.0
1,1,4,0,2,Chandragiri,13,Outskirt_Zone,14.0,2.0,6.0,2.0,2.0,3.5,21500000.0,5.0,1026.75,2.0,21.0,2000.0,11000.0,608.0,4000.0,1200.0,2500.0,1000.0,1120.0,15000.0,2500.0,0,16.79260469575891,17.130993000950767,1.791759469228055,6.935127225777988,0.6,0.058376477581492926,0.573286183528923,12.426079877089,21.0,16.79260469575891,222.70290901235995,1.0,16.0,0.42857142857142855,64.171875,17.5,1.9338137958552095,4.0
1,1,7,1,2,Kathmandu,3,Premium_Zone,11.0,3.0,3.0,3.0,1.0,2.5,27500000.0,3.0,1026.75,9.0,13.0,400.0,8000.0,200.0,530.0,210.0,250.0,400.0,360.0,6500.0,1000.0,0,18.43160859015897,17.620749917248713,1.3862943611198906,6.935127225777988,1.0,0.06290860478697412,0.7090818036737998,9.614127766745055,13.0,18.43160859015897,52.862249751746134,0.30000000000000004,14.0,0.2727272727272727,73.33928571428571,7.5,1.024987883314392,2.0
1,1,2,1,1,Budhanilkantha,13,Bhangal,6.0,2.0,5.0,2.0,1.0,2.5,34500000.0,4.06,1620.06,0.0,13.0,300.0,8000.0,200.0,930.0,290.0,200.0,100.0,300.0,7500.0,7000.0,1,17.308560783984085,17.57755518264029,1.6213664832993742,7.39083553523944,1.1659008229371697,0.05605026111447288,0.7567242865942942,11.98325302041522,13.0,17.308560783984085,228.50821737432375,2.0,8.0,0.8333333333333334,202.5075,10.149999999999999,2.0879382808256137,2.0
1,1,6,0,2,Kathmandu,5,Naxal,10.0,3.0,8.0,2.0,4.0,3.5,58000000.0,7.75,1200.0,37.0,21.0,2000.0,5000.0,260.0,1000.0,1000.0,1500.0,500.0,610.0,4500.0,2500.0,1,17.991441377889252,17.620749917248713,2.169053700369523,7.0909098220799835,0.45241405311152477,0.06119262304200936,0.6168680399193948,15.380564188569185,21.0,17.991441377889252,88.10374958624357,0.07894736842105263,12.0,0.8,100.0,27.125,3.6097857522630585,8.0
