district,road_type,land_size_aana,price_per_aana,is_large_plot,road_width_feet,is_wide_road,facing,source,log_land,neighborhood_encoded
2,0,5.0,5800000.0,0,13.0,0,7,0,1.791759469228055,15.371640665662257
2,3,10.0,650000.0,0,13.0,0,7,0,2.3978952727983707,14.979781014302722
1,0,2.5,7000000.0,0,13.0,0,7,0,1.252762968495368,15.797351059185896
1,0,5.0,4700000.0,0,13.0,0,7,0,1.791759469228055,15.28609246171445
2,0,6.6875,6200000.0,0,13.0,0,7,0,2.0395956331326364,15.060208134162947
1,2,4.0,8000000.0,0,13.0,0,7,0,1.6094379124341003,15.797351059185896
2,2,3.0,6000000.0,0,13.0,0,7,0,1.3862943611198906,15.532087763001728
2,0,16.75,6700000.0,0,13.0,0,7,0,2.8763855159214247,15.797351059185896
1,0,4.0,6500000.0,0,13.0,0,7,0,1.6094379124341003,15.28609246171445
1,2,10.0,5000000.0,0,13.0,0,7,0,2.3978952727983707,15.28609246171445
1,0,4.0,3400000.0,0,13.0,0,7,0,1.6094379124341003,14.92072405500484
1,3,12.0,8000000.0,0,13.0,0,7,0,2.5649493574615367,15.87869815835439
2,1,22.0,650000.0,0,13.0,0,7,0,3.1354942159291497,14.437225574395764
1,0,8.0,10000000.0,0,13.0,0,7,0,2.1972245773362196,15.874151547270927
1,2,3.0,5500000.0,0,13.0,0,7,0,1.3862943611198906,15.28609246171445
1,3,4.0,3500000.0,0,13.0,0,7,0,1.6094379124341003,14.854775753972746
1,1,16.0,3500000.0,0,13.0,0,7,0,2.833213344056216,15.28609246171445
0,0,3.0,9062500.0,0,13.0,0,7,0,1.3862943611198906,14.93902976140785
1,0,50.0,1500000.0,1,13.0,0,7,0,3.9318256327243257,14.594294343639321
1,0,4.0,4500000.0,0,13.0,0,7,0,1.6094379124341003,15.28609246171445
2,0,4.0,5300000.0,0,13.0,0,7,0,1.6094379124341003,15.319816389610905
0,0,16.0,2500000.0,0,13.0,0,7,0,2.833213344056216,14.871275810783608
0,2,6.0,3500000.0,0,13.0,0,7,0,1.9459101490553132,15.720141408680858
1,1,2.5,3700000.0,0,13.0,0,7,0,1.252762968495368,15.01111633398688
1,0,16.0,6000000.0,0,13.0,0,7,0,2.833213344056216,15.643758400258202
1,2,34.0,1300000.0,0,13.0,0,7,0,3.5553480614894135,14.594294343639321
1,3,3.0,4000000.0,0,13.0,0,7,0,1.3862943611198906,15.371640665662257
2,2,4.0,4000000.0,0,13.0,0,7,0,1.6094379124341003,15.371640665662257
2,3,6.0,5500000.0,0,13.0,0,7,0,1.9459101490553132,15.371640665662257
2,2,5.0,3990000.0,0,13.0,0,7,0,1.791759469228055,14.871275810783608
1,1,3.0,3600000.0,0,13.0,0,7,0,1.3862943611198906,14.871275810783608
1,0,7.0,7000000.0,0,13.0,0,7,0,2.0794415416798357,15.797351059185896
1,0,8.0,4500000.0,0,13.0,0,7,0,2.1972245773362196,15.371640665662257
1,0,8.0,4500000.0,0,13.0,0,7,0,2.1972245773362196,15.245256633717792
