location_raw,facing,price_amount_npr,price_unit,road_width_feet,road_surface,land_size_aana,district
"Bafal, Kathmandu",East,66000000.0,total,13.0,Soil Stabilized,,Kathmandu
"Bishnumati Bridge, Kathmandu",South-East,3500000.0,per_aana,,,,Kathmandu
"Sudal, Bhaktapur",South,2500000.0,per_aana,26.0,Dhalan,5.3,Bhaktapur
"Suryabinayak, Bhaktapur",North-West,3500000.0,per_aana,19.0,Dhalan,3.2,Bhaktapur
"Bhaisepati, Lalitpur",North,5200000.0,per_aana,26.0,Soil Stabilized,3.2,Lalitpur
"Godawari, Lalitpur",West,4300000.0,total,,,,Lalitpur
", Rupandehi",South-East,250000000.0,total,24.0,Black Topped,,Unknown
"Shital Height, Lalitpur",North-East,3800000.0,per_aana,13.0,Gravelled,,Lalitpur
"Dadhikot, Bhaktapur",North,2700000.0,per_aana,13.0,Dhalan,,Bhaktapur
"Bhaisepati, Lalitpur",North-East,4600000.0,per_aana,20.0,Gravelled,,Lalitpur
"Bhaisepati, Lalitpur",West,4800000.0,per_aana,18.0,Gravelled,,Lalitpur
"Bhaisepati, Lalitpur",East,4800000.0,per_aana,18.0,Gravelled,,Lalitpur
"Harisiddhi, Lalitpur",South-East,3800000.0,per_aana,20.0,Soil Stabilized,4.1,Lalitpur
"Changunarayan, Bhaktapur",West,2000000.0,per_aana,10.0,Soil Stabilized,3.1,Bhaktapur
"Shital Height, Lalitpur",South-West,4400000.0,per_aana,13.0,Soil Stabilized,,Lalitpur
"Lubhu, Lalitpur",North-West,3500000.0,per_aana,13.0,Gravelled,7.2,Lalitpur
"Lubhu, Lalitpur",South,3000000.0,per_aana,10.0,Gravelled,4.2,Lalitpur
"Shital Height, Lalitpur",East,5200000.0,per_aana,13.0,Paved,,Lalitpur
"Bhaisepati, Lalitpur",North-East,4700000.0,per_aana,13.0,Soil Stabilized,,Lalitpur
"Duwakot, Bhaktapur",West,2200000.0,per_aana,20.0,Soil Stabilized,,Bhaktapur
"Lubhu, Lalitpur",North-East,3700000.0,per_aana,10.0,Paved,4.1,Lalitpur
"Bhangal , Kathmandu",East,4800000.0,per_aana,13.0,Black Topped,5.1,Kathmandu
"Imadol, Lalitpur",North,3900000.0,per_aana,20.0,Black Topped,5.2,Lalitpur
"Lubhu, Lalitpur",East,3500000.0,per_aana,13.0,Soil Stabilized,3.1,Lalitpur
"Lubhu, Lalitpur",North-East,3600000.0,per_aana,13.0,Paved,,Lalitpur
"Shital Height, Lalitpur",West,5200000.0,per_aana,13.0,Gravelled,,Lalitpur
"Kamerotar, Bhaktapur",North-East,5300000.0,per_aana,20.0,Black Topped,5.2,Bhaktapur
