category,location_raw,district,neighborhood,road_type,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot,road_width_feet,is_wide_road,facing,source,price_segment
land,"Godawari-5, Lalitpur, Bagmati Pradesh",Lalitpur,Godawari,Low Access,22.0,650000.0,14300000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Shantinagar, Radha Mohan Marga, Kathmandu-31, Kathmandu",Kathmandu,Shantinagar,High Access,8.0,10000000.0,80000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Rudreswar Chowk, Budhanilakantha-5, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,Mid Access,3.0,5500000.0,16500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Chandragiri-14, Kathmandu, Bagmati Pradesh",Kathmandu,Chandragiri,Unknown,4.0,3500000.0,14000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Budhanilkantha School, Budhanilakantha-3, Kathmandu",Kathmandu,Budhanilkantha,Low Access,16.0,3500000.0,56000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Suryabinayak-8, Bhaktapur, Bagmati Pradesh",Bhaktapur,Suryabinayak,High Access,3.0,9062500.0,27187500.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"salinadi road, Shankharapur, Kathmandu",Kathmandu,Shankharapur,High Access,50.0,1500000.0,129000000.0,False,False,False,True,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Budhanilkantha, Budhanilakantha-2, Kathmandu",Kathmandu,Budhanilkantha,High Access,4.0,4500000.0,18000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Sainbu, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Sainbu,High Access,4.0,5300000.0,21200000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Technerd Gadgets, Changunarayan-3, Bhaktapur",Bhaktapur,Budget_Zone,High Access,16.0,2500000.0,40000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Chundevi, Suryabinayak-5, Bhaktapur, Bagmati Pradesh",Bhaktapur,Chundevi,Mid Access,6.0,3500000.0,21000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Naikap, Chandragiri-14, Kathmandu",Kathmandu,Naikap,Low Access,2.5,3700000.0,9250000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Pepsicola, Bafal Marg, Kathmandu-13, Kathmandu",Kathmandu,Pepsicola,High Access,16.0,6000000.0,96000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"salinadi road, Shankharapur, Kathmandu",Kathmandu,Shankharapur,Mid Access,34.0,1300000.0,44200000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Police Sector, Matatirtha, Chandragiri-8, Kathmandu",Kathmandu,Mid_Zone,Unknown,3.0,4000000.0,12000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Airawa Tol, Hattiban, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Mid_Zone,Mid Access,4.0,4000000.0,16000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"706 Tikhedebal Marg, Jambu Tole, Shovahiti, Jambu Marg, Lalitpur-14, Lalitpur, Bagmati Pradesh",Lalitpur,Mid_Zone,Unknown,6.0,5500000.0,33000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Orpach, Mahalaxmi, Mahalaxmi Municipality, Lalitpur",Lalitpur,Budget_Zone,Mid Access,5.0,3990000.0,19950000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Rarahill Futsal., Kirtipur-9, Kathmandu",Kathmandu,Budget_Zone,Low Access,3.0,3600000.0,10800000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Switch On Chandol, Kathmandu-4, Kathmandu",Kathmandu,High_Zone,High Access,7.0,7000000.0,49000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Bhandari Street, Gokarneshwor-4, Kathmandu, Bagmati Pradesh",Kathmandu,Mid_Zone,High Access,8.0,4500000.0,36000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Tokha Polish Station, Tokha Road, Tokha-3, Kathmandu",Kathmandu,Tokha,High Access,8.0,4500000.0,36000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Budanilkantha, Budhanilakantha-1, Kathmandu",Kathmandu,Budhanilkantha,Unknown,19.3,7000000.0,135100000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Kirtipur, Ajaya Marga, Kirtipur-6, Kathmandu",Kathmandu,Kirtipur,Unknown,24.0,2300000.0,55200000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Lalitpur,High Access,10.0,8500000.0,85000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,3. High-End
land,"Nepal House Resturent - नेपाल हाउस रेस्टुरेन्ट, बार र बेकरी, Shree Hari Marg, Kathmandu-4, Kathmandu",Kathmandu,Premium_Zone,High Access,20.0,19000000.0,380000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,4. Ultra-Luxury
land,"Ganesh Temple, Dallu, Amar Chitrakar Marg, Kathmandu-15, Kathmandu",Kathmandu,High_Zone,High Access,12.5,6000000.0,75000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Nagaun Dobato नगाँ दोबाटो, Kirtipur Ring Road, Kirtipur-9, Kathmandu",Kathmandu,Mid_Zone,Unknown,5.25,5500000.0,28875000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"B.p. Museum Sundarijal, Gokarneshwor-1, Kathmandu",Kathmandu,Budget_Zone,High Access,10.125,2100000.0,21262500.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
land,"Dhumbarahi Pipal Bot, Dhumbharai Marg, Kathmandu-4, Kathmandu",Kathmandu,Dhumbarahi,High Access,4.5,6500000.0,29250000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Kholagaal, Kathmandu-2, Kathmandu",Kathmandu,Kholagaal,Unknown,5.875,4000000.0,23500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Chapali Chok, Budhanilakantha-3, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,High Access,14.0,6500000.0,91000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Tersatar Planning, Madhyapur Thimi-2, Bhaktapur",Bhaktapur,Mid_Zone,High Access,4.25,5500000.0,23375000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Budhanilakantha-1, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,Mid Access,6.0,5500000.0,33000000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Borcha, Mahalaxmi-8, Lalitpur, Bagmati Pradesh",Lalitpur,Budget_Zone,Low Access,6.25,3500000.0,21875000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Safal Tol, Dhyakwa Marg, Lalitpur-29, Lalitpur, Bagmati Pradesh",Lalitpur,Mid_Zone,Unknown,3.0,4500000.0,13500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,2. Mid-Range
land,"Itagol, Kirtipur-6, Kathmandu, Bagmati Pradesh",Kathmandu,Budget_Zone,High Access,21.0,2500000.0,52500000.0,False,False,False,False,13.0,False,Unknown,hamrobazaar,1. Budget
