url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-8001,lalpurja,house,Lalitpur,8001,Property Details,2 Crore 80 Lakh,Residential,North,2081,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",2 Crore 80 Lakh,Sale,3.5 Aana,1026.75 square-feet,13 Feet,F 30 Feet,2025 August 12,188,Mahalaxmi,05,3km,Tikathali | Sofakarkhana,400m,8km,200m,300m,180m,300m,200m,100m,650m,12km,16km,250m,300m,400m,500m,350m,Tikathali,8,2,4,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-7999,lalpurja,house,Lalitpur,7999,Property Details,2 Crore 90 Lakh,Residential,East,2082,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",2 Crore 90 Lakh,Sale,3.5 Aana,941.18 square-feet,13 Feet,F 30 Feet,2025 August 12,157,Mahalaxmi,05,3km,Tikathali | Bhandari Gaun,300m,8km,200m,300m,200m,300m,250m,100m,350m,12km,16km,100m,200m,250m,450m,400m,Tikathali,7,2,5,2,1,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikthali-7989,lalpurja,house,Lalitpur,7989,Property Details,4 Crore 50 Lakh,Residential,South,2025,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",4 Crore 50 Lakh,Sale,4.5 Aana,1283.43 square-feet,13 Feet,,2025 August 11,129,Mahalaxmi,05,4km,Tikathali | Budhha Party Palace,200m,4km,100m,100m,100m,200m,100m,80m,200m,9km,12km,100m,100m,100m,100m,300m,Tikathali,5,2,4,2,2,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-7988,lalpurja,house,Lalitpur,7988,Property Details,4 Crore 50 Lakh,Residential,South,2025,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",4 Crore 50 Lakh,Sale,4.5 Aana,1283.43 square-feet,13 Feet,,2025 August 11,81,Mahalaxmi,05,4km,Tikathali | Budhha party palace,200m,4km,100m,100m,100m,200m,100m,80m,200m,9km,12km,100m,100m,100m,50m,200m,Tikathali,5,2,4,2,2,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-imadol-7987,lalpurja,house,Lalitpur,7987,Property Details,4 Crore 80 Lakh,Residential,South-East,2024,Paved,Yes,Full Furnished,"Lalitpur, Imadol",4 Crore 80 Lakh,Sale,4.5 Aana,1283.43 square-feet,13 Feet,,2025 August 11,97,Mahalaxmi,04,4km,Imadol | Sital Height,400m,4km,100m,300m,100m,100m,100m,100m,200m,9km,12km,100m,100m,100m,200m,400m,Imadol,6,2,5,2,2,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-harisiddhi-lalitpur-7986,lalpurja,house,Lalitpur,7986,Property Details,3 Crore 80 Lakh,Residential,North-West,2064,Paved,Yes,Semi Furnished,"Lalitpur, Harisiddhi",3 Crore 80 Lakh,Sale,3.4 Aana,889.85 square-feet,26 Feet,F 24 Feet,2025 August 11,321,Lalitpur,27,1300m,Harisiddhi | Mount View Housing,100m,8km,100m,400m,200m,300m,100m,50m,50m,12km,16km,100m,50m,100m,300m,350m,Harisiddhi,4,1,4,1,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-7960,lalpurja,house,Lalitpur,7960,Property Details,2 Crore 15 Lakh,Residential,North-East,2082,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",2 Crore 15 Lakh,Sale,2.75 Aana,684.5 square-feet,13 Feet,F 24 Feet,2025 August 10,187,Mahalaxmi,05,3km,Tikathali | Bhandari Gaun,400m,6km,200m,300m,200m,450m,200m,150m,600m,10km,16km,200m,100m,250m,460m,370m,Tikathali,7,2,5,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-7959,lalpurja,house,Lalitpur,7959,Property Details,2 Crore 90 Lakh,Residential,East,2082,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",2 Crore 90 Lakh,Sale,3.5 Aana,1026.75 square-feet,13 Feet,F 30 Feet,2025 August 10,183,Mahalaxmi,05,3km,Tikathali | Bhandarigaun,300m,6km,200m,400m,200m,250m,200m,100m,550m,10km,14km,300m,100m,200m,450m,350m,Tikathali,7,2,5,2,1,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-7958,lalpurja,house,Lalitpur,7958,Property Details,2 Crore 90 Lakh,Residential,East,2082,Paved,Yes,,"Lalitpur, Tikathali",2 Crore 90 Lakh,Sale,3.75 Aana,1026.75 square-feet,13 Feet,F 25 Feet,2025 August 10,134,Mahalaxmi,05,3km,Tikathali | Bhandarigaun,300m,6km,200m,300m,200m,300m,150m,100m,600m,10km,14km,300m,100m,200m,300m,500m,Tikathali,8,2,5,2,1,3.5
https://lalpurjanepal.com.np/properties/house-for-at-tikathali-lalitpur-7957,lalpurja,house,Lalitpur,7957,Property Details,2 Crore 80 Lakh,Residential,North,2082,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",2 Crore 80 Lakh,Sale,3.5 Aana,1026.75 square-feet,13 Feet,F 27 Feet,2025 August 10,124,Mahalaxmi,05,3km,Tikathali | Bhandari Gaun,500m,6km,10km,400m,300m,400m,200m,100m,700m,10km,14km,200m,100m,300m,400m,300m,Tikathali,7,2,5,2,1,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tikathali-lalitpur-7956,lalpurja,house,Lalitpur,7956,Property Details,2 Crore 80 Lakh,Residential,South-East,2082,Paved,Yes,Semi Furnished,"Lalitpur, Tikathali",2 Crore 80 Lakh,Sale,4.12 Aana,1026.75 square-feet,10 Feet,F 26 Feet,2025 August 10,130,Mahalaxmi,05,3km,Tikathali | Bhandarigaun,600m,8km,200m,300m,100m,400m,400m,100m,400m,12km,16km,300m,200m,250m,400m,600m,Tikathali,8,2,4,2,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-imadol-7903,lalpurja,house,Lalitpur,7903,Property Details,2 Crore 98 Lakh,Residential,South-East,2024,Paved,Yes,Semi Furnished,"Lalitpur, Imadol",2 Crore 98 Lakh,Sale,3.5 Aana,1026.75 square-feet,13 Feet,,2025 August 7,224,Mahalaxmi,04,4km,Imadol | Krishna Mandir,200m,4km,100m,500m,100m,100m,100m,100m,200m,9km,12km,100m,100m,100m,200m,400m,Imadol,5,2,4,2,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-sanogaun-7902,lalpurja,house,Lalitpur,7902,Property Details,1 Crore 75 Lakh,Residential,South,2024,Paved,Yes,Semi Furnished,"Lalitpur, Sanogaun",1 Crore 75 Lakh,Sale,2.5 Aana,684.5 square-feet,8 Feet,,2025 August 7,354,Mahalaxmi,08,4km,Sanogaun | Bhat Bhateni,200m,4km,100m,150m,100m,100m,50m,100m,100m,9km,12km,100m,100m,100m,150m,400m,Sanogaun,5,2,5,1,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-sanogaun-7900,lalpurja,house,Lalitpur,7900,Property Details,3 Crore,Semi-commercial,South-East,2025,Paved,Yes,Semi Furnished,"Lalitpur, Sanogaun",3 Crore,Sale,4.25 Aana,1283.43 square-feet,24 Feet,,2025 August 7,110,Mahalaxmi,08,4km,Sanogaun | Bhat Bhateni,200m,4km,50m,150m,100m,100m,100m,50m,100m,9km,12km,100m,100m,100m,200m,400m,Sanogaun,5,2,4,1,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-harisiddhi-thaiba-godawari-7890,lalpurja,house,Lalitpur,7890,Property Details,3 Crore 30 Lakh,Residential,South-East,2079,Paved,Yes,Semi Furnished,"Lalitpur, Godawari",3 Crore 30 Lakh,Sale,5 Aana,1026.75 square-feet,20 Feet,F 28 Feet,2025 August 6,160,Godawari,14,5km,Thaiba | Southern Height,400m,10km,200m,700m,800m,300m,200m,100m,300m,14km,20km,400m,150m,200m,600m,400m,Godawari,5,1,4,1,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-sitalheight-imadol-7875,lalpurja,house,Lalitpur,7875,Property Details,2 Crore 60 Lakh,Residential,South-East,2078,Paved,Yes,Semi Furnished,"Lalitpur, Imadol",2 Crore 60 Lakh,Sale,3.5 Aana,855.62 square-feet,13 Feet,F 28 Feet,2025 August 5,197,Mahalaxmi,06,3km,Imadol | Mingma Store,800m,9km,200m,500m,200m,500m,400,300m,600m,12km,16km,300m,300m,400m,600m,600m,Imadol,5,2,3,2,1,2.5
