district,property_type,property_face,road_type,furnishing,municipality,ward_no,neighborhood,total_price,land_size_aana,built_up_sqft,house_age,road_width_feet,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,college_m,public_transport_m,police_station_m,boudhanath_m,ring_road_m,is_corner_plot,neighborhood_encoded,municipality_encoded,log_land,log_built,floor_area_ratio,urban_centrality,amenity_access_score,house_size_score,comm_road_premium,neighborhood_x_district,municipality_x_ward,age_condition_score,ring_road_proximity
1,1,0,1,1,Budhanilkantha,2.0,Budhanilkantha,150000000.0,15.5,2395.75,2.0,13.0,2500.0,12000.0,200.0,4000.0,200.0,200.0,100.0,200.0,11000.0,5000.0,0,17.65948418097955,17.57755518264029,2.803360380906535,7.781868931957106,0.45161290322580644,0.05583429764686576,0.7216069707145285,21.815383053256003,13.0,17.65948418097955,35.15511036528058,0.6666666666666666,0.1174068144882187
1,2,0,0,2,Kathmandu,16.0,Outskirt_Zone,32000000.0,4.25,1369.0,23.0,10.0,100.0,6000.0,100.0,4000.0,50.0,100.0,50.0,50.0,7000.0,500.0,0,16.79260469575891,17.620749917248713,1.6582280766035324,7.222566018822171,0.9411764705882353,0.06704081024590951,0.9420276869591478,11.976661757533522,20.0,16.79260469575891,281.9319986759794,0.125,0.1608594760130434
1,0,0,1,2,Budhanilkantha,8.0,Budhanilkantha,22500000.0,4.5,1026.75,8.0,8.0,800.0,8000.0,200.0,2000.0,500.0,500.0,200.0,500.0,7000.0,3000.0,0,17.65948418097955,17.57755518264029,1.7047480922384253,6.935127225777988,0.6666666666666666,0.0588442195298682,0.6875521732459347,11.822644907575787,0.0,17.65948418097955,140.6204414611223,0.3333333333333333,0.12489538691450888
1,1,4,0,1,Budhanilkantha,10.0,Budhanilkantha,37000000.0,4.0,1026.0,1.0,13.0,600.0,7000.0,200.0,2000.0,500.0,500.0,100.0,800.0,6000.0,2000.0,0,17.65948418097955,17.57755518264029,1.6094379124341003,6.934397209928558,0.7494521548575602,0.06077102406814365,0.7223845165837026,11.160481769536268,13.0,17.65948418097955,175.77555182640288,1.0,0.13155467320159442
1,1,1,0,0,Kathmandu,16.0,Raniban,41500000.0,4.0,1026.75,3.0,13.0,1000.0,7000.0,500.0,2000.0,200.0,500.0,240.0,444.0,7200.0,1420.0,0,17.48637464870386,17.620749917248713,1.6094379124341003,6.935127225777988,0.75,0.06206198049369629,0.67648717991761,11.161656684721018,13.0,17.48637464870386,281.9319986759794,0.25,0.13775781821830962
1,1,5,0,2,Kathmandu,16.0,Machhapokhari,35000000.0,5.99,1369.0,32.0,6.0,1000.0,8000.0,200.0,2000.0,100.0,500.0,500.0,440.0,6100.0,500.0,1,17.33621900306092,17.620749917248713,1.944480556245719,7.222566018822171,0.667779632721202,0.06577247706386856,0.7108440896426191,14.044139189800763,6.0,17.33621900306092,281.9319986759794,0.09090909090909091,0.1608594760130434
1,0,7,0,2,Kathmandu,13.0,Kalimati,130000000.0,5.5,1711.25,22.0,50.0,500.0,7000.0,100.0,2000.0,500.0,500.0,100.0,100.0,6200.0,1000.0,0,17.833816353911054,17.620749917248713,1.8718021769015913,7.445563574078014,0.9090909090909091,0.06344145914313616,0.7550770826971502,13.93662210621842,0.0,17.833816353911054,229.06974892423327,0.13043478260869565,0.1447438839476537
1,1,4,0,1,Kathmandu,15.0,Dallu,35000000.0,4.15,1197.875,17.0,20.0,500.0,7000.0,100.0,2000.0,200.0,200.0,222.0,390.0,6000.0,2000.0,0,17.48271979796729,17.620749917248713,1.6389967146756448,7.089138896048115,0.8433734939759036,0.06077102406814365,0.7510397715652699,11.619075360502189,20.0,17.48271979796729,264.3112487587307,0.1111111111111111,0.13155467320159442
1,1,1,1,0,Budhanilkantha,3.0,Kapan,16000000.0,2.5,821.4,3.0,11.0,500.0,4000.0,1000.0,3000.0,50.0,50.0,50.0,50.0,3000.0,740.0,0,17.289342158205557,17.57755518264029,1.252762968495368,6.7122268947009,0.96,0.06710373461059284,0.8142729162487816,8.408829289819947,11.0,17.289342158205557,52.73266554792087,0.25,0.15133170480824412
1,1,1,0,0,Budhanilkantha,10.0,Kapan,21500000.0,2.95,975.412,7.0,12.0,1000.0,4000.0,50.0,3000.0,1000.0,1000.0,50.0,500.0,3000.0,50.0,0,17.289342158205557,17.57755518264029,1.3737155789130306,6.883884628488347,0.9661011996880068,0.08179206250881173,0.7981573241833919,9.456499557594382,12.0,17.289342158205557,175.77555182640288,0.125,0.25433477814404226
