title,location_raw,floors,price_npr,land_size_aana,buildup_area_sqft,road_width_feet,facing,built_year_bs,built_year_ad,house_age,parking_cars,parking_bikes,bedrooms,bathrooms,amenities,district
Brand new house for sale at Tikathali,"Tikathali, Lalitpur",2.0,22000000.0,4.0,1800.0,13.0,East,2072.0,2015.0,10.0,,,4.0,2.0,"Earthquake Resistant, Marbel, Parquet, Power Backup, Garden, Modular Kitchen, Parking, Internet, Drinking Water, Bathroom, Drainage",Lalitpur
Beautiful bungalow for sale at Mandikhatar,"Mandikhatar, Kathmandu",2.5,120000000.0,16.0,4500.0,16.0,South,2072.0,2015.0,10.0,,,4.0,4.0,"Drainage, Bathroom, Drinking Water, Marbel, Garden, Parking, Parquet",Kathmandu
"House for sale near Krishna Mandir, Imadol","Imadol, Lalitpur",2.5,23000000.0,3.0,,12.0,East,2079.0,2022.0,3.0,,,4.0,2.0,"Drainage, Bathroom, Parking, Marbel, Earthquake Resistant",Lalitpur
Residential house on sale in Sanagaun,"Sanagaun, Lalitpur",2.5,22000000.0,3.1,,16.0,South,2070.0,2013.0,12.0,,,4.0,5.0,"Marbel, Earthquake Resistant, Bathroom, Drainage, Parking",Lalitpur
"Attractive house for sale in Imadol, Sheetal Height","Imadol, Lalitpur",2.5,25000000.0,3.3,,13.0,South-West,2072.0,2015.0,10.0,,,4.0,4.0,"Drainage, Bathroom, Marbel, Earthquake Resistant, Parking",Lalitpur
"House on sale at Cozy Homes, Imadol","Imadol, Lalitpur",3.5,35000000.0,4.0,,13.0,North,2074.0,2017.0,8.0,,,6.0,3.0,"Drainage, Bathroom, Parking, Earthquake Resistant, Marbel",Lalitpur
"House on sale in Cozy Homes, Imadol","Imadol, Lalitpur",3.5,35000000.0,4.0,,13.0,North,2080.0,2023.0,2.0,,,7.0,4.0,"Earthquake Resistant, Marbel, Bathroom, Drainage, Parking",Lalitpur
"Beautiful house for sale in Imadol, Sheetal Height","Imadol, Lalitpur",2.5,22000000.0,3.0,,20.0,West,2078.0,2021.0,4.0,,,4.0,4.0,"Marbel, Earthquake Resistant, Bathroom, Drainage, Parking",Lalitpur
"House on sale at Imadol, Sheetal Height","Imadol, Lalitpur",2.5,23000000.0,3.1,,10.0,South-East,2078.0,2021.0,4.0,,,5.0,5.0,"Earthquake Resistant, Marbel, Bathroom, Drainage, Parking",Lalitpur
"House for sale at Imadol, Sheetal Height","Imadol, Lalitpur",2.5,28500000.0,3.3,,13.0,East,2078.0,2021.0,4.0,,,4.0,2.0,"Marbel, Earthquake Resistant, Bathroom, Drainage, Parking",Lalitpur
"House for sale in Imadol, Sheetal Height","Imadol, Lalitpur",2.5,26000000.0,3.0,,13.0,West,2078.0,2021.0,4.0,,,4.0,4.0,"Drainage, Bathroom, Parking, Marbel, Earthquake Resistant",Lalitpur
"House on sale at Balkhu, Kathmandu","Balkhu, Kathmandu",3.0,42500000.0,6.0,3000.0,15.0,South-West,2078.0,2021.0,4.0,,,8.0,3.0,"Drainage, Parking, Drinking Water, Power Backup, Power Backup, Bathroom",Kathmandu
Residential house on sale at Khumaltar,"Khumaltar, Lalitpur",2.5,24000000.0,5.1,,12.0,East,2076.0,2019.0,6.0,,,5.0,5.0,"Earthquake Resistant, AirCon, Bed Room, Garden, Drainage, Bathroom",Lalitpur
Commercial building for rent in Dhungeadda,"Dhungeadda, Kathmandu",5.0,500000.0,8.0,9000.0,14.0,North,2076.0,2019.0,6.0,,,8.0,6.0,"Drinking Water, Bathroom, Drainage, Power Backup, Parking",Kathmandu
Luxurious bungalow for rent at Golfutar,"Golfutar, Kathmandu",2.5,550000.0,50.0,,16.0,,2075.0,2018.0,7.0,,,5.0,5.0,"Drainage, Bathroom, Drinking Water, Parking, Garden, Swimming Pool, Marbel",Kathmandu
Beautiful house on sale at Balkhu,"Balkhu, Kathmandu",2.5,22300000.0,3.0,1455.0,16.0,North,2076.0,2019.0,6.0,,,3.0,3.0,"Earthquake Resistant, Marbel, Parquet, Dining Room, Modular Kitchen, Drinking Water, Bathroom, Drainage, Parking",Kathmandu
"House on sale in Thulo Bharyang, Kathmandu","Thulobharyang, Kathmandu",2.5,100000000.0,7.7,,13.0,North,2076.0,2019.0,6.0,,,5.0,3.0,"Power Backup, Drinking Water, Bathroom, Drainage, Parking, Garden",Kathmandu
Attractive bungalow house for sale in Mandikhatar,"Mandikhatar, Kathmandu",2.5,27500000.0,4.0,,13.0,East,2071.0,2014.0,11.0,,,6.0,6.0,"Power Backup, Drinking Water, Bathroom, Drainage, Parking",Kathmandu
"Commercial building for sale in Imadol, Lalitpur","Imadol, Lalitpur",3.0,125000000.0,14.0,,40.0,South,2078.0,2021.0,4.0,,,,,"Power Backup, Drinking Water, Drainage, Bathroom",Lalitpur
"Beautiful house for sale in Kapan, Kharibot","Kharibot, Kathmandu",2.5,28800000.0,4.1,,15.0,South,2074.0,2017.0,8.0,,,,,"Power Backup, Drinking Water, Drainage",Kathmandu
