category,ad_id,title,location_raw,district,neighborhood,road_type,raw_price,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot
land,HB-19155D,Land for Sale in Dahachok 5aana 3paisa!,"Dahachok Khahare Buspark Mahadev Temple, Chandragiri-1, Kathmandu",Kathmandu,Dahachok Khahare Buspark Mahadev Temple,Unknown,1500000.0,5.75,1500000.0,8625000.0,False,False,False,False
land,HB-DD261D,3 Aana land sale at Balkot,"Suryabinayak-2, Bhaktapur, Bagmati Pradesh",Bhaktapur,Suryabinayak,13-20 Ft,3200000.0,3.0,3200000.0,9600000.0,False,False,False,False
land,HB-4019AE,"Land On Sale At Pasikot, Budhanilkantha","Pasikot, Budhanilakantha-4, Kathmandu",Kathmandu,Pasikot,Gravel Road,3500000.0,8.0,3500000.0,28000000.0,False,False,False,False
land,HB-655B61,4 Aana 1 Paisa Land For Sale In Basbari,"Basbari Higher Secondary School / Chiran Milan Bishwashanti Campus, Kathmandu-3, Kathmandu",Kathmandu,Chiran Milan Bishwashanti Campus,Unknown,7000000.0,4.0,7000000.0,28000000.0,False,False,False,False
land,HB-F2CC90,5 Ropani 13 Aana Land For Sale In Kirtipur,"Kirtipur, Ajaya Marga, Kirtipur-6, Kathmandu",Kathmandu,Kirtipur,Unknown,800000.0,80.0,800000.0,64000000.0,False,False,False,True
land,HB-580091,चलेको दाम भन्दा निकै सस्तो आरुबारीमा जग्गा बिक्री,"Aarubari Chowk Bus Stop, Mahankal Marg, Gokarneshwor-9, Kathmandu",Kathmandu,Gokarneshwor,Unknown,3700000.0,12.0,3700000.0,44400000.0,False,False,False,False
land,HB-EFE753,Land On Sale At Basundhara,"Basundhara Banquet, Kathmandu-22, Kathmandu",Kathmandu,Basundhara Banquet,Pitched Road,7000000.0,7.5,7000000.0,52500000.0,False,False,False,False
land,HB-94F27C,16 Aana Land for Sale At Budhanilkantha Chapali,"Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Budhanilkantha,13-20 Ft,4500000.0,16.0,4500000.0,72000000.0,False,False,False,False
land,HB-365DBD,Land On Sale At Sitapaila,"Sitapaila Kirana, Kathmandu-13, Kathmandu",Kathmandu,Sitapaila,Above 20 Ft,8000000.0,11.0,8000000.0,88000000.0,False,False,False,False
land,HB-88515C,5aana land for sale bhaisepati lalitapur awas2,"Bhaisepati, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Bhaisepati,Above 20 Ft,5700000.0,5.0,5700000.0,28500000.0,False,False,False,False
land,HB-CB4E0F,सस्तो ज्ग्गा,"Masala Fed (Seti Devi), Chandragiri, Chandragiri Municipality, Kathmandu",Kathmandu,Masala Fed,13-20 Ft,2200000.0,4.0,2200000.0,8800000.0,False,False,False,False
land,HB-50CDEA,Land on sale,"Lazimpat Road, Kathmandu, Kathmandu",Kathmandu,Lajimpat,Unknown,7000000.0,42.0,7000000.0,294000000.0,False,False,False,False
