neighborhood,district,location_raw,price_per_aana,land_size_aana,calculated_total_price,road_width_feet,road_type,facing,is_wide_road,is_price_suspect,is_large_plot,is_rate_outlier,is_price_outlier
Sipadol,Bhaktapur,"Sipadol, Bhaktapur",3500000.0,4.0,14000000.0,20.0,Pitched,East,False,False,False,False,False
Sipadol,Bhaktapur,"Sipadol, Bhaktapur",,6.3,,20.0,Pitched,South-East,False,False,False,False,False
Balambu,Kathmandu,"Balambu, Kathmandu",3000000.0,,,26.0,Gravel,East,False,False,False,False,False
Syuchatar,Kathmandu,"Syuchatar, Kathmandu",1600000.0,,,4.0,Gravel,South,False,False,False,False,False
Ramkot,Kathmandu,"Ramkot, Kathmandu",2800000.0,,,14.0,Gravel,South,False,False,False,False,False
Ranibari,Kathmandu,"Ranibari, Kathmandu",5500000.0,,,,,North-East,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",6000000.0,2.2,13200000.000000002,20.0,Pitched,South,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",7000000.0,3.2,22400000.0,20.0,Pitched,South,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",5800000.0,,,13.0,Pitched,West,False,False,False,False,False
Bafal,Kathmandu,"Bafal, Kathmandu",,,66000000.0,13.0,Gravel,East,False,False,False,False,False
Bishnumati Bridge,Kathmandu,"Bishnumati Bridge, Kathmandu",3500000.0,,,,,South-East,False,False,False,False,False
Sudal,Bhaktapur,"Sudal, Bhaktapur",2500000.0,5.3,13250000.0,26.0,Paved,South,False,False,False,False,False
Suryabinayak,Bhaktapur,"Suryabinayak, Bhaktapur",3500000.0,3.2,11200000.0,19.0,Paved,North-West,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",5200000.0,3.2,16640000.0,26.0,Gravel,North,False,False,False,False,False
Godawari,Lalitpur,"Godawari, Lalitpur",,,4300000.0,,,West,False,False,False,False,False
"Unknown, Unknown",Rupandehi,", Rupandehi",,,250000000.0,24.0,Pitched,South-East,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",3800000.0,,,13.0,Gravel,North-East,False,False,False,False,False
Dadhikot,Bhaktapur,"Dadhikot, Bhaktapur",2700000.0,,,13.0,Paved,North,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",4600000.0,,,20.0,Gravel,North-East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",4800000.0,,,18.0,Gravel,West,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",4800000.0,,,18.0,Gravel,East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3800000.0,4.1,15579999.999999998,20.0,Gravel,South-East,False,False,False,False,False
Changunarayan,Bhaktapur,"Changunarayan, Bhaktapur",2000000.0,3.1,6200000.0,10.0,Gravel,West,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",4400000.0,,,13.0,Gravel,South-West,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3500000.0,7.2,25200000.0,13.0,Gravel,North-West,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3000000.0,4.2,12600000.0,10.0,Gravel,South,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",5200000.0,,,13.0,Paved,East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",4700000.0,,,13.0,Gravel,North-East,False,False,False,False,False
Duwakot,Bhaktapur,"Duwakot, Bhaktapur",2200000.0,,,20.0,Gravel,West,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3700000.0,4.1,15169999.999999998,10.0,Paved,North-East,False,False,False,False,False
Bhangal,Kathmandu,"Bhangal , Kathmandu",4800000.0,5.1,24480000.0,13.0,Pitched,East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",3900000.0,5.2,20280000.0,20.0,Pitched,North,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3500000.0,3.1,10850000.0,13.0,Gravel,East,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3600000.0,,,13.0,Paved,North-East,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",5200000.0,,,13.0,Gravel,West,False,False,False,False,False
Kamerotar,Bhaktapur,"Kamerotar, Bhaktapur",5300000.0,5.2,27560000.0,20.0,Pitched,North-East,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",4600000.0,3.1,14260000.0,13.0,Gravel,South-East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",6500000.0,,,26.0,Gravel,South-East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",4500000.0,,,22.0,Paved,South,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",5500000.0,,,13.0,Pitched,South-West,False,False,False,False,False
Kamerotar,Bhaktapur,"Kamerotar, Bhaktapur",5300000.0,4.1,21729999.999999996,20.0,Pitched,West,False,False,False,False,False
