neighborhood,district,location_raw,price_per_aana,land_size_aana,calculated_total_price,road_width_feet,road_type,facing,is_wide_road,is_price_suspect,is_large_plot,is_rate_outlier,is_price_outlier
Sanagaun,Lalitpur,"Sanagaun, Lalitpur",3200000.0,,,20.0,Gravel,South,False,False,False,False,False
Lamatar,Lalitpur,"Lamatar, Lalitpur",2000000.0,,,20.0,Gravel,East,False,False,False,False,False
Shantinagar,Kathmandu,"Shantinagar, Kathmandu",65000000.0,6.1,396500000.0,20.0,Paved,East,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",2600000.0,,,13.0,Gravel,North-West,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",2600000.0,,,14.0,Gravel,South,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3700000.0,,,13.0,Gravel,South,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3300000.0,3.3,10890000.0,13.0,Gravel,South,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3500000.0,3.2,11200000.0,13.0,Gravel,South,False,False,False,False,False
Shantinagar,Kathmandu,"Shantinagar, Kathmandu",7500000.0,8.2,61499999.99999999,20.0,Paved,West,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",7000000.0,,,26.0,Paved,South,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",6000000.0,4.1,24599999.999999996,20.0,Gravel,East,False,False,False,False,False
Lokanthali,Bhaktapur,"Lokanthali, Bhaktapur",5700000.0,4.1,23369999.999999996,20.0,Gravel,West,False,False,False,False,False
Manohara,Kathmandu,"Manohara, Kathmandu",,2.2,,20.0,Pitched,East,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",5500000.0,5.2,28600000.0,20.0,Paved,North-West,False,False,False,False,False
Bode,Bhaktapur,"Bode, Bhaktapur",3800000.0,,,20.0,Gravel,South,False,False,False,False,False
Bistagaun,Kathmandu,"Bistagaun, Kathmandu",6000000.0,,,20.0,Paved,North-West,False,False,False,False,False
Chalnakhel,Kathmandu,"Chalnakhel, Kathmandu",2100000.0,,,13.0,Gravel,South,False,False,False,False,False
Kirtipur,Kathmandu,"Kirtipur, Kathmandu",2600000.0,4.1,10660000.0,13.0,Gravel,South-West,False,False,False,False,False
Balkumari,Lalitpur,"Balkumari, Lalitpur",4500000.0,5.2,23400000.0,13.0,Paved,South-West,False,False,False,False,False
Bhatkepati,Kathmandu,"Bhatkepati, Kathmandu",2700000.0,,,13.0,Paved,South-West,False,False,False,False,False
Machhegaun,Kathmandu,"Machhegaun , Kathmandu",2600000.0,5.2,13520000.0,13.0,Paved,South-West,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",5500000.0,4.2,23100000.0,13.0,Gravel,West,False,False,False,False,False
Samakhusi,Kathmandu,"Samakhusi, Kathmandu",7000000.0,4.2,29400000.0,13.0,Paved,South,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",,12.2,,11.0,Paved,East,False,False,False,False,False
Lazimpat,Kathmandu,"Lazimpat, Kathmandu",15000000.0,,,42.0,Paved,East,True,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",4500000.0,,,20.0,Paved,West,False,False,False,False,False
Koteshwor,Kathmandu,"Koteshwor, Kathmandu",8000000.0,,,22.0,Paved,South-East,False,False,False,False,False
Sanagaun,Lalitpur,"Sanagaun, Lalitpur",3500000.0,3.2,11200000.0,20.0,Gravel,East,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3000000.0,,,20.0,Gravel,South,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3500000.0,,,20.0,Gravel,West,False,False,False,False,False
Chundevi,Kathmandu,"Chundevi, Kathmandu",8500000.0,,,14.0,Pitched,North-East,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3000000.0,,,26.0,Pitched,North-West,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",4500000.0,,,16.0,Gravel,North-East,False,False,False,False,False
Tyanglafat,Kathmandu,"Tyanglafat, Kathmandu",3200000.0,4.2,13440000.0,13.0,Paved,South-West,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3000000.0,3.2,9600000.0,20.0,Gravel,North-East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",3800000.0,,,13.0,Gravel,West,False,False,False,False,False
Sanagaun,Lalitpur,"Sanagaun, Lalitpur",2800000.0,,,6.0,Gravel,East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3200000.0,,,13.0,Gravel,East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3200000.0,4.3,13760000.0,13.0,Gravel,East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3700000.0,,,10.0,Gravel,East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3200000.0,,,13.0,Gravel,East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3500000.0,,,13.0,Gravel,South,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3400000.0,,,13.0,Gravel,West,False,False,False,False,False
Dhunchepakha,Bhaktapur,"Dhunchepakha, Bhaktapur",4000000.0,3.1,12400000.0,13.0,Gravel,South,False,False,False,False,False
Thapagaun,Kathmandu,"Thapagaun, Kathmandu",8500000.0,4.2,35700000.0,14.0,Pitched,East,False,False,False,False,False
Budhanilkantha,Kathmandu,"Budhanilkantha, Kathmandu",4500000.0,4.2,18900000.0,13.0,Paved,East,False,False,False,False,False
Kirtipur,Kathmandu,"Kirtipur, Kathmandu",4500000.0,5.2,23400000.0,13.0,Paved,South-East,False,False,False,False,False
Tyanglafat,Kathmandu,"Tyanglafat, Kathmandu",5000000.0,8.2,41000000.0,13.0,Paved,South-West,False,False,False,False,False
Tyanglafat,Kathmandu,"Tyanglafat, Kathmandu",4500000.0,8.2,36900000.0,13.0,Paved,South-East,False,False,False,False,False
"Unknown, Unknown",Dhading,", Dhading",,,,,,South,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",3800000.0,7.1,26980000.0,13.0,Gravel,North,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4500000.0,3.2,14400000.0,13.0,Gravel,North,False,False,False,False,False
Sanagaun,Lalitpur,"Sanagaun, Lalitpur",4500000.0,3.2,14400000.0,13.0,Gravel,North,False,False,False,False,False
Sanagaun,Lalitpur,"Sanagaun, Lalitpur",3500000.0,,,13.0,Gravel,South,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",4000000.0,4.1,16399999.999999998,20.0,Gravel,East,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",3800000.0,3.2,12160000.0,6.0,Gravel,North,False,False,False,False,False
Bansbari,Kathmandu,"Bansbari, Kathmandu",6500000.0,,,13.0,Paved,East,False,False,False,False,False
Bishalnagar,Kathmandu,"Bishalnagar, Kathmandu",9000000.0,,,20.0,Paved,South-East,False,False,False,False,False
Baluwatar,Kathmandu,"Baluwatar, Kathmandu",15000000.0,3.2,48000000.0,16.0,Paved,South,False,False,False,False,False
Tyanglafat,Kathmandu,"Tyanglafat, Kathmandu",4500000.0,3.1,13950000.0,13.0,Paved,South-West,False,False,False,False,False
Tyanglafat,Kathmandu,"Tyanglafat, Kathmandu",4500000.0,,,13.0,Paved,South-West,False,False,False,False,False
Bansbari,Kathmandu,"Bansbari, Kathmandu",6000000.0,,,13.0,Pitched,South,False,False,False,False,False
Bansbari,Kathmandu,"Bansbari, Kathmandu",6500000.0,,,13.0,Pitched,East,False,False,False,False,False
Tyanglafat,Kathmandu,"Tyanglafat, Kathmandu",4500000.0,8.2,36900000.0,13.0,Paved,South-East,False,False,False,False,False
Khumaltar,Lalitpur,"Khumaltar, Lalitpur",6500000.0,,,13.0,Gravel,North-East,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",4500000.0,,,13.0,Gravel,South-East,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",4500000.0,4.3,19350000.0,13.0,Gravel,South-East,False,False,False,False,False
Maharajgunj,Kathmandu,"Maharajgunj, Kathmandu",7500000.0,,,20.0,Pitched,West,False,False,False,False,False
Maharajgunj,Kathmandu,"Maharajgunj, Kathmandu",6000000.0,,,13.0,Gravel,West,False,False,False,False,False
Maharajgunj,Kathmandu,"Maharajgunj, Kathmandu",6000000.0,,,13.0,Pitched,East,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",3800000.0,,,13.0,Paved,North-West,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",3500000.0,,,13.0,Gravel,South,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",4000000.0,3.2,12800000.0,13.0,Gravel,North-West,False,False,False,False,False
Sanepa,Lalitpur,"Sanepa, Lalitpur",8000000.0,,,13.0,Pitched,South,False,False,False,False,False
Balkhu,Kathmandu,"Balkhu, Kathmandu",14310000.0,,,13.0,Pitched,South,False,False,False,False,False
Lamatar,Lalitpur,"Lamatar, Lalitpur",8500000.0,2.2,18700000.0,12.0,Gravel,North-East,False,False,False,False,False
Sanepa,Lalitpur,"Sanepa, Lalitpur",1590000.0,,,13.0,Pitched,South-West,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",6600000.0,4.2,27720000.0,26.0,Paved,South-East,False,False,False,False,False
Dhapakhel,Lalitpur,"Dhapakhel, Lalitpur",3200000.0,6.1,19520000.0,20.0,Gravel,West,False,False,False,False,False
Dhapakhel,Lalitpur,"Dhapakhel, Lalitpur",3200000.0,,,20.0,Gravel,North,False,False,False,False,False
Khumaltar,Lalitpur,"Khumaltar, Lalitpur",5500000.0,,,13.0,Gravel,South,False,False,False,False,False
Duwakot,Bhaktapur,"Duwakot, Bhaktapur",3300000.0,,,16.0,Gravel,West,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",3800000.0,,,13.0,Paved,North,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",4000000.0,6.2,24800000.0,22.0,Pitched,East,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",6000000.0,3.2,19200000.0,13.0,Paved,South-West,False,False,False,False,False
Deuwa Chowk,Kathmandu,"Deuwa Chowk, Kathmandu",4500000.0,,,22.0,Paved,East,False,False,False,False,False
Bharatpur,Chitwan,"Bharatpur, Chitwan",30000.0,,,,Pitched,North-West,False,False,False,True,False
Khumaltar,Lalitpur,"Khumaltar, Lalitpur",5700000.0,,,16.0,Paved,East,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",5000000.0,,,13.0,Gravel,South,False,False,False,False,False
Dhobichaur,Kathmandu,"Dhobichaur, Kathmandu",13000000.0,,,16.0,Pitched,North,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3900000.0,4.2,16380000.0,13.0,Gravel,South,False,False,False,False,False
Chhampi,Lalitpur,"Chhampi, Lalitpur",2100000.0,,,13.0,Gravel,South-East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",4000000.0,3.3,13200000.0,20.0,Gravel,West,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3800000.0,,,13.0,Gravel,West,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3800000.0,,,13.0,Gravel,South,False,False,False,False,False
Lokanthali,Bhaktapur,"Lokanthali, Bhaktapur",5500000.0,,,20.0,Pitched,West,False,False,False,False,False
Khumaltar,Lalitpur,"Khumaltar, Lalitpur",5700000.0,,,13.0,Pitched,West,False,False,False,False,False
Khumaltar,Lalitpur,"Khumaltar, Lalitpur",5900000.0,7.2,42480000.0,20.0,Gravel,West,False,False,False,False,False
Khumaltar,Lalitpur,"Khumaltar, Lalitpur",5800000.0,,,20.0,Gravel,South-East,False,False,False,False,False
Khumaltar,Lalitpur,"Khumaltar, Lalitpur",4500000.0,4.2,18900000.0,13.0,Gravel,North-East,False,False,False,False,False
Setipakha,Lalitpur,"Setipakha, Lalitpur",4000000.0,4.3,17200000.0,13.0,Gravel,West,False,False,False,False,False
Thapathali,Kathmandu,"Thapathali, Kathmandu",4770000.0,,,12.0,Pitched,North,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3800000.0,,,13.0,Gravel,South,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3900000.0,4.2,16380000.0,20.0,Gravel,South,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3900000.0,4.2,16380000.0,20.0,Gravel,South,False,False,False,False,False
Sanagaun,Lalitpur,"Sanagaun, Lalitpur",3600000.0,,,20.0,Gravel,West,False,False,False,False,False
Sanagaun,Lalitpur,"Sanagaun, Lalitpur",3600000.0,,,20.0,Gravel,South,False,False,False,False,False
Ratopool,Kathmandu,"Ratopool, Kathmandu",9000000.0,,,30.0,Pitched,East,False,False,False,False,False
Maharajgunj,Kathmandu,"Maharajgunj, Kathmandu",7000000.0,,,18.0,Pitched,South-East,False,False,False,False,False
Gatthaghar,Bhaktapur,"Gatthaghar, Bhaktapur",4500000.0,,,16.0,Gravel,South,False,False,False,False,False
Thimi,Bhaktapur,"Thimi, Bhaktapur",3500000.0,,,13.0,Paved,South,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3800000.0,5.2,19760000.0,20.0,Gravel,South-East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",4000000.0,3.1,12400000.0,20.0,Gravel,South-East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3600000.0,3.1,11160000.0,13.0,Paved,North-East,False,False,False,False,False
Bhadra Basti,Kathmandu,"Bhadra Basti, Kathmandu",4000000.0,,,13.0,Pitched,West,False,False,False,False,False
Budhanilkantha,Kathmandu,"Budhanilkantha, Kathmandu",7000000.0,,,26.0,Pitched,,False,False,False,False,False
Katunje,Bhaktapur,"Katunje, Bhaktapur",4000000.0,12.2,48800000.0,20.0,Pitched,South-East,False,False,False,False,False
Baluwatar,Kathmandu,"Baluwatar, Kathmandu",8500000.0,,,13.0,Pitched,East,False,False,False,False,False
Sipadol,Bhaktapur,"Sipadol, Bhaktapur",2900000.0,,,,Paved,South-East,False,False,False,False,False
Pasikot,Kathmandu,"Pasikot, Kathmandu",5500000.0,5.1,28049999.999999996,20.0,Pitched,East,False,False,False,False,False
Tej Vinayak,Kathmandu,"Tej Vinayak, Kathmandu",4500000.0,,,13.0,Gravel,South,False,False,False,False,False
Tej Vinayak,Kathmandu,"Tej Vinayak, Kathmandu",4500000.0,,,13.0,Gravel,South,False,False,False,False,False
Gothatar,Kathmandu,"Gothatar, Kathmandu",6000000.0,,,30.0,Paved,West,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",5500000.0,3.1,17050000.0,22.0,Gravel,West,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",5500000.0,,,22.0,Paved,South,False,False,False,False,False
Mahalaxmisthan,Lalitpur,"Mahalaxmisthan, Lalitpur",7500000.0,5.1,38250000.0,13.0,Paved,South-East,False,False,False,False,False
Ochu Height,Lalitpur,"Ochu Height, Lalitpur",4900000.0,3.1,15190000.0,22.0,Paved,South,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",5000000.0,,,20.0,Paved,North,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4500000.0,,,13.0,Paved,West,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",3700000.0,5.1,18870000.0,12.0,Paved,West,False,False,False,False,False
Sudal,Bhaktapur,"Sudal, Bhaktapur",1800000.0,3.3,5940000.0,20.0,Paved,South,False,False,False,False,False
Naya Basti,Kathmandu,"Naya Basti, Kathmandu",4770000.0,,,20.0,Paved,East,False,False,False,False,False
Radhe Radhe,Bhaktapur,"Radhe Radhe, Bhaktapur",7000000.0,264.3,1850100000.0,,Pitched,West,False,False,True,False,True
Jhor,Kathmandu,"Jhor, Kathmandu",1300000.0,,,12.0,Paved,South,False,False,False,False,False
Jhor,Kathmandu,"Jhor, Kathmandu",1300000.0,,,,,South,False,False,False,False,False
Purano Naikap,Kathmandu,"Purano Naikap, Kathmandu",2900000.0,,,13.0,Gravel,East,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",4000000.0,,,13.0,Gravel,West,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",3900000.0,4.2,16380000.0,13.0,Gravel,East,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",4800000.0,3.3,15840000.0,13.0,Paved,South,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",3900000.0,3.1,12090000.0,16.0,Paved,West,False,False,False,False,False
Taulung,Kathmandu,"Taulung, Kathmandu",1700000.0,,,20.0,Pitched,South-East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3600000.0,,,20.0,Gravel,West,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3400000.0,3.2,10880000.0,20.0,Gravel,South,False,False,False,False,False
Dhapakhel,Lalitpur,"Dhapakhel, Lalitpur",3000000.0,,,13.0,Paved,North-East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",4000000.0,4.1,16399999.999999998,13.0,Gravel,East,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3000000.0,,,13.0,Paved,East,False,False,False,False,False
Lamatar,Lalitpur,"Lamatar, Lalitpur",2300000.0,,,13.0,Gravel,North,False,False,False,False,False
Lamatar,Lalitpur,"Lamatar, Lalitpur",2300000.0,3.3,7590000.0,13.0,Gravel,North,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",3800000.0,,,13.0,Gravel,South-West,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",3800000.0,3.2,12160000.0,13.0,Gravel,South,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",3350000.0,3.2,10720000.0,13.0,Gravel,South,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",3800000.0,,,13.0,Gravel,East,False,False,False,False,False
Sankhu,Kathmandu,"Sankhu, Kathmandu",2700000.0,,,16.0,Gravel,South,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",2600000.0,,,13.0,Gravel,North,False,False,False,False,False
Lamatar,Lalitpur,"Lamatar, Lalitpur",6200000.0,,,26.0,Paved,North,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3200000.0,,,10.0,Gravel,East,False,False,False,False,False
Shital Height,Lalitpur,"Shital Height, Lalitpur",3800000.0,6.1,23180000.0,13.0,Gravel,South,False,False,False,False,False
Dhungedhara,Kathmandu,"Dhungedhara, Kathmandu",7500000.0,,,13.0,Pitched,South,False,False,False,False,False
Rudreshwor,Kathmandu,"Rudreshwor, Kathmandu",6000000.0,,,16.0,Pitched,West,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3500000.0,,,22.0,Gravel,North-West,False,False,False,False,False
Siddhipur,Lalitpur,"Siddhipur, Lalitpur",3800000.0,,,13.0,Gravel,West,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",3800000.0,3.2,12160000.0,13.0,Gravel,North,False,False,False,False,False
Lokanthali,Bhaktapur,"Lokanthali, Bhaktapur",7000000.0,10.2,71400000.0,30.0,Paved,East,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",4800000.0,3.3,15840000.0,13.0,Paved,South,False,False,False,False,False
Bode,Bhaktapur,"Bode, Bhaktapur",3500000.0,,,26.0,Paved,East,False,False,False,False,False
Tikathali,Lalitpur,"Tikathali, Lalitpur",2226000.0,,,20.0,Gravel,South,False,False,False,False,False
Bode,Bhaktapur,"Bode, Bhaktapur",3600000.0,,,20.0,Paved,East,False,False,False,False,False
Lubhu,Lalitpur,"Lubhu, Lalitpur",3000000.0,4.2,12600000.0,13.0,Gravel,South,False,False,False,False,False
Sanagaun,Lalitpur,"Sanagaun, Lalitpur",3800000.0,,,20.0,Gravel,East,False,False,False,False,False
Sanagaun,Lalitpur,"Sanagaun, Lalitpur",3700000.0,,,12.0,Gravel,East,False,False,False,False,False
Tandi,Chitwan,"Tandi, Chitwan",250000.0,2.3,575000.0,,,South,False,False,False,True,False
Sanagaun,Lalitpur,"Sanagaun, Lalitpur",3500000.0,,,13.0,Paved,West,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",6000000.0,4.3,25800000.0,20.0,Pitched,East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",5000000.0,,,25.0,Paved,South,False,False,False,False,False
Thaiba,Lalitpur,"Thaiba, Lalitpur",4000000.0,4.2,16800000.0,15.0,Paved,South,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",3800000.0,4.2,15960000.0,22.0,Paved,South-West,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",3500000.0,4.2,14700000.0,15.0,Paved,East,False,False,False,False,False
Bhaisepati,Lalitpur,"Bhaisepati, Lalitpur",,5.1,,13.0,Pitched,South,False,False,False,False,False
Mid Baneshwor,Kathmandu,"Mid Baneshwor, Kathmandu",8500000.0,6.1,51850000.0,13.0,Pitched,East,False,False,False,False,False
Budhanilkantha,Kathmandu,"Budhanilkantha, Kathmandu",5500000.0,,,13.0,Pitched,North,False,False,False,False,False
Nakkhu,Lalitpur,"Nakkhu, Lalitpur",4500000.0,,,13.0,Pitched,East,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",3500000.0,3.3,11550000.0,13.0,Paved,West,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",3500000.0,3.3,11550000.0,13.0,Paved,West,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",4000000.0,,,12.0,Paved,East,False,False,False,False,False
Hattiban,Lalitpur,"Hattiban, Lalitpur",4000000.0,,,16.0,Paved,North,False,False,False,False,False
Setipakha,Lalitpur,"Setipakha, Lalitpur",4500000.0,,,22.0,Gravel,West,False,False,False,False,False
Setipakha,Lalitpur,"Setipakha, Lalitpur",4500000.0,,,20.0,Paved,North-East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",11500000.0,3.1,35650000.0,12.0,Paved,South,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4400000.0,4.1,18040000.0,14.0,Paved,South-West,False,False,False,False,False
Balkumari,Lalitpur,"Balkumari, Lalitpur",4500000.0,3.3,14850000.0,13.0,Paved,South-East,False,False,False,False,False
Imadol,Lalitpur,"Imadol, Lalitpur",4500000.0,3.3,14850000.0,13.0,Paved,West,False,False,False,False,False
Thimi,Bhaktapur,"Thimi, Bhaktapur",5200000.0,,,26.0,Pitched,East,False,False,False,False,False
Kamerotar,Bhaktapur,"Kamerotar, Bhaktapur",4500000.0,,,20.0,Paved,East,False,False,False,False,False
Kamerotar,Bhaktapur,"Kamerotar, Bhaktapur",4700000.0,,,26.0,Pitched,East,False,False,False,False,False
Kamerotar,Bhaktapur,"Kamerotar, Bhaktapur",4600000.0,,,20.0,Paved,West,False,False,False,False,False
Tej Vinayak,Kathmandu,"Tej Vinayak, Kathmandu",3700000.0,,,13.0,Paved,East,False,False,False,False,False
Bode,Bhaktapur,"Bode, Bhaktapur",3800000.0,,,20.0,Pitched,South,False,False,False,False,False
Dhumbarahi,Kathmandu,"Dhumbarahi, Kathmandu",8000000.0,,,12.0,Pitched,South,False,False,False,False,False
Salyanthan Plotting,Kathmandu,"Salyanthan Plotting, Kathmandu",2600000.0,4.2,10920000.0,13.0,Gravel,South-East,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",3600000.0,,,20.0,Gravel,East,False,False,False,False,False
Balkot,Bhaktapur,"Balkot, Bhaktapur",4000000.0,,,20.0,Gravel,West,False,False,False,False,False
Kaushaltar,Bhaktapur,"Kaushaltar, Bhaktapur",5000000.0,,,13.0,Paved,North,False,False,False,False,False
Thimi,Bhaktapur,"Thimi, Bhaktapur",4500000.0,,,13.0,Gravel,East,False,False,False,False,False
Bhaktapur,Bhaktapur,"Bhaktapur, Bhaktapur",5500000.0,3.1,17050000.0,20.0,Paved,West,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",5700000.0,,,20.0,Gravel,West,False,False,False,False,False
Sirutar,Bhaktapur,"Sirutar, Bhaktapur",3500000.0,,,13.0,Gravel,East,False,False,False,False,False
Tripureshwor,Kathmandu,"Tripureshwor, Kathmandu",,,,20.0,Pitched,South,False,False,False,False,False
Nalang,Dhading,"Nalang, Dhading",75000.0,,,20.0,Gravel,West,False,False,False,True,False
Taukhel,Lalitpur,"Taukhel, Lalitpur",1800000.0,,,13.0,Pitched,East,False,False,False,False,False
Sirutar,Bhaktapur,"Sirutar, Bhaktapur",4200000.0,,,22.0,Pitched,West,False,False,False,False,False
Dibyeshwori Townplanning,Bhaktapur,"Dibyeshwori Townplanning, Bhaktapur",5500000.0,,,20.0,Pitched,East,False,False,False,False,False
Buddhanagar,Kathmandu,"Buddhanagar, Kathmandu",9200000.0,4.3,39560000.0,13.0,Pitched,East,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",7000000.0,7.3,51100000.0,26.0,Pitched,South-East,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",6700000.0,,,20.0,Pitched,West,False,False,False,False,False
Bansbari,Kathmandu,"Bansbari, Kathmandu",650000.0,,,20.0,Paved,South,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",6500000.0,,,20.0,Gravel,West,False,False,False,False,False
Pepsicola,Kathmandu,"Pepsicola, Kathmandu",5500000.0,,,20.0,Gravel,West,False,False,False,False,False
Pasikot,Kathmandu,"Pasikot, Kathmandu",4200000.0,,,16.0,Pitched,South,False,False,False,False,False
Changathali,Lalitpur,"Changathali, Lalitpur",3600000.0,,,13.0,Gravel,West,False,False,False,False,False
Harisiddhi,Lalitpur,"Harisiddhi, Lalitpur",3800000.0,3.1,11780000.0,13.0,Gravel,North-East,False,False,False,False,False
Naya Naikap,Kathmandu,"Naya Naikap, Kathmandu",4500000.0,,,12.0,Paved,North,False,False,False,False,False
Danchhi,Kathmandu,"Danchhi, Kathmandu",2200000.0,,,20.0,Gravel,East,False,False,False,False,False
Thankot,Kathmandu,"Thankot, Kathmandu",2600000.0,,,20.0,Pitched,South-East,False,False,False,False,False
Mahalaxmisthan,Lalitpur,"Mahalaxmisthan, Lalitpur",9500000.0,,,20.0,Pitched,East,False,False,False,False,False
Khumaltar,Lalitpur,"Khumaltar, Lalitpur",4500000.0,4.3,19350000.0,13.0,Paved,South-East,False,False,False,False,False
Dhumbarahi,Kathmandu,"Dhumbarahi, Kathmandu",5700000.0,,,,,South-West,False,False,False,False,False
Kalanki,Kathmandu,"Kalanki, Kathmandu",3100000.0,,,,,South-West,False,False,False,False,False
Koteshwor,Kathmandu,"Koteshwor, Kathmandu",55000000.0,6.3,346500000.0,12.0,Paved,North-East,False,False,False,False,False
