url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood
https://lalpurjanepal.com.np/properties/house-for-sale-at-makalbari-8499,lalpurja,house,Kathmandu,8499,Property Details,2 Crore 75 Lakh,Semi-commercial,North-East,2007,Blacktopped,Yes,Unfurnished,"Kathmandu, Makalbari",2 Crore 75 Lakh,Sale,3.5 Aana,,16 Feet,F 28 Feet,2025 October 14,530.0,Gokarneshwor,04,4km,Makalbari | Pragati Chowk,1km,7km,,4km,500m,500m,500m,500m,500m,4km,2km,,,,,1km,Makalbari
https://lalpurjanepal.com.np/properties/house-for-sale-at-samakhusi-8495,lalpurja,house,Kathmandu,8495,Property Details,7 Crore 45 Lakh,Residential,East,2063,Blacktopped,Yes,Semi Furnished,"Kathmandu, Samakhusi",7 Crore 45 Lakh,Sale,9.5 Aana,2053.5 square-feet,14 Feet,F 41 Feet,2025 October 13,280.0,Kathmandu,10,400m,Samakhusi | CT Square Mall,300m,5km,100m,1km,200m,,,50m,300m,4km,4km,,,,,1km,Samakhusi
https://lalpurjanepal.com.np/properties/house-for-sale-at-machhapokhari-8494,lalpurja,house,Kathmandu,8494,Property Details,2 Crore 70 Lakh,Residential,South,2050,Blacktopped,Yes,,"Kathmandu, Machhapokhari",2 Crore 70 Lakh,Sale,3.5 Aana,1026.75 square-feet,10 Feet,F 40 Feet,2025 October 13,282.0,Kathmandu,16,200m,Machhapokhari | Kumaristhan,BB health Care Center - 100m,8.3km,,,100m,SS College - 150m,,200m,,7.5km,8.3km,,,,,16,Machhapokhari
https://lalpurjanepal.com.np/properties/house-for-sale-at-okharghau-hatigauda-8486,lalpurja,house,Kathmandu,8486,Property Details,1 Crore 75 Lakh,Residential,South-West,2079,Paved,Yes,Semi Furnished,"Kathmandu, Budhanilkantha",1 Crore 75 Lakh,Sale,3 Aana,684.5 square-feet,13 Feet,F 32 Feet,2025 October 13,1192.0,Budhanilkantha,07,400m,Hattigauda | Okhargau,500m,7km,300m,3km,500m,600m,400m,300m,400m,6km,6km,300m,200m,200m,400m,400m,Budhanilkantha
https://lalpurjanepal.com.np/properties/house-for-sale-at-chagal-dallu-8483,lalpurja,house,Kathmandu,8483,Property Details,4 Crore 50 Lakh,Semi-commercial,North,2054,Blacktopped,Yes,,"Kathmandu, Dallu",4 Crore 50 Lakh,Sale,6 Aana,1026.75 square-feet,14 Feet,F 40 Feet,2025 October 13,288.0,Kathmandu,15,1.5km,Dallu | Rojbud Beauty Parlour,1.5 km,Tribhuwan International Airport - 8.5 km,,,Champs World Preschool - 500m,Mahendra Ratna Campus - 500m,,100m,,7km,10km,,,,,15,Dallu
https://lalpurjanepal.com.np/properties/house-for-sale-at-chettrapati-8476,lalpurja,house,Kathmandu,8476,Property Details,20 Crore,Commercial,South-West,2070,Blacktopped,Yes,,"Kathmandu, Chettrapati",20 Crore,Sale,6.5 Aana,2224.62 square-feet,21 Feet,F 50 Feet,2025 October 12,408.0,Kathmandu,16,2km,Chhetrapati | Yaksa Hotel,Chhetrapati Free Clinic - 200m,6.5 km,,,Precious National Academy Secondary School - 1.5km,College Nepal - 3km,,600m,,5km,7km,,,,,10,Chettrapati
https://lalpurjanepal.com.np/properties/house-for-sale-at-galfutar-8475,lalpurja,house,Kathmandu,8475,Property Details,3 Crore 50 Lakh,Residential,South-East,2060,Paved,Yes,Full Furnished,"Kathmandu, Budhanilkantha",3 Crore 50 Lakh,Sale,4.5 Aana,1540.12 square-feet,13 Feet,F 38 Feet,2025 October 12,509.0,Budhanilkantha,08,250m,Golfutar | Basketball Ground,150m,6km,150m,200m,200m,200m,200m,170m,200m,4km,4km,100m,50m,50m,200m,100m,Budhanilkantha
https://lalpurjanepal.com.np/properties/land-for-sale-at-kapurdhara-8461,lalpurja,house,Kathmandu,8461,Property Details,70 Lakh Per Aana,Commercial,South,,Blacktopped,Yes,,"Kathmandu, Kapurdhara",70 Lakh Per Aana,Sale,5 Aana,,12 Feet,F 40 Feet,2025 October 9,315.0,Kathmandu,29,3km,Kapurdhara | Indian Embassy,CIWEC Hospital - 1km,7km,,1km,Precious National Academy Secondary School - 1.2km,Ashirwad College - 550m,,500m,,5.5km,10km,,,,,29,Kapurdhara
https://lalpurjanepal.com.np/properties/house-for-sale-at-purano-naikap-8460,lalpurja,house,Kathmandu,8460,Property Details,2 Crore 15 Lakh,Residential,South,2080,Blacktopped,Yes,Unfurnished,"Kathmandu, Naikap",2 Crore 15 Lakh,Sale,5 Aana,1026.75 square-feet,21 Feet,F 40 Feet,2025 October 9,605.0,Chandragiri,13,2.5km,Purano Naikap | Drigung Kagyu Rinchen Palri Monastery,Sahid Memorable Hospital - 2km,11km,,4km,Ganeshman Singh Memorial Polytechnic Institute - 1.2km,Sann International College - 2.5km,,1km,,15km,15km,,,,,13,Naikap
https://lalpurjanepal.com.np/properties/house-for-sale-at-bansbari-8455,lalpurja,house,Kathmandu,8455,Property Details,2 Crore 75 Lakh,Residential,West,2073,alley,Yes,Unfurnished,"Kathmandu, Bansbari",2 Crore 75 Lakh,Sale,3 Aana,1026.75 square-feet,13 Feet,,2025 October 9,349.0,Kathmandu,03,1km,Bansbari | Standard Nursery,400m,8km,200m,,,,,400m,,6km,6.5km,,,,,,Bansbari
