url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors
https://lalpurjanepal.com.np/properties/house-for-sale-dadhikot-bhaktapur-3734,lalpurja,house,Bhaktapur,3734,Property Details,2 Crore 30 Lakh,Residential,South,2016,Gravelled,Yes,Semi Furnished,"Bhaktapur, Dadhikot",2 Crore 30 Lakh,Sale,4.5 Aana,950.25 square-feet,20 Feet,F 34 Feet,2024 November 25,334,Suryabinayak Na. pa.,4.0,2km,Kathmandu School of Law,2km,5km,200m,2km,300m,500m,400m,500m,500m,6km,7km,500m,500m,300m,1km,600m,Dadhikot,13,2,3,1,1,3
https://lalpurjanepal.com.np/properties/house-for-sale-katunje-bhaktapur-3668,lalpurja,house,Bhaktapur,3668,Property Details,1 Crore 68 Lakh,Residential,East,2023,Gravelled,Yes,Semi Furnished,"Bhaktapur, Katunje",1 Crore 68 Lakh,Sale,4 Aana,1026.75 square-feet,10 Feet,27 Feet Face,2024 November 20,411,Suryabinayak Na. Pa.,5.0,6 km,Public Health Office,1.5km,5 km,300m,2km,Unity English School,1km,400m,500m,1km,6km,7km,500m,1km,300m,1km,Suryabinayak Na.pa. ward office 05,Katunje,2,1,1,1,1,1
https://lalpurjanepal.com.np/properties/house-for-sale-at-katunje-bhaktapur-3654,lalpurja,house,Bhaktapur,3654,Property Details,3 Crore and 20 Lakh,Residential,South,2021,Blacktopped,Yes,Semi Furnished,"Bhaktapur, Katunje",3 Crore and 20 Lakh,Sale,4.8 Aana,967.08 square-feet,10 Feet,,2024 November 20,273,Suryabinayak Nagarpalika,5.0,450m,Nabil Bank,1km,4km,150m,1km,250m,250m,100m,450m,450m,4.5km,5km,50m,450m,100m,1km,1km,Katunje,5,3,3,3,3,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-balkot-bhaktapur-3604,lalpurja,house,Bhaktapur,3604,Property Details,3 Crore 55 Lakh,Residential,East,,Blacktopped,Yes,Full Furnished,"Bhaktapur, Suryabinayak",3 Crore 55 Lakh,Sale,4 Aana,3 aana,13 Feet,,2024 November 19,312,,,1.5km,Samridhi Tole,200m,5km,300m,2.5km,300m,300m,200m,150m,200m,4.5km,5.5km,100m,200m,200m,500m,200m,Suryabinayak,11,3,5,3,,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-bhaktapur-3594,lalpurja,house,Bhaktapur,3594,Property Details,1 Crore 35 Lakh,Residential,North,,Gravelled,Yes,Semi Furnished,"Bhaktapur, Suryabinayak",1 Crore 35 Lakh,Sale,4.65 Aana,1625.87 square-feet,20 Feet,,2024 November 18,893,,,3km,Dadhikot Chowk,500m,8.5km,100m,3km,300m,300m,100m,500m,500m,9km,10km,500m,200m,200m,500m,500m,Suryabinayak,5,2,5,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-chardobato-chowk-3579,lalpurja,house,Bhaktapur,3579,Property Details,3 Crore 50 Lakh,Commercial,East,1994,Blacktopped,Yes,Unfurnished,"Bhaktapur, Bhaktapur",3 Crore 50 Lakh,Sale,3.75 Aana,90 square-meter,31 Feet,14 ft.,2024 November 18,267,Madhyapur Thimi Municipality,15.0,,Chardobato Thimi Chowk,TB Hospital,4km,50 m,1km,100m,Kathmandu School of Law,100m,20m,20m,5km,,20m,50m,20m,100m,200m,Bhaktapur,6,2,3,,,4.5
https://lalpurjanepal.com.np/properties/house-for-sale-ithuli-planning-bhaktapur-3559,lalpurja,house,Bhaktapur,3559,Property Details,2 Crore 70 Lakh,Residential,North,2022 AD,Blacktopped,Yes,Full Furnished,"Bhaktapur, Jagati",2 Crore 70 Lakh,Sale,4 Aana,2979.87 square-feet,20 Feet,F 30 Feet,2024 November 18,284,,,,Maheshwori Banquet | Gorkha Eco Panel,,,,,,,,,,,,,,,,,Jagati,5,2,3,3,2,3
https://lalpurjanepal.com.np/properties/bungalow-for-sale-balkot-bhaktapur-3533,lalpurja,house,Bhaktapur,3533,Property Details,4 Crore 30 Lakh,Residential,North,2073,Soil Stabilized,Yes,Unfurnished,"Bhaktapur, Balkot",4 Crore 30 Lakh,Sale,4.75 Aana,3100 square-feet,13 Feet,F 31 Feet,2024 November 17,290,Suryabinayak,2.0,4.9 km,Aananda Bhumi Marg,2.5 km,4.5 km,400 m,3.7 km,500 m,3 km,500 m,150 m,2 km,9.9 km,10.7 km,400 m,700 m,400 m,500 m,2 km,Balkot,8,3,4,3,5,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-balkot-bhaktapur-3494,lalpurja,house,Bhaktapur,3494,Property Details,3 Crore 45 Lakh,Residential,West,2068,Soil Stabilized,Yes,Unfurnished,"Bhaktapur, Balkot",3 Crore 45 Lakh,Sale,6.5 Aana,2362.83 square-feet,18 Feet,F 38,2024 November 13,621,Suryabinayak,2.0,2 km,Sonikhari Marga,3 km,3.5 km,300 m,2.5 km,300 m,2 km,400 m,400 m,900 m,7 km,9 km,400 m,600 m,500 m,500 m,900 m,Balkot,4,2,4,2,9,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-shreejana-nagar-bhaktapur-3289,lalpurja,house,Bhaktapur,3289,Property Details,5 Crore 70 Lakh,Residential,South-West,2075,Blacktopped,Yes,Full Furnished,"Bhaktapur, Sallaghari",5 Crore 70 Lakh,Sale,9.2 Aana,4.5 aana,13 Feet,,2024 October 29,228,Suryabinyak,2.0,6.5km,Shreejana Nagar,2.5 Km,6 Km,300 m,1.5 km,500 m,3 km,300 m,300 m,300 m,8 km,12 km,300 m,500 m,300 m,400 m,1km,Sallaghari,8,2,7,3,10,3.5
