ad_id,title,location_raw,district,neighborhood,road_type,raw_price,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot
HB-EDAAA1,17 ana Land on sale in VIP area of Budhanilkantha,"Hattigaunda Bhangal Chapali Chunikhel Hepali Height Italitar Khadka Bhadrakali Narayanthan Mahankhal Pasikot Golfutar Budanilkantha, Budhanilkantha Area, Kathmandu",Kathmandu,Golfutar,Above 20 Ft,6000000.0,17.0,6000000.0,102000000.0,False,False,False,False
HB-41AA05,8 Aana land for sale bagdol Lalitpur,"Bagdol, Lalitpur",Lalitpur,Bagdol,,6000000.0,8.0,6000000.0,48000000.0,False,False,False,False
HB-4A6DFE,8 Aana land on sale at lazimpat uttarDhoka ktm,"Lainchaur Panipokhari Ranibari Gairidhara, Lazimpat Area, Kathmandu",Kathmandu,Lainchaur Panipokhari Ranibari Gairidhara,,7500000.0,8.0,7500000.0,60000000.0,False,False,False,False
HB-6299FC,Land for sale,"Tarakeshwar-02, धर्मस्थली, तारकेश्वर नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44610, नेपाल",Kathmandu,Tarakeshwar,Gravel Road,2800000.0,3.0,2800000.0,8400000.0,False,False,False,False
HB-AABB6F,"4/5 aana land on sale, Bhangal Hight","गोल्फुटार, Budhanilkantha-08, बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44622, नेपाल",Kathmandu,गोल्फुटार,13-20 Ft,380000.0,4.0,380000.0,1520000.0,False,False,True,False
HB-50B3F7,19 Aana Land on sale at Maharajgung kathmandu.,"Maharajgunj, Kathmandu",Kathmandu,Maharajgunj,,8000000.0,19.0,8000000.0,152000000.0,False,False,False,False
HB-65D897,19 Aana Land on sale at budalinkantha kathmandu.,"budanilkantha, Narayanthan (Budhanilkantha), Kathmandu",Kathmandu,Budhanilkantha,,3500000.0,19.0,3500000.0,66500000.0,False,False,False,False
HB-169D64,Land on sell at Budhanilkantha Rudreshwor colony,"budanilkantha, Budhanilkantha, Kathmandu",Kathmandu,Budhanilkantha,Pitched Road,4000000.0,15.0,4000000.0,60000000.0,False,False,False,False
HB-1FCA86,"Land on sell at Hatti Gauda, kathmandu","budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",Kathmandu,Budhanilkantha,Pitched Road,3800000.0,4.0,3800000.0,15200000.0,False,False,False,False
HB-E2E3AB,"LAND ON SELL AT GADESH CHOWK,BUDHANILKANTHA","budanilkantha, Budhanilkantha, Kathmandu",Kathmandu,Budhanilkantha,Above 20 Ft,4700000.0,4.0,1175000.0,4700000.0,False,False,False,False
