ad_id,title,location_raw,district,neighborhood,road_type,raw_price,land_size_aana,price_per_aana,calculated_total_price,is_price_suspect,is_price_outlier,is_rate_outlier,is_large_plot
HB-FAA781,10 aana land for sale Bhangal Budhanilkaha,"Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,4600000.0,10.0,4600000.0,46000000.0,False,False,False,False
HB-C45155,28 aana land for sale Bhangal Budhanilkaha,"Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,4600000.0,28.0,4600000.0,128800000.0,False,False,False,False
HB-EBF65B,8 aana land for sale Bansbari Kathmandu,"Golphutar, गोल्फुटार सादक, Kathmandu-3, Kathmandu, Bagmati Pradesh",Kathmandu,Golphutar,13-20 Ft,6000000.0,8.0,6000000.0,48000000.0,False,False,False,False
HB-02F36E,Land for Sale Satungal Near APF Hospital!,"Satungal, Chandragiri-10, Kathmandu",Kathmandu,Satungal,,3700000.0,3.25,1138461.5384615385,3700000.0,False,False,False,False
HB-6E0435,"Land for Sale – Satungal, Near APF Hospital 3Aana!","Satungal, Chandragiri-10, Kathmandu",Kathmandu,Satungal,,3700000.0,3.0,1233333.3333333333,3700000.0,False,False,False,False
HB-3A03ED,10 aanaa prime land on sale thapathali,"Thapathali, Kathmandu-11, Kathmandu, Bagmati Pradesh",Kathmandu,Thali,9-12 Ft,7500000.0,10.0,7500000.0,75000000.0,False,False,False,False
HB-54C162,"Land on sale at Budhanilkantha,Kathmandu","Budhanilkantha, Budhanilakantha-8, Kathmandu",Kathmandu,Budhanilkantha,Pitched Road,4200000.0,14.0,4200000.0,58800000.0,False,False,False,False
HB-F91E5F,8 aana land for sale Dhapasi Height Tokha,"Tokha, Tokha-4, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,13-20 Ft,5000000.0,8.0,5000000.0,40000000.0,False,False,False,False
HB-DB9D76,12 aana land for sale Dhapasi Tokha,"Tokha-6, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,13-20 Ft,3500000.0,12.0,3500000.0,42000000.0,False,False,False,False
HB-88E19C,4 aana 2 paisa total 50 lakh only,"Sarkigau, Godawari-13, Lalitpur, Bagmati Pradesh",Lalitpur,Sarkigau,13-20 Ft,1250000.0,4.0,1250000.0,5000000.0,False,False,False,False
HB-CD81A6,5aana land for sale Suryadarsan Tokha,"Tokha-3, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,13-20 Ft,5200000.0,5.0,1040000.0,5200000.0,False,False,False,False
HB-27D756,super commercial land on sell at sampang chowk,"Nakhipot, Jambu Marg, Lalitpur-14, Lalitpur",Lalitpur,Nakhipot,Above 20 Ft,8500000.0,7.5,1133333.3333333333,8500000.0,False,False,False,False
HB-141282,land for sale bhaisepati karevinayak lalitpur13 aa,"एकान्तकुना-टिकभैरब रोड, Bhaisepati, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Ekantakuna,Above 20 Ft,3700000.0,13.0,3700000.0,48100000.0,False,False,False,False
HB-544125,65 Ana Land For Sale At Sitapaila HighwayKathmandu,"Sitapaila (Nagarjun), Kathmandu",Kathmandu,Nagarjun,Above 20 Ft,7500000.0,65.0,7500000.0,487500000.0,False,False,False,True
HB-9DB23F,14 Ana Land For Sale At Budhanilkantha With Face E,"Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Budhanilkantha,13-20 Ft,5800000.0,14.0,5800000.0,81200000.0,False,False,False,False
HB-9EA51D,12 Aana Land For Sale At Budhanilkantha With 20fR,"Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Budhanilkantha,Above 20 Ft,4200000.0,12.0,4200000.0,50400000.0,False,False,False,False
HB-A9EBBD,"Land for Sale – Kantipur Colony, Nakhipot!","Kantipur Colony, Lalitpur-14, Lalitpur",Lalitpur,Kantipur Colony,,4000000.0,3.875,1032258.0645161291,4000000.0,False,False,False,False
HB-D43A39,10 ana Land sale near Sankhu Malpot,"Suntol road, Shankharapur-6, Kathmandu, Bagmati Pradesh",Kathmandu,Shankharapur,,20000000.0,10.0,2000000.0,20000000.0,False,False,False,False
HB-7A57AA,Land for sale at balaju paiyutar,"Tarakeshwor-6, Kathmandu, Bagmati Pradesh",Kathmandu,Tarakeshwor,Pitched Road,3450000.0,3.25,1061538.4615384615,3450000.0,False,False,False,False
HB-9465B4,"Land On Sale At Greenland,Dhapasi","Dhapasi, Tokha-6, Kathmandu",Kathmandu,Dhapasi,Pitched Road,5500000.0,4.5,1222222.2222222222,5500000.0,False,False,False,False
HB-1A98FA,"Land for Sale – Kantipur Colony, Nakhipot !","Nakhipot, Lalitpur-14, Lalitpur",Lalitpur,Nakhipot,,4500000.0,3.75,1200000.0,4500000.0,False,False,False,False
HB-70D7FC,"Land for Sale – Kantipur Colony, Nakhipot 4aana !","Nakhipot, Lalitpur-14, Lalitpur",Lalitpur,Nakhipot,,4500000.0,4.0,1125000.0,4500000.0,False,False,False,False
HB-64048E,Land on Sale at Raniban,"Residential Road, Kathmandu, Kathmandu",Kathmandu,Residential Road,Full Road,4500000.0,4.0,1125000.0,4500000.0,False,False,False,False
HB-6E53B1,land for sale bhaisepati goku aawas lalitapur 3.5,"Talim Kendra Marg, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Talim Kendra Marg,13-20 Ft,4600000.0,3.0,1533333.3333333333,4600000.0,False,False,False,False
HB-54158A,Land for Sale – Sitapaila 5 Aana!,"Sita Paila, Ring Road, Nagarjun-2, Kathmandu",Kathmandu,Sita Paila,,4000000.0,5.0,4000000.0,20000000.0,False,False,False,False
HB-0F0B7F,Urgent !!! Land Sale in Sanokhokana Shreekali Road,"Sano Khokana, Lalitpur-21, Lalitpur",Lalitpur,Sano Khokana,Gravel Road,2000000.0,3.5,2000000.0,7000000.0,False,False,False,False
HB-F04607,Urgent !!! Land Sale in Sanokhokana Shreekali Road,"Sano Khokana, Lalitpur-21, Lalitpur",Lalitpur,Sano Khokana,Gravel Road,2000000.0,3.5,2000000.0,7000000.0,False,False,False,False
HB-C3645E,Budhanilkantha Pasikot Ma Akarsak Ghaderi,"Khadkagaon, Budhanilkantha, Budhanilkantha Municipality, Kathmandu",Kathmandu,Khadkagaon,13-20 Ft,6300000.0,5.0,1260000.0,6300000.0,False,False,False,False
HB-CB2DE5,Land far sale at Bugumati.,"Bhaisepati, Lalitpur-18, Lalitpur",Lalitpur,Bhaisepati,Gravel Road,2500000.0,21.0,2500000.0,52500000.0,False,False,False,False
HB-9D287F,"Land for sale – kirtipur, nagaun","Kirtipur, Ajaya Marga, Kirtipur-6, Kathmandu",Kathmandu,Kirtipur,Gravel Road,3700000.0,5.0,3700000.0,18500000.0,False,False,False,False
HB-D024EA,Thankot Nagdhunga Ma 7 Ropani Jagga Bikre Ma,"F180, Thankot, चन्द्रागिरी, Chandragiri Municipality, Kathmandu",Kathmandu,Thankot,Full Road,2600000.0,112.0,2600000.0,291200000.0,False,False,False,True
HB-235C60,Thankot Ma 7 Ropani Jagga Bikre Ma,"F180, Thankot, चन्द्रागिरी, Chandragiri Municipality, Kathmandu",Kathmandu,Thankot,Full Road,2600000.0,112.0,2600000.0,291200000.0,False,False,False,True
HB-267EA7,10 Anna Land Radhakrishna Mandir Balaju,"Buddha Chowk, Aerahiti, Nagarjun Municipality, Kathmandu",Kathmandu,Aerahiti,13-20 Ft,7800000.0,10.0,7800000.0,78000000.0,False,False,False,False
HB-F9DA2F,"Land on Sale at Narayanthan Bisnumati,GJBLOS 3486","Narayanthan Bike Works, Golphutar Main Sadak, Budhanilakantha-3, Kathmandu",Kathmandu,Narayanthan Bike Works,Pitched Road,2000000.0,192.0,2000000.0,384000000.0,False,False,False,True
HB-CE07B2,"Land on Sale at Narayanthan Height, GJBLOS 3607","Narayanthan View Point, Budhanilakantha-2, Kathmandu",Kathmandu,Narayanthan View Point,Above 20 Ft,2000000.0,109.0,2000000.0,218000000.0,False,False,False,True
HB-6BB358,3 aana land for sale Bansbari Kathmandu,"Pipal Bot, Kumar Marg, Kathmandu-3, Kathmandu, Bagmati Pradesh",Kathmandu,Pipal Bot,13-20 Ft,8000000.0,3.0,2666666.6666666665,8000000.0,False,False,False,False
HB-8B3DDF,land for bhaisepati awos2 lalitpur 5 aana,"Bhaisepati, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Bhaisepati,Above 20 Ft,5700000.0,5.0,1140000.0,5700000.0,False,False,False,False
HB-48BA39,Pepsicola 7anna jagga bikrima,"Pepsicola, Bafal Marg, Kathmandu-13, Kathmandu",Kathmandu,Pepsicola,,4750000.0,7.0,4750000.0,33250000.0,False,False,False,False
HB-C409A4,"🏡 Land for Sale – Kirtipur, Chugaun, Rarahill","Rarahill Futsal., Kirtipur-9, Kathmandu",Kathmandu,Rarahill Futsal.,Above 20 Ft,2300000.0,45.0,2300000.0,103500000.0,False,False,False,False
HB-5B5226,"Land for sale in Kirtipur, char ghare","Kirtipur, Kathmandu-16, Kathmandu",Kathmandu,Kirtipur,Gravel Road,2700000.0,3.25,2700000.0,8775000.0,False,False,False,False
HB-39816A,"Land for sale in Kirtipur, Panga","Kirtipur Municipality Ward No. 5 Office, Kirtipur Ring Road, Kirtipur-3, Kathmandu",Kathmandu,Kirtipur,Pitched Road,3200000.0,5.5,3200000.0,17600000.0,False,False,False,False
HB-ADEA38,"Land for sale – dhapakhel, nagdaha","Dhapakhel, Lalitpur-23, Lalitpur",Lalitpur,Dhapakhel,Gravel Road,2000000.0,4.0,2000000.0,8000000.0,False,False,False,False
HB-20E05D,8 aana land for sale Basundhara Kathmandu,"Narayan Tole, Kathmandu-3, Kathmandu, Bagmati Pradesh",Kathmandu,Narayan Tole,13-20 Ft,8200000.0,8.0,1025000.0,8200000.0,False,False,False,False
HB-2D398D,5anna 1paisa 2daam jagga yekdum sastoma,"Suryabinayak-4, Bhaktapur, Bagmati Pradesh",Bhaktapur,Suryabinayak,Above 20 Ft,35.0,5.0,3500000.0,17500000.0,False,False,False,False
HB-9ADB6A,"Land for Sale – Bode, Bhaktapur","Bode, Madhyapur Thimi-7, Bhaktapur",Bhaktapur,Bode,Gravel Road,3300000.0,4.5,3300000.0,14850000.0,False,False,False,False
HB-FBDB61,"Land for sale – samakhusi, kathmandu","Samakhushi, Kathmandu-26, Kathmandu",Kathmandu,Samakhushi,Pitched Road,6000000.0,11.3,6000000.0,67800000.0,False,False,False,False
HB-FDDB5D,"Land for sale – bhaktapur, bode","Bode, Madhyapur Thimi-7, Bhaktapur",Bhaktapur,Bode,Gravel Road,2200000.0,6.9,2200000.0,15180000.0,False,False,False,False
HB-5C2CAD,land for sale in hattigauda,"Budhanilakantha-6, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,5200000.0,4.0,1300000.0,5200000.0,False,False,False,False
HB-AF9924,"Land on Sale at Narayanthan Height, GJBLOS 2895","Narayanthan Residence, Budhanilakantha-2, Kathmandu",Kathmandu,Narayanthan Residence,Above 20 Ft,3200000.0,64.0,3200000.0,204800000.0,False,False,False,True
HB-F9FD38,"Land on sale at Budhanilkantha,Kathmandu","Budhanilkantha, Budhanilakantha-8, Kathmandu",Kathmandu,Budhanilkantha,Pitched Road,7000000.0,80.0,7000000.0,560000000.0,False,True,False,True
HB-93D175,"Land on sale at Dhumbarai,Kathmandu","Dhumbarai Temple, Kathmandu-4, Kathmandu",Kathmandu,Dhumbarai Temple,Pitched Road,7200000.0,43.0,7200000.0,309600000.0,False,False,False,False
HB-17BF62,land for sale in tokha,"Tokha-1, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,13-20 Ft,2700000.0,5.0,2700000.0,13500000.0,False,False,False,False
HB-85CB10,"Land for Sale – Kalanki, Kathmandu","Kalanki, Kathmandu-14, Kathmandu",Kathmandu,Kalanki,Pitched Road,10.0,6.6,1000000.0,6600000.0,False,False,False,False
HB-9591DF,"Land for Sale – Taudaha, Kirtipur","Taudaha, Kirtipur-6, Kathmandu",Kathmandu,Taudaha,Pitched Road,3000000.0,24.5,3000000.0,73500000.0,False,False,False,False
HB-78401E,Land for sale,"Tokha-2, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,Above 20 Ft,3500000.0,70.0,3500000.0,245000000.0,False,False,False,True
HB-F229C0,Commercial Property For Sale At Gongabu...,"Gongabu, Tokha-9, Kathmandu",Kathmandu,Gongabu,Pitched Road,8500000.0,5.0,1700000.0,8500000.0,False,False,False,False
HB-C919E2,lubhu land for sale 300m from highway,"Lamatar, Mahalaxmi, Mahalaxmi Municipality, Lalitpur",Lalitpur,Lamatar,9-12 Ft,3000000.0,5.0,3000000.0,15000000.0,False,False,False,False
HB-B72538,22 aana Semi commercial land for sale Tokha,"Tokha Saraswati, Tokha-3, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,Above 20 Ft,5000000.0,22.0,5000000.0,110000000.0,False,False,False,False
HB-05102F,4.50 aana land for sale Sangla Tarkereswar,"Tokha-2, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,Above 20 Ft,3300000.0,4.5,3300000.0,14850000.0,False,False,False,False
HB-ED499D,4 pieces 4/4 aana land on sale at ramkot Kathmandu,"Nagarjun-6, Kathmandu, Bagmati Pradesh",Kathmandu,Nagarjun,13-20 Ft,3300000.0,4.0,3300000.0,13200000.0,False,False,False,False
HB-EE79A7,Land on sale at Banasthali,"Bansthali Bus Station, Siddhicharan Sadak, Kathmandu-16, Kathmandu",Kathmandu,Thali,Pitched Road,7000000.0,18.0,7000000.0,126000000.0,False,False,False,False
HB-67B1FF,Land on sale at Harisiddhi,"Harisiddhi, Lalitpur-23, Lalitpur",Lalitpur,Harisiddhi,Pitched Road,4000000.0,4.0,1000000.0,4000000.0,False,False,False,False
HB-CD8633,21 aana land for sale Dhapasi Height Tokha,"Tokha, Tokha-4, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,13-20 Ft,6500000.0,21.0,6500000.0,136500000.0,False,False,False,False
HB-C8A786,Land On Sales Ghusel 3Ropani 8 AAna,"Ghusel Hp_lalitpur, Lalitpur-15, Lalitpur",Lalitpur,Ghusel Hp_Lalitpur,Gravel Road,11200000.0,56.0,11200000.0,627200000.0,False,True,False,True
HB-6A577B,4 aana land for sale Sangla Tokha,"Tokha-1, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,13-20 Ft,2600000.0,4.0,2600000.0,10400000.0,False,False,False,False
HB-2563EA,3/4 aana land for sale Saibaba Tokha,"Tokha Chandeshwari, Tokha-2, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,13-20 Ft,3800000.0,7.0,3800000.0,26600000.0,False,False,False,False
HB-F639C3,1 ropani land for sale Chyasundol Budhanilkantha,"Budhanilakantha-6, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,Above 20 Ft,5000000.0,16.0,5000000.0,80000000.0,False,False,False,False
HB-817948,"Land for Sale – Panga, Kirtipur","Kirtipur, Kathmandu-16, Kathmandu",Kathmandu,Kirtipur,Pitched Road,3000000.0,5.5,3000000.0,16500000.0,False,False,False,False
HB-9D5141,प्रति आना ५० को जग्गा मात्र ४६ लाख मा,"Kageshwori Manohara Municipality, Kathmandu",Kathmandu,Kageshwori Manohara Municipality,13-20 Ft,4400000.0,6.0,4400000.0,26400000.0,False,False,False,False
HB-9EDC1B,4 aana land for sale Tokha near Saibaba,"Shrijanshil Tol, Tokha-4, Kathmandu, Bagmati Pradesh",Kathmandu,Shrijanshil Tol,13-20 Ft,4100000.0,12.0,4100000.0,49200000.0,False,False,False,False
HB-859369,"Land for Sale – Kirtipur, Dhalpa","Kirtipur, Kathmandu-16, Kathmandu",Kathmandu,Kirtipur,Gravel Road,4000000.0,5.9,3999999.9999999995,23600000.0,False,False,False,False
HB-ECD250,"24 aana commercial land for sale, Tokha","Tokha, Tokha-6, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,Above 20 Ft,4000000.0,24.0,4000000.0,96000000.0,False,False,False,False
HB-D4F210,"Land on Sale at Balambu, code: GJBLOS 3619","Balambu, Chandragiri-12, Kathmandu",Kathmandu,Balambu,,3500000.0,3.5,1000000.0,3500000.0,False,False,False,False
HB-DD5351,Land for Sell at bhangal,"Bhangal, Budhanilakantha-8, Kathmandu",Kathmandu,Bhangal,Pitched Road,5500000.0,4.0,1375000.0,5500000.0,False,False,False,False
HB-3F99F0,Land for Sale at Bafal,"Bafal, Kathmandu-13, Kathmandu",Kathmandu,Bafal,Pitched Road,6500000.0,5.0,1300000.0,6500000.0,False,False,False,False
HB-99AEC5,Land For Sale at Badal-Tahachal,"Bafal, Kathmandu-13, Kathmandu",Kathmandu,Bafal,Pitched Road,6000000.0,11.0,6000000.0,66000000.0,False,False,False,False
HB-D7005D,"Land On Sale At Chapali, Budhanilkantha","Chapali, Budhanilakantha-8, Kathmandu",Kathmandu,Chapali,Pitched Road,4500000.0,17.0,4500000.0,76500000.0,False,False,False,False
HB-A06E85,Residential land on sale,"Chundevi (Maharajgunj), Kathmandu",Kathmandu,Maharajgunj,13-20 Ft,3200000.0,7.0,3200000.0,22400000.0,False,False,False,False
HB-1DCBE7,"Prime Land for Sale – Dholahiti, Near Chibahal !","Dholahiti, Thecho Chapagaun Road, Lalitpur-26, Lalitpur",Lalitpur,Dholahiti,,3200000.0,11.0,3200000.0,35200000.0,False,False,False,False
HB-55ADB6,Satungal Ma 6 Ropani Jagga Bikre Ma,"Boshigaun, Chandragiri Municipality, Kathmandu",Kathmandu,Boshigaun,Full Road,3000000.0,96.0,3000000.0,288000000.0,False,False,False,True
HB-F81D65,1 ropani A1 land for sale Bhangal Budhanilkaha,"Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,Above 20 Ft,4600000.0,16.0,4600000.0,73600000.0,False,False,False,False
HB-71621B,4.50 aana land for sale Bhangal Budhanilkaha,"Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,4600000.0,4.5,1022222.2222222222,4600000.0,False,False,False,False
HB-A1028C,LAND FOR SALE KTM 31 NEW BANESHWOR THULO KHARIBOT,"Nirajan Bikram Marga, Kathmandu-31, Kathmandu, Bagmati Pradesh",Kathmandu,Nirajan Bikram Marga,13-20 Ft,7000000.0,9.0,7000000.0,63000000.0,False,False,False,False
HB-2038C9,5 रोपनी for sale,"Kathmandu-15, Kathmandu, Bagmati Pradesh",Kathmandu,Unknown,,7000000.0,78.88970051132213,7000000.000000001,552227903.579255,False,True,False,True
HB-91CE4A,Land on sale,"Nakhipot, Lalitpur-14, Lalitpur, Bagmati Pradesh",Lalitpur,Nakhipot,,55000000.0,8.765522279035793,6274583.333333333,55000000.0,False,False,False,False
HB-069A67,7 aana land on sale at Sitapaila Kathmandu,"Ganesh Mandir, Kathmandu-13, Kathmandu, Bagmati Pradesh",Kathmandu,Ganesh Mandir,13-20 Ft,5000000.0,7.0,5000000.0,35000000.0,False,False,False,False
HB-3ABD45,9Aana Commercial Land 37Lakh/Aana 26ft Pitch Road,"Lalitpur, Lalitpur-3, Lalitpur",Lalitpur,Unknown,Above 20 Ft,3700000.0,9.0,3700000.0,33300000.0,False,False,False,False
HB-A5FA75,3 aana Land for sale at Baluwatar,"Baluwatar, Kathmandu-4, Kathmandu",Kathmandu,Baluwatar,,8500000.0,3.0,2833333.3333333335,8500000.0,False,False,False,False
HB-D570AB,land for sale bhaisepati lalitapur 15 aana,"Talim Kendra Marg, Lalitpur, Lalitpur Metropolitan City, Lalitpur",Lalitpur,Talim Kendra Marg,Above 20 Ft,5200000.0,15.0,5200000.0,78000000.0,False,False,False,False
HB-96A57F,"Land on Sale at Chyaudada, code: GJBLOS 3617","Chyau Danda, Lalitpur-26, Lalitpur",Lalitpur,Chyau Danda,Gravel Road,4700000.0,4.0,1175000.0,4700000.0,False,False,False,False
HB-941954,5.5+5.5=11 aana land on sale at Bafal Kathmandu,"Tahachal marg, Kathmandu-13, Kathmandu, Bagmati Pradesh",Kathmandu,Tahachal Marg,13-20 Ft,6500000.0,11.0,6500000.0,71500000.0,False,False,False,False
HB-6A37D0,4Aana land at Muktinath Temple Godamchaur,"Lalitpur, Lalitpur-3, Lalitpur",Lalitpur,Unknown,,1800000.0,4.0,1800000.0,7200000.0,False,False,False,False
HB-02E931,"3Aana,4Aana land Available at Lubhu, 27Lakh/Aana","Lubhu, Mahalaxmi-8, Lalitpur",Lalitpur,Lubhu,,2700000.0,3.0,2700000.0,8100000.0,False,False,False,False
HB-B17C77,7 Aana Land for Sale at Bhaisepati Aawash,"Bhaisepati, Lalitpur-18, Lalitpur",Lalitpur,Bhaisepati,,9600000.0,7.0,1371428.5714285714,9600000.0,False,False,False,False
HB-B7D00E,२३ aana land for sale Bhangal Budhanilkaha,"Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,3500000.0,23.0,3500000.0,80500000.0,False,False,False,False
HB-B79798,6.50 aana land for sale Bhangal Budhanilkaha,"Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,3600000.0,6.5,3600000.0,23400000.0,False,False,False,False
HB-E2C6EB,5 aana land for sale Bhangal Budhanilkaha,"Samudaik Marg, Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,4000000.0,5.0,4000000.0,20000000.0,False,False,False,False
HB-4F3E89,"Land for Sale – GolDhunga, Tarakeshwor","Tarakeshwar, Tarakeshwor-3, Kathmandu",Kathmandu,Tarakeshwar,Pitched Road,2400000.0,4.5,2400000.0,10800000.0,False,False,False,False
HB-663F68,5 aana land for sale BidyaDebi Bhangal Budhanilkah,"Budhanilakantha-8, Kathmandu, Bagmati Pradesh",Kathmandu,Budhanilkantha,13-20 Ft,5500000.0,5.0,1100000.0,5500000.0,False,False,False,False
HB-4A4CC0,"Land for Sale – Lubhu, Lalitpur","Lubhu, Mahalaxmi-8, Lalitpur",Lalitpur,Lubhu,Pitched Road,2300000.0,3.4,2300000.0,7820000.0,False,False,False,False
HB-A9C70B,LAND FOR SALE IN SUNAKOTHI LALITPUR,"Sunakothi, Lalitpur-25, Lalitpur",Lalitpur,Sunakothi,Pitched Road,4200000.0,7.5,4200000.0,31500000.0,False,False,False,False
HB-95C7F7,land for sale in tokha,"Tokha Saraswati, Tokha-3, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,13-20 Ft,3800000.0,4.0,3800000.0,15200000.0,False,False,False,False
HB-9B44A7,"Land on Sale at Lele, code: GJBLOS 3513","Lele, Godawari-5, Lalitpur",Lalitpur,Lele,Gravel Road,1400000.0,1.0,1400000.0,1400000.0,False,False,False,False
HB-43BAD9,29 AANA LAND FOR SALE AT GODAWARI,"Godawari Ward No.7 Office, Godawari-7, Lalitpur",Lalitpur,Godawari,,500000.0,29.0,500000.0,14500000.0,False,False,False,False
HB-FD0935,House for sell in Laynchaur,"Kathmandu-1, Kathmandu, Bagmati Pradesh",Kathmandu,Unknown,Pitched Road,48000000.0,8.0,6000000.0,48000000.0,False,False,False,False
HB-A1B857,3.75 aana land for sale near Saibaba Tokha,"Tokha Saraswati, Tokha-3, Kathmandu, Bagmati Pradesh",Kathmandu,Tokha,13-20 Ft,4100000.0,3.75,1093333.3333333333,4100000.0,False,False,False,False
HB-E9E337,Urgent land for sale in Tikathali,"Phaudegau, Mahalaxmi-7, Lalitpur, Bagmati Pradesh",Lalitpur,Phaudegau,13-20 Ft,41.0,6.0,4100000.0,24600000.0,False,False,False,False
HB-46DB85,"Land for Sale – Lubhu, Lalitpur","Lubhu, Mahalaxmi-8, Lalitpur",Lalitpur,Lubhu,Gravel Road,2285000.0,3.5,2285000.0,7997500.0,False,False,False,False
HB-9D542E,"Land for Sale – Kantipur Colony, Nakhipot 32 Aana","Nakhipot, Lalitpur-14, Lalitpur",Lalitpur,Nakhipot,Pitched Road,3000000.0,32.0,3000000.0,96000000.0,False,False,False,False
HB-A9CE74,"Land for Sale in Kantipur Colony, Nakhipot 5 Aana!","Nakhipot, Lalitpur-14, Lalitpur",Lalitpur,Nakhipot,,3500000.0,5.0,3500000.0,17500000.0,False,False,False,False
HB-5A699F,7.5 Aana Land For Sale In Baneshwor,"Baneshwor, Tallo Tusal Galli, Kathmandu-4, Kathmandu",Kathmandu,Baneshwor,,9500000.0,7.5,1266666.6666666667,9500000.0,False,False,False,False
HB-DD7827,"Land for Sale in Krishna Chaur, Aalapot","Aalapot, Kageshwori Manahora-2, Kathmandu",Kathmandu,Aalapot,Pitched Road,2350000.0,4.75,2350000.0,11162500.0,False,False,False,False
HB-E29AEA,29Aana Land sale at Bishnudol 22Lakh/Aana,"Nmb Bank, Lubhu Branch, Lalitpur., Gwarko-Lamatar, Mahalaxmi-8, Lalitpur",Lalitpur,Nmb Bank,,2200000.0,29.0,2200000.0,63800000.0,False,False,False,False
HB-26525E,22Aana land 13Lakh/Aana Near Muktinath Temple,"Muktinath Temple Lalitpur-108 Dhara, Godawari-1, Lalitpur",Lalitpur,108 Dhara,,1300000.0,22.0,1300000.0,28600000.0,False,False,False,False
HB-85BA99,7.5 Aana Land For Sale In Baneshwor,"Baneshwor, Tallo Tusal Galli, Kathmandu-4, Kathmandu",Kathmandu,Baneshwor,,9500000.0,7.5,1266666.6666666667,9500000.0,False,False,False,False
HB-4A8B87,3 aana jagga total 50lakh at lalitpur bajrabarahi,"Godawari-11, Lalitpur, Bagmati Pradesh",Lalitpur,Godawari,13-20 Ft,1650000.0,3.0,1650000.0,4950000.0,False,False,False,False
HB-2F34E8,4 aana 2 paisa total 50 lakh,"Godawari-3, Lalitpur, Bagmati Pradesh",Lalitpur,Godawari,13-20 Ft,11.0,4.0,1100000.0,4400000.0,False,False,False,False
HB-A1DC14,4/5 Aana Land For Sale In Bafal,"Bafal, Kathmandu-13, Kathmandu",Kathmandu,Bafal,,6500000.0,5.0,1300000.0,6500000.0,False,False,False,False
HB-9419B5,32 ft bato - Dhunche pakha - Thimi ma JAGGA BIKRI,"Dhunche Pakha, Madhyapur Thimi-7, Bhaktapur",Bhaktapur,Dhunche Pakha,,15000000.0,3.497443389335281,4288847.117794487,15000000.0,False,False,False,False
HB-BA7FAE,Jawalakhel ma 8 aana land on sell,"Khadka Tol, Kapurboat Khadka Tole Marg, Lalitpur-13, Lalitpur, Bagmati Pradesh",Lalitpur,Khadka Tol,Pitched Road,6000000.0,8.0,6000000.0,48000000.0,False,False,False,False
HB-7DEF1C,jharuwarashi 3 aana total 60 lakh,"Arubot, Godawari-13, Lalitpur, Bagmati Pradesh",Lalitpur,Arubot,13-20 Ft,2000000.0,3.0,2000000.0,6000000.0,False,False,False,False
HB-F54074,LAND FOR SALE CHAKRAPATH NEAR NARAYANGOPAL CHOWK,"Narayan Gopal Chowk, Kathmandu-3, Kathmandu, Bagmati Pradesh",Kathmandu,Narayan Gopal Chowk,13-20 Ft,8000000.0,7.0,1142857.142857143,8000000.0,False,False,False,False
HB-1AF724,"Land on sale at Dhumbarai,kathmandu","Dhumbarai Temple, Kathmandu-4, Kathmandu",Kathmandu,Dhumbarai Temple,Pitched Road,5500000.0,5.0,1100000.0,5500000.0,False,False,False,False
HB-8E4B27,LAND FOR SALE,"Sipadol, Suryabinayak-8, Bhaktapur",Bhaktapur,Sipadol,Above 20 Ft,200000.0,56.0,200000.0,11200000.0,False,False,True,True
HB-E6B685,LAND FOR SALE GUNDU BHAKTAPUR NEAR BHAIRAB SCHOOL,"Tithali Chowk, Suryabinayak-7, Bhaktapur, Bagmati Pradesh",Bhaktapur,Suryabinayak,13-20 Ft,2000000.0,4.0,2000000.0,8000000.0,False,False,False,False
