url,source,district,property_id,title,property_type,property_face,road_type,negotiable,city_area,pricing_raw,purpose,property_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,neighborhood,landmark,hospital,airport,pharmacy,bhatbhateni,school,public_transport,police_station,pashupatinath,boudhanath,ward_office
https://lalpurjanepal.com.np/properties/land-for-sale-at-chyamasingbhaktapur-8055,lalpurja,Bhaktapur,8055,Property Details,Residential,South,Soil Stabilized,Yes,"Bhaktapur, Chyamasingha",20 Lakh Per Aana,Sale,3 Aana,13 Feet,F 22 Feet,2025 August 14,249,Changunarayan,07,20km,Chyamasingha,Bhaktapur | District Court,1km,15km,1km,6km,1km,200m,1km,17km,9km,
https://lalpurjanepal.com.np/properties/land-for-sale-at-jhaukhelbhaktapur-8054,lalpurja,Bhaktapur,8054,Property Details,Residential,North-East,Soil Stabilized,Yes,"Bhaktapur, Duwakot",26 Lakh Per Aana,Sale,4.5 Aana,13 Feet,F 30 Feet | F 28 Feet | F 42 Feet | F 42 Feet,2025 August 14,183,Changunarayan,03,20km,Duwakot,Bhaktapur | Jhaukhel Pipalbot,3km,14km,3km,5.5km,1km,1km,2km,16km,9km,1km
https://lalpurjanepal.com.np/properties/25-aana-land-for-rent-at-lokanthali-8027,lalpurja,Bhaktapur,8027,Property Details,Commercial,East,Gravelled,Yes,"Bhaktapur, Lokanthali",Rs 4000 Per Aana,Sale,25 Aana,9 Meter,F 40 Feet,2025 August 13,270,Madhyapur Thimi,01,1.5km,Lokanthali,Madhyapur Thimi | Lokanthali Planning,2km,4.5km,500m,2.5km,600m,200m,500m,7km,8km,800m
https://lalpurjanepal.com.np/properties/plots-for-sale-at-sipadol-8019,lalpurja,Bhaktapur,8019,Property Details,Residential,East,Soil Stabilized,Yes,"Bhaktapur, Suryabinayak",30 Lakh Per aana,Sale,3.5 Aana,20 Feet,F 36 | L 39 | B 26 | L 43 Feet,2025 August 12,310,Suryabinayak,08,4km,Suryabinayak,Sipadol | Jagati Viral Planning,1km,12km,500m,4.5km,500m,800m,1.7km,14km,18km,500m
https://lalpurjanepal.com.np/properties/land-for-sale-at-suryabinayak-8018,lalpurja,Bhaktapur,8018,Property Details,Residential,North,Paved,Yes,"Bhaktapur, Suryabinayak",30 Lakh Per Aana,Sale,3.5 Aana,13 Feet,F 25 | L 42 Feet,2025 August 12,378,Suryabinayak,08,4km,Suryabinayak,Suryabinayak | Darjeeling Height,3km,12km,500m,4.8km,200m,800m,1.7km,14km,18km,500m
https://lalpurjanepal.com.np/properties/land-for-sale-at-suryabinayak-8016,lalpurja,Bhaktapur,8016,Property Details,Residential,North,Paved,Yes,"Bhaktapur, Suryabinayak",30 Lakh Per Aana,Sale,2.81 Aana,13 Feet,F 28 | L 32 Feet,2025 August 12,133,Suryabinayak,08,4km,Suryabinayak,Suryabinayak | Darjeeling Height,3km,12km,500m,4.8km,200m,800m,1.7km,15km,19km,500m
https://lalpurjanepal.com.np/properties/land-for-sale-at-sallagharibhaktapur-8013,lalpurja,Bhaktapur,8013,Property Details,Commercial,North,Blacktopped,Yes,"Bhaktapur, Sallaghari",41 Lakh Per Aana,Sale,7 Aana,32 Feet,F 24 Feet,2025 August 12,269,Suryabinayak,05,9km,Sallaghari,Bhaktapur | Sallaghari Chowk,2.2km,9.3km,100m,1.1km,500m,50m,200m,11km,9km,
https://lalpurjanepal.com.np/properties/land-for-sale-at-nagarkot-7993,lalpurja,Bhaktapur,7993,Property Details,Commercial,Save Property,Gravelled,Yes,"Bhaktapur, Nagarkot",8 Lakh Per Aana,Sale,10.5 Ropani,20 Feet,F 68 Feet,2025 August 12,686,Kavre,07,27km,Nagarkot,Nagarkot | Hotel Mystic Mountain,DRIM Hospital - 19km,29km,500m,Pulchowk - 700m,Rato Bangala School - 1km,200m,3km,30km,25km,
https://lalpurjanepal.com.np/properties/land-for-sale-at-sudalbhaktapur-7990,lalpurja,Bhaktapur,7990,Property Details,Residential,South-East,Blacktopped,Yes,"Bhaktapur, Sudal",24 Lakh Per Aana,Sale,4.25 Aana,20 Feet,F 26 Feet,2025 August 11,172,Changunarayan,08,22km,Sudal,Sudal | Worke Pali,3.5km,15km,3km,8km,2km,500m,1km,17km,9km,2km
https://lalpurjanepal.com.np/properties/land-for-sale-at-sudalbhaktapur-7976,lalpurja,Bhaktapur,7976,Property Details,Residential,West,Blacktopped,Yes,"Bhaktapur, Sudal",24 Lakh Per Aana,Sale,4.5 Aana,20 Feet,F 26 Feet,2025 August 11,120,Changunarayan,08,20km,Sudal,Sudal | Worke Pali,3.2km,16km,3km,8.1km,1km,400m,1km,18km,9km,3km
