url,source,district,property_id,title,property_type,property_face,road_type,negotiable,city_area,pricing_raw,purpose,property_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,neighborhood,landmark,hospital,airport,pharmacy,bhatbhateni,school,public_transport,police_station,pashupatinath,boudhanath,ward_office
https://lalpurjanepal.com.np/properties/land-for-sale-at-mulpani-5066,lalpurja,Kathmandu,5066,Property Details,Residential,East,Soil Stabilized,Yes,"Kathmandu, Mulpani",32 Lakh Per Aana,Sale,4 Aana,13 Feet,F 28 Feet,2025 February 2,152,Kageswori Manohara,06,6km,Mulpani,Mahalaxmi Tole,1km,7km,500m,6km,500m,500m,500m,6km,4km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-mulpani-5065,lalpurja,Kathmandu,5065,Property Details,Residential,East,Gravelled,Yes,"Kathmandu, Mulpani",30 Lakh Per Aana,Sale,4 Aana,15 Feet,F 28 Feet,2025 February 2,278,Kageswori Manohara,06,7km,Mulpani,Mulpani Chaur,1km,8km,500m,5km,1km,500m,500m,6km,4km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-bhadrabas-5062,lalpurja,Kathmandu,5062,Property Details,Residential,South-East,Soil Stabilized,Yes,"Kathmandu, Kageshwari-Manohara",20 Lakh Per Aana,Sale,17 Aana,13 Feet,F 28 Feet,2025 February 1,424,Kageswori Manohara,04,500m,Kageshwari-Manohara,Bhadrabas,1km,7km,500m,5km,500m,500m,500m,6km,4km,
https://lalpurjanepal.com.np/properties/land-for-sale-at-thali-5060,lalpurja,Kathmandu,5060,Property Details,Residential,North,Paved,Yes,"Kathmandu, Thali",30 Lakh Per Aana,Sale,3.25 Aana,16 Feet,F 28 Feet,2025 February 1,379,Kageswori Manohara,05,6km,Thali,Simkhada Gaun,1km,6km,500m,5km,500m,500m,500m,5km,3km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-lainchaur-5044,lalpurja,Kathmandu,5044,Property Details,Semi-commercial,North,Blacktopped,Yes,"Kathmandu, Lainchaur",3 Crore,Sale,2 Aana,20 Feet,F 15 Feet,2025 January 31,279,Kathmandu,26,2km,Lainchaur,NCELL,500m,6km,200m,1km,500m,100m,500m,7km,7km,500m
https://lalpurjanepal.com.np/properties/land-for-sale-at-5033,lalpurja,Kathmandu,5033,Property Details,Residential,North,Paved,Yes,"Kathmandu, Gothatar",41 Lakh Per Aana,Sale,4.19 Sq. Ft.,10 Feet,F 32.5 Feet | B 32.5 Feet | L 43 Feet | R 43.5 Feet,2025 January 30,435,Kageshwori Manahora,09,4.3km,Gothatar,Thapagaun | Pani Tanki,3km,3.5km,400m,5km,350m,400m,2km,3.6km,3.7km,800m
https://lalpurjanepal.com.np/properties/land-on-sale-at-kirtipur-5026,lalpurja,Kathmandu,5026,Property Details,Semi-commercial,South,Paved,Yes,"Kathmandu, Kirtipur",38 Lakh Per Aana,Sale,3.1 Aana,13 Feet,F 30 Feet,2025 January 29,721,kirtipur,06,300m,Kirtipur,Ujjwol School,3km,10km,200m,3km,300m,300m,400m,10km,12km,500m
https://lalpurjanepal.com.np/properties/land-for-sale-at-phutung-tarkeshwor-5020,lalpurja,Kathmandu,5020,Property Details,Residential,West,Blacktopped,Yes,"Kathmandu, Tarkeshwor",25 Lakh Per Aana,Sale,5 Aana,13 Feet,F 32 Feet,2025 January 28,299,Tarkeshwor,07,2km,Tarkeshwor,Phutung School,2km,13km,500m,2km,1km,500m,1km,13km,14km,1km
https://lalpurjanepal.com.np/properties/land-for-sale-at-tokha-5015,lalpurja,Kathmandu,5015,Property Details,Semi-commercial,North,Blacktopped,Yes,"Kathmandu, Tokha",90 Lakh Per Aana,Sale,12 Aana,13 Feet,F 70 Feet,2025 January 28,249,Tokha,08,2km,Tokha,Bhatbhateni Supermarket,500m,7km,200m,100m,100m,50m,300m,6km,6km,1km
https://lalpurjanepal.com.np/properties/land-on-sale-budhanilkantha-5001,lalpurja,Kathmandu,5001,Property Details,Residential,South,Soil Stabilized,Yes,"Kathmandu, Budhanilkantha",60 Lakh Per Aana,Sale,7 Aana,13 Feet,F 92 Feet,2025 January 27,403,Budhanilkantha,06,2km,Budhanilkantha,Hattigauda Complex,400m,8km,200m,1.5km,200m,200m,200m,7.8km,6km,200m
https://lalpurjanepal.com.np/properties/land-on-sale-budhanilkantha-4996,lalpurja,Kathmandu,4996,Property Details,Residential,East,Soil Stabilized,Yes,"Kathmandu, Budhanilkantha",70 Lakh Per Aana,Sale,17 Aana,40 Feet,F 92 Feet,2025 January 27,130,Budhanilkantha,06,2km,Budhanilkantha,Sabrina Hotel,500m,8km,200m,2km,200m,200m,200m,7.9km,7km,200m
https://lalpurjanepal.com.np/properties/land-for-sale-at-budhanilkantha-4983,lalpurja,Kathmandu,4983,Property Details,Residential,West,alley,Yes,"Kathmandu, Budhanilkantha",36 Lakh Per Aana,Sale,3 Aana,13 Feet,F 30 Feet,2025 January 24,315,Budhanilkantha,04,2km,Budhanilkantha,Mathilo pasikot,1km,8km,100m,2km,500m,500m,800m,6km,6km,800m
https://lalpurjanepal.com.np/properties/south-east-face-land-for-sale-at-suncity-kadaghari-kathmandu-4981,lalpurja,Kathmandu,4981,Property Details,Residential,South-East,Paved,Yes,"Kathmandu, Kadaghari",47 Lakh Per Aana,Sale,4.18 Aana,11 Feet,F 33 Feet | B 30 Feet | L 48 Feet | R 50 Feet,2025 January 24,263,Kageshwori Manahora,08,3.3km,Kadaghari,Kadaghari | Suncity | Aashapuri Marg,2.3km,3.5km,300m,2.5km,500m,300m,1km,3km,4km,1km
