url,source,category,district,property_id,title,total_price_raw,property_type,property_face,year_built,road_type,negotiable,furnishing,city_area,pricing_raw,purpose,property_area,built_up_area,road_access,dimension,date_posted,views,municipality,ward_no,ring_road,landmark,hospital,airport,pharmacy,bhatbhateni,school,college,gym,public_transport,police_station,pashupatinath,boudhanath,atm,hotel,restaurant,banquet,ward_office,neighborhood,property_type_stat,land_area_aana,bedrooms,kitchens,bathrooms,living_rooms,parking,total_floors
https://lalpurjanepal.com.np/properties/house-for-sale-in-basundhara-6897,lalpurja,house,Kathmandu,6897,Property Details,3 Crore 60 Lakh,Residential,South-West,2074 B S,alley,Yes,Unfurnished,"Kathmandu, Basundhara",3 Crore 60 Lakh,Sale,4.5 Aana,,13 Feet,,2025 June 7,248.0,Kathmandu,03,500m,,,,,,,,,,,,,,,,,,Basundhara,,,5,2,4,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-in-basundhara-6896,lalpurja,house,Kathmandu,6896,Property Details,2 Crore 60 Lakh,Residential,West,2068,Blacktopped,Yes,Unfurnished,"Kathmandu, Basundhara",2 Crore 60 Lakh,Sale,3.93 Aana,1026.75 square-feet,11 Feet,,2025 June 7,231.0,karhmandu,03,700m,,,,,,,,,,,,,,,,,,Basundhara,,,6,2,3,2,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-syuchatar-6891,lalpurja,house,Kathmandu,6891,Property Details,3 Crore 50 Lakh,Residential,North-East,2079,Paved,Yes,Semi Furnished,"Kathmandu, Syuchatar",3 Crore 50 Lakh,Sale,4 Aana,1197.87 square-feet,13 Feet,,2025 June 6,210.0,Kathmandu,14,800m,,,,,,,,,,,,,,,,,,Syuchatar,,,6,2,4,1,1,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-maitidevi-6889,lalpurja,house,Kathmandu,6889,Property Details,1 Crore 65 Lakh,Residential,North-East,2048,Paved,Yes,Full Furnished,"Kathmandu, Maitidevi",1 Crore 65 Lakh,Sale,2 Aana,684 square-feet,3 Feet,,2025 June 6,555.0,Kathmandu,30,2km,,,,,,,,,,,,,,,,,,Maitidevi,,,12,1,3,,2,3
https://lalpurjanepal.com.np/properties/house-for-sale-at-balambu-6888,lalpurja,house,Kathmandu,6888,Property Details,2 Crore 35 Lakh,Residential,North,2080,Blacktopped,Yes,Semi Furnished,"Kathmandu, Balambu",2 Crore 35 Lakh,Sale,4.25 Aana,1026.75 square-feet,13 Feet,,2025 June 6,157.0,Chandragiri,12,4km,,,,,,,,,,,,,,,,,,Balambu,,,6,2,4,1,2,2.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-shivachowk-6887,lalpurja,house,Kathmandu,6887,Property Details,2 Crore 25 Lakh,Residential,East,2076,Paved,Yes,Unfurnished,"Kathmandu, Jorpati",2 Crore 25 Lakh,Sale,3.5 Aana,1996 square-feet,10 Feet,F 12 Feet,2025 June 6,193.0,Kageshwori Manohara,06,4km,,,,,,,,,,,,,,,,,,Jorpati,,,5,2,3,2,2,2.5
https://lalpurjanepal.com.np/properties/housefor-sale-at-koteshwore-6883,lalpurja,house,Kathmandu,6883,Property Details,6 crore 75 lakh,Commercial,North-East,2053,Blacktopped,Yes,Semi Furnished,"Kathmandu, Koteshwor",6 crore 75 lakh,Sale,5.13 Aana,1540.12 square-feet,20 Feet,F 26 Feet,2025 June 5,296.0,Kathmandu,04,200m,,,,,,,,,,,,,,,,,,Koteshwor,,,10,3,5,3,,4.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-tarkeshwor-jarankhu-6880,lalpurja,house,Kathmandu,6880,Property Details,1 Crore 70 Lakh,Residential,South-East,2064,Blacktopped,Yes,Unfurnished,"Kathmandu, Tarkeshwor",1 Crore 70 Lakh,Sale,4.06 Aana,1026.75 square-feet,13 Feet,F 32 Feet,2025 June 5,375.0,Tarkeshwor,04,2km,,,,,,,,,,,,,,,,,,Tarkeshwor,,,2,1,2,1,1,1
https://lalpurjanepal.com.np/properties/house-for-sale-at-banasthali-6879,lalpurja,house,Kathmandu,6879,Property Details,4 Crore 10 Lakh,Residential,South-East,2075,Paved,Yes,Semi Furnished,"Kathmandu, Banasthali",4 Crore 10 Lakh,Sale,4 Aana,,13 Feet,,2025 June 5,130.0,Kathmandu,16,600m,,,,,,,,,,,,,,,,,,Banasthali,,,6,2,5,3,1,3.5
https://lalpurjanepal.com.np/properties/house-for-sale-at-dillibazar-maitidevi-6874,lalpurja,house,Kathmandu,6874,Property Details,4 Crore 10 Lakh,Commercial,South,,Blacktopped,Yes,Full Furnished,"Kathmandu, Maitidevi",4 Crore 10 Lakh,Sale,3.5 Aana,1197 square-feet,23 Feet,,2025 June 5,387.0,Kathmandu,29,2km,,,,,,,,,,,,,,,,,,Maitidevi,,,20,5,5,,3,5.5
