category,title,district,neighborhood,location_raw,total_price,price_per_aana,land_area_aana,build_up_area,floors,facing,road_width_feet,bedrooms,bathrooms,parking_cars,parking_bikes,built_year_ad,house_age,is_under_construction,amenity_count,has_modular_kitchen,has_parquet,has_drainage,has_solar,has_parking,has_garden,is_wide_road,is_commercial_suspect,is_area_estimated,luxury_score,log_price,price_segment,is_incomplete_listing
house, House for Sale,Lalitpur,Sanepa,"Sanepa, Lalitpur",63500000.0,12700000.0,5.0,2994.69,2.5,North West,10.0,5.0,3.0,0.0,0.0,2021.0,4.0,False,11,1,1,0,0,1,0,False,False,True,3,17.96655047961095,Ultra-Luxury,0
house,Bungalow House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",85000000.0,12142857.142857144,7.0,4192.56,2.5,West,13.0,5.0,6.0,3.0,2.0,2018.0,7.0,False,11,1,1,0,0,1,0,False,False,True,3,18.258161826219297,Ultra-Luxury,0
house,Bungalow House for Sale,Kathmandu,Maharajgunj,"Maharajgunj, Kathmandu",105000000.0,9545454.545454543,11.0,6588.31,2.5,South,12.0,4.0,4.0,0.0,0.0,2021.0,4.0,False,11,0,1,1,0,1,1,False,False,True,4,18.46947091764561,Ultra-Luxury,0
house,4 BHK House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",64000000.0,9142857.142857144,7.0,4192.56,2.5,East,26.0,4.0,4.0,3.0,0.0,2018.0,7.0,False,11,0,1,1,0,1,0,False,False,True,3,17.974393656948944,Ultra-Luxury,0
house,3 BHK House for Sale,Lalitpur,Sunakothi,"Sunakothi, Lalitpur",35000000.0,8750000.0,4.0,2395.75,2.5,North,20.0,3.0,4.0,0.0,0.0,2023.0,2.0,False,11,0,1,0,0,1,0,False,False,True,2,17.370858648025116,High-End,0
house, House for Sale,Kathmandu,Kapan,"Kapan, Kathmandu",22000000.0,7333333.333333333,3.0,1796.81,2.5,South,16.0,6.0,5.0,1.0,2.0,2021.0,4.0,False,11,0,1,1,0,1,0,False,False,True,3,16.906553056777135,Budget,0
house,4 BHK House for Sale,Lalitpur,Dhobighat,"Dhobighat, Lalitpur",37500000.0,12500000.0,3.0,1796.81,2.5,South,16.0,4.0,4.0,0.0,0.0,2021.0,4.0,False,11,1,1,0,0,1,0,False,False,True,3,17.439851517607305,High-End,0
house, House for Sale,Lalitpur,Hattiban,"Hattiban, Lalitpur",80000000.0,13333333.333333334,6.0,2874.9,2.0,South,20.0,5.0,4.0,0.0,3.0,2021.0,4.0,False,11,1,1,0,0,1,0,False,False,True,3,18.197537205138154,Ultra-Luxury,0
house,Bungalow House for Sale,Lalitpur,Satdobato,"Satdobato, Lalitpur",55000000.0,13095238.095238095,4.2,3521.75,3.5,South East,13.0,6.0,7.0,0.0,0.0,2020.0,5.0,False,11,1,1,0,0,1,0,False,False,True,3,17.822843761378564,Ultra-Luxury,0
house,Bungalow House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",55000000.0,16666666.666666668,3.3,2060.0,2.5,South West,13.0,4.0,4.0,1.0,5.0,2018.0,7.0,False,11,1,1,0,0,1,0,False,False,False,3,17.822843761378564,Ultra-Luxury,0
house, House for Sale,Lalitpur,Sanepa,"Sanepa, Lalitpur",77500000.0,8611111.111111112,9.0,2500.0,2.5,South West,20.0,5.0,5.0,0.0,0.0,2021.0,4.0,False,11,1,0,0,0,1,0,False,False,False,2,18.1657885072268,Ultra-Luxury,0
house, House for Sale,Kathmandu,Budhanilkantha,"Budhanilkantha, Kathmandu",160000000.0,13333333.333333334,12.0,3500.0,2.5,North,13.0,7.0,7.0,0.0,0.0,2017.0,8.0,False,11,0,1,1,0,1,1,False,False,False,4,18.8906843794481,Ultra-Luxury,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",31900000.0,7780487.8048780495,4.1,2455.64,2.5,South,13.0,5.0,3.0,0.0,0.0,2021.0,4.0,False,11,0,0,1,0,1,0,False,False,True,2,17.278116599103036,Mid-Range,0
house,4 BHK House for Sale,Kathmandu,Sitapaila,"Sitapaila, Kathmandu",25000000.0,8333333.333333333,3.0,1796.81,2.5,West,13.0,4.0,3.0,2.0,5.0,2017.0,8.0,False,11,0,1,1,0,1,0,False,False,True,3,17.034386422832473,Budget,0
house, House for Sale,Unknown,Pokhara,"Pokhara, Kaski",120000000.0,10909090.909090908,11.0,6588.31,2.5,West,20.0,4.0,4.0,0.0,2.0,2023.0,2.0,False,11,1,0,0,0,1,0,False,False,True,2,18.603002309079653,Ultra-Luxury,0
house,Bungalow House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",62500000.0,9765625.0,6.4,2870.0,2.5,North West,13.0,5.0,6.0,2.0,3.0,2021.0,4.0,False,11,0,0,1,0,1,0,False,False,False,2,17.95067713070663,Ultra-Luxury,0
house,Bungalow House for Sale,Kathmandu,Budhanilkantha,"Budhanilkantha, Kathmandu",160000000.0,13333333.333333334,12.0,7187.25,2.5,North,12.0,7.0,7.0,1.0,0.0,2021.0,4.0,False,11,1,1,0,0,1,0,False,False,True,3,18.8906843794481,Ultra-Luxury,0
house,4 BHK House for Sale,Lalitpur,Hattiban,"Hattiban, Lalitpur",28000000.0,12727272.727272728,2.2,1317.66,2.5,North,12.0,4.0,4.0,1.0,2.0,2021.0,4.0,False,11,1,1,0,0,1,0,False,False,True,3,17.147715103853763,Mid-Range,0
house,Bungalow House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",59900000.0,8557142.857142856,7.0,4192.56,2.5,East,20.0,5.0,5.0,1.0,0.0,2021.0,4.0,False,11,0,1,0,0,1,0,False,False,True,2,17.90818707978017,Ultra-Luxury,0
house, House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",48000000.0,9600000.0,5.0,2994.69,2.5,South,25.0,6.0,4.0,2.0,2.0,2021.0,4.0,False,11,1,1,0,0,1,0,False,False,True,3,17.6867115897055,Ultra-Luxury,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",25000000.0,8064516.129032258,3.1,2228.05,3.0,North,13.0,5.0,3.0,1.0,0.0,2019.0,6.0,False,11,1,1,0,0,1,0,False,False,True,3,17.034386422832473,Budget,0
house,4 BHK House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",40000000.0,10000000.0,4.0,2395.75,2.5,North East,18.0,4.0,5.0,1.0,0.0,2019.0,6.0,False,11,0,1,1,0,1,0,False,False,True,3,17.50439003707821,High-End,0
house,Bungalow House for Sale,Lalitpur,Nakhipot,"Nakhipot, Lalitpur",60000000.0,8571428.57142857,7.0,4192.56,2.5,East,13.0,5.0,3.0,2.0,3.0,2019.0,6.0,False,11,0,1,0,0,1,0,False,False,True,2,17.909855136853043,Ultra-Luxury,0
house,4 BHK House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",25000000.0,7142857.142857143,3.5,2096.28,2.5,West,12.0,4.0,4.0,1.0,3.0,2014.0,11.0,False,11,1,1,0,0,1,0,False,False,True,3,17.034386422832473,Budget,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",27000000.0,8181818.181818183,3.3,1581.19,2.0,East,12.0,5.0,4.0,3.0,3.0,2021.0,4.0,False,11,0,1,1,0,1,0,False,False,True,3,17.11134746100564,Mid-Range,0
house,Bungalow House for Sale,Lalitpur,Gwarko,"Gwarko, Lalitpur",27500000.0,9166666.666666666,3.0,1796.81,2.5,North,12.0,5.0,4.0,1.0,0.0,2017.0,8.0,False,11,1,1,0,0,1,0,False,False,True,3,17.129696599000436,Mid-Range,0
house, House for Sale,Kathmandu,Budhanilkantha,"Budhanilkantha, Kathmandu",110000000.0,10000000.0,11.0,6588.31,2.5,South East,16.0,5.0,5.0,4.0,4.0,2020.0,5.0,False,11,0,1,1,0,1,0,False,False,True,3,18.5159909328476,Ultra-Luxury,0
house, House for Sale,Lalitpur,Hattiban,"Hattiban, Lalitpur",32500000.0,9848484.84848485,3.3,1976.49,2.5,North East,15.0,6.0,4.0,1.0,0.0,2020.0,5.0,False,11,0,1,1,0,1,0,False,False,True,3,17.296750678069195,High-End,0
house, House for Sale,Lalitpur,Hattiban,"Hattiban, Lalitpur",28000000.0,9032258.064516127,3.1,1485.37,2.0,South West,13.0,5.0,4.0,1.0,2.0,2021.0,4.0,False,11,1,1,1,0,1,0,False,False,False,4,17.147715103853763,Mid-Range,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",31000000.0,9687500.0,3.2,2299.92,3.0,West,12.0,6.0,4.0,2.0,2.0,2021.0,4.0,False,11,1,1,1,0,1,1,False,False,True,5,17.249497794707484,Mid-Range,0
house,4 BHK House for Sale,Kathmandu,Baneshwor,"Baneshwor, Kathmandu",40000000.0,8000000.0,5.0,2994.69,2.5,South,13.0,4.0,4.0,0.0,0.0,2020.0,5.0,False,11,0,1,1,0,1,0,False,False,True,3,17.50439003707821,High-End,0
house,House for Sale,Kathmandu,Tokha,"Tokha, Kathmandu",35000000.0,5833333.333333333,6.0,3593.62,2.5,North,15.0,3.0,3.0,0.0,3.0,2018.0,7.0,False,11,0,1,1,0,0,0,False,False,True,2,17.370858648025116,High-End,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",31500000.0,6057692.307692307,5.2,2491.58,2.0,East,20.0,6.0,5.0,1.0,2.0,2021.0,4.0,False,11,1,1,0,0,0,0,False,False,True,2,17.265498135541893,Mid-Range,0
house, House for Sale,Lalitpur,Ochu Height,"Ochu Height, Lalitpur",29000000.0,9062500.0,3.2,2700.0,2.5,South,13.0,6.0,6.0,1.0,2.0,2020.0,5.0,False,11,1,1,1,0,1,0,False,False,False,4,17.182806422433504,Mid-Range,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",42500000.0,10119047.61904762,4.2,3018.64,3.0,East,20.0,5.0,4.0,2.0,2.0,2021.0,4.0,False,11,1,0,0,0,1,0,False,False,True,2,17.565014657424058,High-End,0
house,4 BHK House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",46500000.0,11625000.0,4.0,1916.6,2.0,South East,12.0,4.0,4.0,2.0,2.0,2017.0,8.0,False,11,1,1,1,0,1,0,False,False,True,4,17.65496289206296,Ultra-Luxury,0
house,Luxurious Villa  for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",40000000.0,10000000.0,4.0,2395.75,2.5,North,20.0,5.0,4.0,2.0,1.0,2023.0,2.0,False,10,1,1,0,0,1,0,False,False,True,3,17.50439003707821,High-End,0
house,Bungalow House for Sale,Lalitpur,Sanepa,"Sanepa, Lalitpur",59500000.0,11900000.0,5.0,2299.0,3.0,North East,16.0,6.0,5.0,2.0,1.0,2021.0,4.0,False,11,1,1,0,0,1,0,False,False,False,3,17.90148688732258,Ultra-Luxury,0
house,4 BHK House for Sale,Lalitpur,Nakkhu,"Nakkhu, Lalitpur",39000000.0,7800000.0,5.0,2994.69,2.5,East,13.0,4.0,4.0,2.0,0.0,2021.0,4.0,False,11,1,0,0,0,1,0,False,False,True,2,17.479072229734946,High-End,0
house, House for Sale,Lalitpur,Setipakha,"Setipakha, Lalitpur",32000000.0,8000000.0,4.0,2874.9,3.0,East,13.0,8.0,3.0,1.0,2.0,2021.0,4.0,False,11,0,0,0,0,1,1,False,False,True,2,17.281246492014,Mid-Range,0
house, House for Sale,Lalitpur,Setipakha,"Setipakha, Lalitpur",32500000.0,8125000.0,4.0,2874.9,3.0,East,13.0,8.0,3.0,1.0,2.0,2020.0,5.0,False,11,1,0,0,0,1,1,False,False,True,3,17.296750678069195,High-End,0
house,4 BHK House for Sale,Lalitpur,Sunakothi,"Sunakothi, Lalitpur",51500000.0,7253521.126760564,7.1,4252.46,2.5,South,20.0,4.0,4.0,1.0,3.0,2017.0,8.0,False,11,0,1,1,0,1,1,False,False,True,4,17.75709238505144,Ultra-Luxury,0
house, House for Sale,Kathmandu,Kalanki,"Kalanki, Kathmandu",35000000.0,8750000.0,4.0,3354.05,3.5,South,10.0,8.0,6.0,1.0,5.0,2018.0,7.0,False,11,0,1,0,0,1,0,False,False,True,2,17.370858648025116,High-End,0
house,Bungalow House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",32500000.0,7558139.534883721,4.3,2600.0,2.5,East,20.0,4.0,4.0,1.0,3.0,2021.0,4.0,False,11,0,1,1,0,1,1,False,False,False,4,17.296750678069195,High-End,0
house, House for Sale,Kathmandu,Bhangal,"Bhangal , Kathmandu",32000000.0,10322580.64516129,3.1,1856.71,2.5,North,13.0,5.0,6.0,0.0,0.0,2017.0,8.0,False,11,0,1,1,0,1,0,False,False,True,3,17.281246492014,Mid-Range,0
house, House for Sale,Kathmandu,Sukedhara,"Sukedhara, Kathmandu",55000000.0,10576923.076923076,5.2,3114.47,2.5,South,13.0,5.0,3.0,0.0,0.0,2018.0,7.0,False,11,0,1,0,0,1,0,False,False,True,2,17.822843761378564,Ultra-Luxury,0
house,House for Sale,Lalitpur,Setipakha,"Setipakha, Lalitpur",23000000.0,10000000.0,2.3,1377.56,2.5,East,13.0,5.0,3.0,1.0,2.0,2017.0,8.0,False,11,1,0,0,0,1,1,False,False,True,3,16.951004817371683,Budget,0
house, House for Sale,Kathmandu,Chandragiri,"Chandragiri, Kathmandu",17000000.0,5151515.151515151,3.3,1581.19,2.0,East,20.0,3.0,3.0,0.0,0.0,2021.0,4.0,False,11,0,1,1,0,1,0,False,False,True,3,16.648723960844016,Budget,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",24000000.0,10434782.608695652,2.3,1928.58,3.5,South,13.0,5.0,4.0,0.0,0.0,2020.0,5.0,False,11,0,1,1,0,1,0,False,False,True,3,16.993564429978885,Budget,0
house,4 BHK House for Sale,Lalitpur,Tikathali,"Tikathali, Lalitpur",27500000.0,6875000.0,4.0,2395.75,2.5,South,13.0,4.0,4.0,0.0,2.0,2017.0,8.0,False,11,0,1,1,0,1,0,False,False,True,3,17.129696599000436,Mid-Range,0
house, House for Sale,Lalitpur,Tikathali,"Tikathali, Lalitpur",22500000.0,7031250.0,3.2,1916.6,2.5,South,13.0,4.0,3.0,0.0,2.0,2017.0,8.0,False,11,0,1,1,0,1,0,False,False,True,3,16.929025911619092,Budget,0
house,4 BHK House for Sale,Lalitpur,Lubhu,"Lubhu, Lalitpur",18000000.0,4285714.285714285,4.2,2515.54,2.5,East,13.0,4.0,4.0,0.0,2.0,2021.0,4.0,False,11,0,1,1,0,1,0,False,False,True,3,16.705882371415992,Budget,0
house,3 BHK House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",25000000.0,7812500.0,3.2,1916.6,2.5,South,14.0,3.0,3.0,1.0,2.0,2020.0,5.0,False,11,0,1,1,0,1,0,False,False,True,3,17.034386422832473,Budget,0
house, House for Sale,Lalitpur,Setipakha,"Setipakha, Lalitpur",16500000.0,5322580.64516129,3.1,742.68,1.0,North East,13.0,1.0,1.0,1.0,2.0,2017.0,8.0,False,11,1,0,0,0,1,1,False,False,True,3,16.61887099947687,Budget,0
house, House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",51000000.0,8095238.095238095,6.3,3773.31,2.5,South,12.0,5.0,5.0,0.0,2.0,2021.0,4.0,False,11,0,0,1,0,1,0,False,False,True,2,17.747336210296442,Ultra-Luxury,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",59900000.0,8557142.857142856,7.0,4192.56,2.5,East,20.0,5.0,3.0,2.0,4.0,2020.0,5.0,False,11,0,1,1,0,1,0,False,False,True,3,17.90818707978017,Ultra-Luxury,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",32500000.0,7558139.534883721,4.3,2575.43,2.5,East,20.0,4.0,3.0,2.0,4.0,2017.0,8.0,False,11,0,1,1,0,1,1,False,False,True,4,17.296750678069195,High-End,0
house, House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",27500000.0,8593750.0,3.2,1916.6,2.5,North,13.0,5.0,5.0,0.0,2.0,2020.0,5.0,False,11,0,1,1,0,1,0,False,False,True,3,17.129696599000436,Mid-Range,0
house, House for Sale,Bhaktapur,Sudal,"Sudal, Bhaktapur",12700000.0,3175000.0,4.0,958.3,1.0,East,13.0,2.0,1.0,0.0,0.0,2017.0,8.0,False,11,1,0,1,0,0,0,False,False,True,2,16.357112630168974,Budget,0
house,Bungalow House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",61000000.0,10166666.666666666,6.0,5031.07,3.5,South,18.0,6.0,4.0,3.0,2.0,2013.0,12.0,False,11,0,1,1,0,1,1,False,False,True,4,17.926384438531027,Ultra-Luxury,0
house,Bungalow House for Sale,Lalitpur,Hattiban,"Hattiban, Lalitpur",36900000.0,9000000.0,4.1,2777.93,3.5,South,18.0,5.0,4.0,1.0,3.0,2022.0,3.0,False,11,0,1,1,0,1,1,False,False,False,4,17.423722136111028,High-End,0
house,3 BHK House at Civil Homes Phase V,Lalitpur,Sunakothi,"Sunakothi, Lalitpur",23000000.0,10000000.0,2.3,1102.04,2.0,East,20.0,3.0,2.0,1.0,1.0,2013.0,12.0,False,11,1,1,1,0,1,1,False,False,True,5,16.951004817371683,Budget,0
house,Luxurious Villa for Sale,Kathmandu,Budhanilkantha,"Budhanilkantha, Kathmandu",32000000.0,8000000.0,4.0,1916.6,2.0,South,14.0,5.0,5.0,6.0,0.0,2022.0,3.0,False,11,1,1,1,0,1,1,False,False,True,5,17.281246492014,Mid-Range,0
house, House for Sale,Bhaktapur,Nil Barahi Mandir,"Nil Barahi Mandir, Bhaktapur",15500000.0,4843750.0,3.2,1916.6,2.5,South West,20.0,6.0,3.0,0.0,3.0,2021.0,4.0,False,11,0,0,0,0,1,0,False,False,True,1,16.5563506464056,Budget,0
house,Duplex House for Sale,Kathmandu,Dhapasi,"Dhapasi, Kathmandu",42500000.0,10119047.61904762,4.2,2515.54,2.5,West,13.0,7.0,6.0,2.0,4.0,2023.0,2.0,False,11,0,1,1,0,1,0,False,False,True,3,17.565014657424058,High-End,0
house,Exquisite property for sale,Kathmandu,Katyani Chowk,"Katyani Chowk, Kathmandu",65000000.0,9285714.285714284,7.0,3000.0,2.5,East,24.0,9.0,4.0,1.0,4.0,2017.0,8.0,False,11,0,0,1,0,1,1,False,False,False,3,17.989897843244528,Ultra-Luxury,0
house,Bungalow for Sale,Kathmandu,Gaurighat,"Gaurighat, Kathmandu",35000000.0,8750000.0,4.0,1916.6,2.0,North,15.0,6.0,5.0,5.0,9.0,2019.0,6.0,False,11,0,1,1,0,1,1,False,False,True,4,17.370858648025116,High-End,0
house, House for Sale,Kathmandu,Budhanilkantha,"Budhanilkantha, Kathmandu",28000000.0,8750000.0,3.2,2299.92,3.0,South,16.0,6.0,6.0,1.0,2.0,2019.0,6.0,False,11,0,1,1,0,1,0,False,False,True,3,17.147715103853763,Mid-Range,0
house,2 BHK House for Sale,Lalitpur,Lubhu,"Lubhu, Lalitpur",13300000.0,4433333.333333333,3.0,1078.09,1.5,South,13.0,2.0,1.0,1.0,1.0,2020.0,5.0,False,11,0,0,0,0,1,1,False,False,True,2,16.40327466837995,Budget,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",16000000.0,7272727.272727272,2.2,1054.13,2.0,South,13.0,4.0,2.0,0.0,0.0,2018.0,7.0,False,11,1,0,0,0,1,1,False,False,True,3,16.588099342704055,Budget,0
house, House for Sale,Lalitpur,Harisiddhi,"Harisiddhi, Lalitpur",25000000.0,8064516.129032258,3.1,1856.71,2.5,West,13.0,4.0,4.0,1.0,1.0,2011.0,14.0,False,11,0,1,1,0,1,0,False,False,True,3,17.034386422832473,Budget,0
house, House for Sale,Lalitpur,Harisiddhi,"Harisiddhi, Lalitpur",28000000.0,9333333.333333334,3.0,1796.81,2.5,West,20.0,5.0,4.0,1.0,1.0,2019.0,6.0,False,11,0,1,1,0,1,0,False,False,True,3,17.147715103853763,Mid-Range,0
house, House for Sale,Lalitpur,Imadol,"Imadol, Lalitpur",27000000.0,8437500.0,3.2,1916.6,2.5,South West,14.0,5.0,3.0,0.0,2.0,2019.0,6.0,False,11,0,1,1,0,1,0,False,False,True,3,17.11134746100564,Mid-Range,0
house, House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",39900000.0,9500000.0,4.2,2515.54,2.5,South,16.0,5.0,5.0,1.0,2.0,2019.0,6.0,False,11,0,1,1,0,1,0,False,False,True,3,17.50188690692275,High-End,0
house,4 BHK House for Sale,Lalitpur,Bhaisepati,"Bhaisepati, Lalitpur",49900000.0,9980000.0,5.0,4192.56,3.5,South,16.0,4.0,4.0,2.0,3.0,2019.0,6.0,False,11,0,1,1,0,1,0,False,False,True,3,17.725531580761828,Ultra-Luxury,0
house, House for Sale,Lalitpur,Lubhu,"Lubhu, Lalitpur",17000000.0,4047619.047619048,4.2,2515.54,2.5,East,10.0,5.0,3.0,0.0,1.0,2019.0,6.0,False,11,1,0,1,0,1,0,False,False,True,3,16.648723960844016,Budget,0
