district,property_type,property_face,road_type,ward_no,price_per_aana,land_size_aana,road_width_feet,facing_road_width,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,public_transport_m,police_station_m,ring_road_m,ring_road_proximity,comm_road_premium,is_corner_plot,log_land,neighborhood_encoded,municipality_encoded,urban_centrality,amenity_access_score,plot_value_score,commercial_zone_score,neighborhood_x_district,municipality_x_ward,road_access_quality
1,1,4,1,4,3500000.0,4.06,13.0,34.0,1500.0,9000.0,300.0,5000.0,500.0,1000.0,1700.0,8000.0,0.1112678527400893,0.0,0,1.6213664832993742,15.016643538474188,15.259942022423187,0.05527178781987225,0.6175495907160305,4.278879101743729,13.0,15.016643538474188,61.03976808969275,6.194405391104672
1,1,2,0,4,4500000.0,5.0,13.0,28.0,1000.0,8000.0,100.0,3000.0,200.0,50.0,500.0,3000.0,0.1248953869145088,0.0,1,1.791759469228055,15.016643538474188,15.259942022423187,0.0588442195298682,0.8043193917736179,4.728555960173844,13.0,15.016643538474188,61.03976808969275,6.0063531596017325
1,1,1,0,1,3000000.0,5.12,20.0,32.0,2000.0,10000.0,500.0,2000.0,1000.0,200.0,1000.0,4000.0,0.1205647308583029,0.0,0,1.8115620965242347,15.589798196981171,15.22043658538603,0.057127383861774274,0.6257196975086818,5.515341450197318,20.0,15.589798196981171,15.22043658538603,6.541029999189903
1,2,2,0,2,6500000.0,8.0,26.0,55.0,1000.0,7000.0,100.0,3000.0,100.0,50.0,100.0,2000.0,0.1315546732015944,0.0,1,2.1972245773362196,15.45259812730841,15.21092495118319,0.06077102406814365,0.8324367927627593,7.241693764875492,52.0,15.45259812730841,30.42184990236638,7.321188556739479
1,1,1,0,4,4000000.0,8.25,13.0,20.0,1000.0,7000.0,200.0,1000.0,200.0,200.0,500.0,2000.0,0.1315546732015944,0.0,0,2.224623551524334,15.214607942883376,15.22043658538603,0.06077102406814365,0.7104288769868247,5.870909089285021,13.0,15.214607942883376,60.88174634154412,5.683579767338681
1,1,0,1,1,2800000.0,3.37,13.0,30.0,2000.0,9000.0,500.0,4000.0,500.0,500.0,1000.0,6000.0,0.1149467381513831,0.0,0,1.4747630091074988,14.830351734030748,15.040420132235445,0.05616471694523931,0.6141331012407246,3.891984128630599,13.0,14.830351734030748,15.040420132235445,6.073044534100404
1,1,0,1,11,3400000.0,4.12,10.0,35.0,700.0,7000.0,200.0,2000.0,500.0,200.0,1000.0,1000.0,0.1447438839476537,0.0,0,1.6331544390514163,15.09977164483992,15.040420132235445,0.06344145914313616,0.6905961273053579,3.916133309151066,10.0,15.09977164483992,165.4446214545899,5.981414211254481
1,1,0,1,3,3100000.0,6.35,40.0,28.0,1000.0,9000.0,500.0,6000.0,1000.0,500.0,500.0,7000.0,0.1129457481958604,0.0,0,1.9947003132247452,15.010407281689599,15.417332657346737,0.05568270008344261,0.6112067199213942,7.4074633646377475,40.0,15.010407281689599,46.251997972040215,7.080867896690782
1,1,7,0,6,6500000.0,2.5,13.0,24.0,2000.0,6000.0,500.0,2000.0,1000.0,500.0,1000.0,1500.0,0.1367262063277868,0.0,0,1.252762968495368,15.490139411686302,15.712229222625739,0.06244704399877546,0.5980175091753349,3.30611329427827,13.0,15.490139411686302,94.27337533575444,5.857933154483459
1,1,1,0,4,7500000.0,7.0,12.0,55.0,1000.0,3000.0,500.0,1000.0,100.0,100.0,1700.0,4000.0,0.1205647308583029,0.0,0,2.0794415416798357,15.889593131183705,15.712229222625739,0.06134592798789596,0.7389614906317605,5.333662246210522,12.0,15.889593131183705,62.848916890502956,6.590301048196686
1,1,7,1,1,2900000.0,7.0,20.0,35.0,5000.0,8000.0,3000.0,4000.0,2000.0,4000.0,4000.0,2000.0,0.1315546732015944,0.0,0,2.0794415416798357,15.275640507079281,15.259942022423187,0.060281911442519945,0.494421605462625,6.3309064315784465,20.0,15.275640507079281,15.259942022423187,6.628041376179533
