district,property_type,property_face,road_type,municipality,ward_no,neighborhood,price_per_aana,land_size_aana,road_width_feet,facing_road_width,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,public_transport_m,police_station_m,ring_road_m,ring_road_proximity,comm_road_premium,is_corner_plot
Kathmandu,Commercial,North-East,High Access,Kathmandu,1,Kapan,5000000.0,44.0,23.0,40.0,3500.0,5500.0,300.0,6000.0,300.0,50.0,500.0,4000.0,0.12056473085830295,23.0,1
Kathmandu,Residential,West,Low Access,Suryabinayak,9,Mulpani,3500000.0,6.0,24.0,35.0,3500.0,5500.0,300.0,5000.0,300.0,150.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,North,High Access,Gokarneshwor,5,Sukedhara,7000000.0,4.0,13.0,28.0,500.0,7000.0,500.0,1000.0,500.0,500.0,500.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,North-West,High Access,Kathmandu,32,Pepsicola,5300000.0,7.0,14.0,35.0,400.0,3000.0,300.0,2500.0,300.0,50.0,300.0,4000.0,0.12056473085830295,0.0,1
Kathmandu,Residential,West,High Access,Nagarjun,1,Raniban,3800000.0,5.0,6.0,55.0,500.0,8000.0,200.0,3000.0,200.0,250.0,600.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Semi-commercial,South,High Access,Shankarapur,9,Sankhu,3600000.0,8.2,36.0,35.0,2100.0,14000.0,300.0,10000.0,400.0,50.0,1100.0,6000.0,0.11494673815138318,0.0,0
Kathmandu,Residential,North-West,Low Access,Shankarapur,9,Sankhu,2500000.0,4.11,20.0,35.0,2100.0,14000.0,400.0,10000.0,500.0,400.0,1100.0,9000.0,0.10982866664979875,0.0,1
Kathmandu,Residential,North-East,Low Access,Suryabinayak,5,Gothatar,4000000.0,6.0,32.0,40.0,4800.0,7000.0,300.0,4000.0,100.0,800.0,2200.0,4000.0,0.12056473085830295,0.0,1
Kathmandu,Residential,South,High Access,Tokha,7,Tokha,5000000.0,5.25,12.0,35.0,500.0,6000.0,100.0,1000.0,100.0,100.0,500.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,East,Low Access,Kathmandu,26,Premium_Zone,7500000.0,6.6,11.0,30.0,50.0,2000.0,200.0,500.0,200.0,200.0,600.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,North-West,High Access,Tokha,7,Tokha,3500000.0,4.0,13.0,35.0,1000.0,6000.0,300.0,2000.0,200.0,300.0,500.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Residential,North-West,High Access,Nagarjun,2,Raniban,6500000.0,3.5,20.0,35.0,500.0,8000.0,250.0,3000.0,300.0,250.0,600.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Residential,North-East,High Access,Kathmandu,4,Dhumbarahi,7500000.0,6.0,20.0,28.0,1000.0,7000.0,500.0,4000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,1
Kathmandu,Residential,East,High Access,Kathmandu,14,Kuleshwor,8000000.0,11.0,22.0,58.0,200.0,4000.0,100.0,1000.0,200.0,90.0,100.0,700.0,0.1526133225995339,0.0,0
Kathmandu,Residential,West,High Access,Kathmandu,29,Kalanki,3500000.0,15.0,16.0,35.0,1000.0,8000.0,500.0,5000.0,100.0,200.0,1700.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,South-West,High Access,Kathmandu,14,Premium_Zone,7500000.0,22.0,16.0,35.0,1000.0,8000.0,500.0,5000.0,100.0,200.0,1700.0,500.0,0.1608594760130434,0.0,1
Kathmandu,Residential,North,Low Access,Nagarjun,2,Raniban,5500000.0,3.62,13.0,55.0,400.0,7000.0,250.0,3000.0,300.0,200.0,600.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,South,High Access,Suryabinayak,5,Pepsicola,4200000.0,4.22,4.0,35.0,3000.0,4000.0,300.0,4000.0,300.0,300.0,100.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,North,High Access,Nagarjun,2,Raniban,6000000.0,5.5,20.0,30.0,400.0,7000.0,200.0,3000.0,200.0,200.0,600.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,South,High Access,Nagarjun,2,Raniban,5600000.0,4.0,20.0,35.0,300.0,7000.0,200.0,3000.0,200.0,200.0,600.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,East,High Access,Kathmandu,31,Baneshwor,9500000.0,7.0,26.0,30.0,300.0,2000.0,100.0,1000.0,50.0,50.0,1700.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Commercial,North,High Access,Kathmandu,31,Mid Baneshowr,8900000.0,19.0,25.0,30.0,300.0,1000.0,50.0,1000.0,100.0,100.0,1700.0,500.0,0.1608594760130434,25.0,0
Kathmandu,Residential,South,Low Access,Tokha,7,Tarkeshwor,2400000.0,4.0,13.0,55.0,500.0,6000.0,100.0,300.0,100.0,50.0,500.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,South,High Access,Kathmandu,31,Premium_Zone,7500000.0,8.0,13.0,35.0,500.0,1000.0,100.0,500.0,100.0,100.0,1700.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,East,High Access,Gokarneshwor,4,Guheshwori,4000000.0,6.0,10.0,28.0,1000.0,7000.0,500.0,4000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,East,High Access,Kageshwori Manohara,6,Mulpani,4500000.0,9.5,20.0,28.0,1000.0,7000.0,500.0,4000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Semi-commercial,West,High Access,Budhanilkantha,1,Budhanilkantha,6500000.0,32.0,20.0,92.0,200.0,9000.0,100.0,5000.0,250.0,200.0,600.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,South-West,Low Access,Nagarjun,2,Tokha,3200000.0,4.5,12.0,28.0,1000.0,12000.0,250.0,3000.0,200.0,200.0,600.0,2000.0,0.13155467320159442,0.0,1
Kathmandu,Residential,North,High Access,Kathmandu,10,Sankhamul,8000000.0,4.0,13.0,30.0,500.0,7950.0,100.0,500.0,100.0,100.0,1700.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,East,High Access,Kathmandu,10,Baneshwor,6200000.0,12.0,8.0,35.0,200.0,2000.0,100.0,300.0,100.0,100.0,1700.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,West,High Access,Nagarjun,2,Sitapaila,4800000.0,3.75,13.0,55.0,400.0,14000.0,200.0,200.0,250.0,200.0,600.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,West,High Access,Kathmandu,6,Kalanki,4500000.0,6.75,14.0,35.0,7900.0,11000.0,200.0,800.0,300.0,200.0,500.0,300.0,0.1752200244275466,0.0,0
Kathmandu,Residential,West,Low Access,Suryabinayak,9,Mulpani,3700000.0,3.2,20.0,35.0,1200.0,5000.0,200.0,4200.0,200.0,200.0,1800.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,West,Low Access,Kageshwori Manohara,7,Mulpani,3700000.0,3.2,20.0,35.0,1200.0,9000.0,300.0,4100.0,300.0,200.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,South,High Access,Kathmandu,31,Old Baneshowr,7500000.0,9.0,10.0,30.0,300.0,500.0,100.0,500.0,100.0,100.0,1700.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Commercial,West,High Access,Kathmandu,31,Premium_Zone,9500000.0,6.0,26.0,30.0,300.0,500.0,100.0,2000.0,100.0,50.0,100.0,500.0,0.1608594760130434,26.0,0
Kathmandu,Residential,East,High Access,Gokarneshwor,4,Sukedhara,6500000.0,4.2,26.0,28.0,1000.0,7000.0,500.0,4000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Semi-commercial,East,High Access,Gokarneshwor,4,Sukedhara,7500000.0,5.0,20.0,28.0,1000.0,7000.0,500.0,4000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Semi-commercial,South,High Access,Gokarneshwor,4,Kapan,8000000.0,10.0,26.0,28.0,1000.0,7000.0,500.0,4000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,North,Low Access,Kathmandu,8,Kapan,4500000.0,4.0,13.0,40.0,150.0,5700.0,150.0,2300.0,300.0,200.0,2000.0,800.0,0.14956936854011055,0.0,0
Kathmandu,Residential,East,High Access,Kathmandu,6,Budhanilkantha,4600000.0,22.0,20.0,35.0,2000.0,10000.0,200.0,4000.0,150.0,100.0,150.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,North-East,Low Access,Budhanilkantha,5,Budhanilkantha,5500000.0,3.3,16.0,29.0,400.0,11000.0,200.0,5000.0,500.0,300.0,1700.0,8000.0,0.1112678527400893,0.0,1
Kathmandu,Residential,South-East,High Access,Budhanilkantha,10,Kapan,2500000.0,10.5,13.0,28.0,1000.0,7000.0,500.0,4000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,1
Kathmandu,Residential,West,High Access,Kathmandu,13,Premium_Zone,7000000.0,6.0,12.0,30.0,100.0,500.0,100.0,2000.0,100.0,100.0,100.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,East,High Access,Kathmandu,14,High_Zone,7300000.0,4.5,13.0,35.0,1000.0,8000.0,500.0,5000.0,100.0,200.0,1700.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,South,High Access,Gokarneshwor,4,Premium_Zone,7500000.0,22.0,13.0,28.0,1000.0,7000.0,500.0,4000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,South-East,High Access,Kathmandu,4,Baluwatar,6500000.0,8.0,10.0,35.0,1000.0,8000.0,500.0,5000.0,100.0,200.0,1700.0,500.0,0.1608594760130434,0.0,1
Kathmandu,Residential,South,Low Access,Nagarjun,2,Kavresthali,3500000.0,4.0,8.0,55.0,300.0,14000.0,200.0,3000.0,200.0,80.0,100.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Semi-commercial,South,High Access,Kathmandu,10,Baneshwor,9500000.0,10.5,15.0,35.0,300.0,1000.0,100.0,300.0,100.0,50.0,100.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,North,High Access,Kathmandu,10,Premium_Zone,7500000.0,4.0,13.0,30.0,200.0,2000.0,100.0,1000.0,100.0,200.0,200.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,East,High Access,Gokarneshwor,4,Kapan,3600000.0,8.0,13.0,28.0,1000.0,7000.0,500.0,4000.0,500.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,South-East,High Access,Kageshwori Manohara,5,Thali,3800000.0,4.0,16.0,35.0,1000.0,8000.0,500.0,6000.0,1000.0,500.0,500.0,7000.0,0.11294574819586044,0.0,1
Kathmandu,Residential,East,High Access,Kathmandu,6,Boudha,6500000.0,5.2,20.0,30.0,3000.0,3800.0,300.0,2000.0,400.0,350.0,800.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Semi-commercial,East,High Access,Kathmandu,10,Baneshwor,5500000.0,6.0,22.0,30.0,1200.0,7950.0,50.0,500.0,100.0,100.0,1700.0,500.0,0.1608594760130434,0.0,0
Lalitpur,Residential,North-West,High Access,Lalitpur,14,Thasikhel,4000000.0,3.5,8.0,27.0,1200.0,8300.0,240.0,1800.0,350.0,230.0,2300.0,850.0,0.1482269361761426,0.0,1
Lalitpur,Residential,West,Low Access,Lalitpur,29,Harisiddhi,3500000.0,5.0,16.0,35.0,550.0,11000.0,500.0,4500.0,300.0,300.0,2000.0,4000.0,0.12056473085830295,0.0,0
Lalitpur,Residential,North-West,Low Access,Godawari,13,Jharuwarasi,2000000.0,22.0,13.0,53.0,2500.0,12000.0,1800.0,5500.0,1000.0,500.0,2400.0,5300.0,0.11660922626993882,0.0,1
Lalitpur,Residential,South-West,High Access,Godawari,3,Budget_Zone,2600000.0,4.5,13.0,32.0,400.0,10000.0,300.0,1200.0,100.0,150.0,400.0,6000.0,0.11494673815138318,0.0,1
Lalitpur,Residential,West,High Access,Lalitpur,2,Dhapakhel,4300000.0,4.0,13.0,40.0,400.0,10000.0,300.0,600.0,200.0,100.0,450.0,2000.0,0.13155467320159442,0.0,0
Lalitpur,Residential,West,High Access,Lalitpur,18,Bhaisepati,7500000.0,19.0,20.0,65.0,1000.0,10000.0,500.0,3000.0,500.0,500.0,1700.0,2000.0,0.13155467320159442,0.0,0
Lalitpur,Residential,North-East,High Access,Lalitpur,5,Thasikhel,6500000.0,8.87,10.0,51.0,750.0,8000.0,300.0,1000.0,550.0,150.0,2000.0,150.0,0.19931118704250333,0.0,1
Lalitpur,Residential,South-West,High Access,Lalitpur,5,Thasikhel,7000000.0,8.0,10.0,74.0,750.0,8200.0,300.0,1000.0,550.0,150.0,2000.0,150.0,0.19931118704250333,0.0,1
Lalitpur,Residential,East,Low Access,Lalitpur,26,Sunakothi,3500000.0,9.0,33.0,31.0,2800.0,9500.0,900.0,2500.0,600.0,500.0,3300.0,2500.0,0.12780457668621606,0.0,0
Lalitpur,Residential,South-East,High Access,Mahalaxmi,5,Tikathali,4100000.0,5.0,13.0,32.0,300.0,4000.0,100.0,300.0,100.0,100.0,100.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,South-West,Low Access,Lalitpur,26,Nakhipot,4000000.0,5.5,20.0,36.0,2400.0,8900.0,700.0,2000.0,950.0,700.0,2700.0,2000.0,0.13155467320159442,0.0,1
Lalitpur,Residential,East,High Access,Mahalaxmi,7,Budget_Zone,2900000.0,6.0,10.0,36.0,800.0,10000.0,400.0,700.0,400.0,50.0,360.0,6000.0,0.11494673815138318,0.0,0
Lalitpur,Residential,South,High Access,Lalitpur,2,Sanepa,7800000.0,6.5,13.0,31.0,2500.0,8500.0,500.0,2500.0,1500.0,350.0,300.0,450.0,0.16362682551476665,0.0,0
Lalitpur,Residential,East,High Access,Godawari,2,Godawari,2500000.0,32.0,16.0,26.0,700.0,12000.0,300.0,1200.0,390.0,50.0,400.0,7000.0,0.11294574819586044,0.0,0
Lalitpur,Residential,East,High Access,Mahalaxmi,3,Godawari,2500000.0,4.0,16.0,26.0,400.0,12000.0,350.0,1200.0,200.0,300.0,500.0,7000.0,0.11294574819586044,0.0,0
Lalitpur,Semi-commercial,North,Low Access,Lalitpur,18,Bhaisepati,5500000.0,14.75,20.0,68.0,2500.0,12000.0,500.0,5000.0,2500.0,2000.0,1500.0,3000.0,0.12489538691450888,0.0,0
Lalitpur,Residential,South-East,High Access,Mahalaxmi,7,Budget_Zone,2600000.0,14.0,13.0,32.0,500.0,7000.0,100.0,400.0,500.0,100.0,200.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,West,High Access,Lalitpur,25,Bhaisepati,3500000.0,17.5,12.0,17.0,2700.0,9200.0,550.0,2500.0,800.0,200.0,1300.0,3100.0,0.12438615558006041,0.0,0
Lalitpur,Residential,South-West,Low Access,Unknown,7,Sanogaun,4300000.0,6.0,13.0,32.0,500.0,9600.0,500.0,1000.0,700.0,500.0,1700.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,East,Low Access,Godawari,14,Godawari,1400000.0,17.0,4.0,82.0,600.0,10000.0,300.0,1000.0,300.0,500.0,500.0,4000.0,0.12056473085830295,0.0,0
Lalitpur,Semi-commercial,South,High Access,Lalitpur,3,Dhobighat,4000000.0,4.0,16.0,47.0,2000.0,10000.0,500.0,3500.0,1000.0,150.0,2000.0,150.0,0.19931118704250333,0.0,0
Lalitpur,Residential,South,High Access,Lalitpur,23,Hattiban,4400000.0,4.0,10.0,32.0,200.0,8000.0,100.0,500.0,100.0,100.0,200.0,1500.0,0.13672620632778687,0.0,0
Lalitpur,Residential,South-East,High Access,Lalitpur,23,Hattiban,4700000.0,5.0,13.0,32.0,400.0,8000.0,100.0,500.0,100.0,100.0,200.0,1500.0,0.13672620632778687,0.0,1
Lalitpur,Residential,South,High Access,Mahalaxmi,1,Imadol,3100000.0,12.0,8.0,43.0,300.0,6000.0,100.0,600.0,200.0,300.0,400.0,400.0,0.16683457378359495,0.0,0
Lalitpur,Residential,South-East,Low Access,Mahalaxmi,6,Imadol,3200000.0,3.68,13.0,28.0,500.0,9000.0,300.0,1000.0,300.0,300.0,1200.0,3000.0,0.12489538691450888,0.0,1
Lalitpur,Commercial,South-West,High Access,Mahalaxmi,9,Lubhu,3300000.0,16.0,23.0,32.0,400.0,4000.0,100.0,200.0,200.0,100.0,200.0,5000.0,0.1174068144882187,23.0,1
Lalitpur,Residential,West,High Access,Lalitpur,23,Harisiddhi,4300000.0,4.0,13.0,27.0,300.0,10000.0,100.0,300.0,200.0,50.0,400.0,2000.0,0.13155467320159442,0.0,0
Lalitpur,Residential,North,High Access,Lalitpur,3,Dhobighat,5800000.0,4.25,8.0,25.0,2000.0,10000.0,500.0,3500.0,1500.0,50.0,400.0,50.0,0.25433477814404226,0.0,0
Lalitpur,Residential,South,Low Access,Godawari,6,Godawari,1700000.0,5.5,13.0,30.0,1000.0,12000.0,400.0,2000.0,600.0,400.0,1200.0,6000.0,0.11494673815138318,0.0,0
Lalitpur,Residential,South-East,High Access,Mahalaxmi,4,Imadol,4500000.0,3.5,16.0,32.0,300.0,4000.0,100.0,200.0,100.0,100.0,200.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,South-East,High Access,Mahalaxmi,4,Imadol,4800000.0,3.5,16.0,32.0,300.0,4000.0,100.0,200.0,100.0,100.0,200.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,South-East,High Access,Mahalaxmi,4,Imadol,4800000.0,4.31,16.0,32.0,400.0,4000.0,100.0,200.0,100.0,100.0,200.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,East,High Access,Mahalaxmi,8,Lubhu,2800000.0,4.0,13.0,32.0,400.0,12000.0,100.0,400.0,200.0,50.0,200.0,5000.0,0.1174068144882187,0.0,0
Lalitpur,Residential,South,High Access,Lalitpur,2,Sanepa,7200000.0,3.5,13.0,24.0,500.0,8000.0,300.0,300.0,100.0,200.0,200.0,4000.0,0.12056473085830295,0.0,0
Lalitpur,Residential,North-East,High Access,Lalitpur,28,Harisiddhi,2800000.0,4.0,13.0,30.0,500.0,12000.0,200.0,400.0,300.0,300.0,250.0,6000.0,0.11494673815138318,0.0,1
Lalitpur,Commercial,South-East,High Access,Godawari,5,Lele,1100000.0,50.0,13.0,78.0,2000.0,14000.0,200.0,8000.0,300.0,100.0,400.0,13500.0,0.10514673239601775,13.0,1
Lalitpur,Residential,North,High Access,Lalitpur,28,Harisiddhi,2400000.0,4.0,13.0,27.0,600.0,10000.0,200.0,400.0,200.0,50.0,100.0,4000.0,0.12056473085830295,0.0,0
Lalitpur,Residential,North-East,High Access,Mahalaxmi,4,Imadol,4800000.0,3.5,16.0,30.0,300.0,8000.0,100.0,400.0,100.0,50.0,200.0,2000.0,0.13155467320159442,0.0,1
Lalitpur,Residential,East,Low Access,Godawari,10,Godawari,1700000.0,4.0,13.0,29.0,1000.0,20000.0,100.0,800.0,100.0,100.0,600.0,6000.0,0.11494673815138318,0.0,0
Lalitpur,Semi-commercial,South-West,High Access,Lalitpur,15,Satdobato,7500000.0,11.0,14.0,41.0,1100.0,6800.0,200.0,400.0,300.0,150.0,650.0,150.0,0.19931118704250333,0.0,1
Lalitpur,Residential,South-East,Low Access,Mahalaxmi,4,Imadol,4900000.0,3.5,20.0,78.0,2000.0,4000.0,500.0,2000.0,400.0,300.0,500.0,2000.0,0.13155467320159442,0.0,1
Lalitpur,Residential,North,Low Access,Mahalaxmi,4,Imadol,2600000.0,4.0,13.0,46.0,1000.0,4000.0,2000.0,4000.0,500.0,500.0,500.0,5000.0,0.1174068144882187,0.0,0
Lalitpur,Residential,North-West,Low Access,Godawari,3,Godawari,1500000.0,8.0,13.0,39.0,1000.0,20000.0,100.0,460.0,200.0,150.0,600.0,8000.0,0.1112678527400893,0.0,1
Lalitpur,Commercial,West,High Access,Mahalaxmi,6,Imadol,4500000.0,6.5,23.0,28.0,200.0,16000.0,100.0,300.0,50.0,50.0,400.0,4000.0,0.12056473085830295,23.0,0
Lalitpur,Residential,East,High Access,Godawari,2,Godawari,1200000.0,16.0,20.0,28.0,1000.0,18000.0,300.0,400.0,350.0,50.0,350.0,8000.0,0.1112678527400893,0.0,0
Lalitpur,Semi-commercial,North-West,High Access,Lalitpur,19,Premium_Zone,8500000.0,10.0,10.0,23.0,750.0,6700.0,200.0,1000.0,200.0,150.0,1000.0,1400.0,0.13802733860642302,0.0,1
Lalitpur,Residential,North,Low Access,Godawari,13,Godawari,2200000.0,17.0,13.0,24.0,1000.0,18000.0,300.0,800.0,100.0,50.0,600.0,4000.0,0.12056473085830295,0.0,0
Lalitpur,Semi-commercial,North-East,Low Access,Mahalaxmi,8,Lubhu,4000000.0,8.0,24.0,52.0,200.0,12000.0,100.0,400.0,50.0,50.0,200.0,6000.0,0.11494673815138318,0.0,1
Lalitpur,Semi-commercial,South,High Access,Mahalaxmi,8,Lubhu,4000000.0,6.5,23.0,23.0,200.0,12000.0,100.0,400.0,100.0,50.0,400.0,6000.0,0.11494673815138318,0.0,0
Lalitpur,Residential,South-West,Low Access,Mahalaxmi,4,Imadol,4200000.0,4.37,13.0,78.0,600.0,5000.0,100.0,600.0,600.0,400.0,500.0,400.0,0.16683457378359495,0.0,1
Lalitpur,Residential,North-East,Low Access,Godawari,11,Godawari,1700000.0,15.0,16.0,26.0,1000.0,16000.0,500.0,1200.0,300.0,1000.0,800.0,10000.0,0.10857244172444135,0.0,1
Lalitpur,Commercial,North-West,High Access,Lalitpur,5,High_Zone,5500000.0,11.5,13.0,45.0,200.0,6000.0,50.0,200.0,100.0,50.0,100.0,200.0,0.18856166434639035,13.0,1
Lalitpur,Commercial,North-East,High Access,Mahalaxmi,6,Lubhu,3600000.0,7.5,22.0,78.0,500.0,6000.0,300.0,1500.0,500.0,500.0,800.0,5000.0,0.1174068144882187,22.0,1
Lalitpur,Residential,North-East,Low Access,Mahalaxmi,6,Lubhu,3300000.0,3.0,13.0,35.0,1000.0,5000.0,200.0,500.0,200.0,150.0,400.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,South-West,High Access,Mahalaxmi,9,Lamatar,3000000.0,4.5,16.0,30.0,600.0,5000.0,100.0,1500.0,400.0,100.0,300.0,5000.0,0.1174068144882187,0.0,1
Lalitpur,Residential,South,High Access,Godawari,13,Godawari,2000000.0,3.0,13.0,27.0,1000.0,12000.0,300.0,800.0,300.0,50.0,800.0,5000.0,0.1174068144882187,0.0,0
Lalitpur,Commercial,South,Low Access,Godawari,11,Godawari,1500000.0,44.0,20.0,33.0,2000.0,12000.0,700.0,5000.0,400.0,3000.0,900.0,800.0,0.14956936854011055,20.0,0
Lalitpur,Residential,South-East,High Access,Godawari,13,Jharuwarasi,2200000.0,10.0,16.0,30.0,600.0,14000.0,200.0,250.0,100.0,50.0,700.0,6000.0,0.11494673815138318,0.0,1
Lalitpur,Residential,South-East,High Access,Godawari,14,Godawari,2700000.0,41.0,16.0,27.0,400.0,10000.0,100.0,600.0,100.0,1000.0,50.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,East,High Access,Godawari,8,Godawari,2000000.0,3.25,13.0,29.0,1000.0,13000.0,400.0,800.0,200.0,200.0,600.0,6000.0,0.11494673815138318,0.0,0
Lalitpur,Residential,North,High Access,Godawari,4,Godawari,2400000.0,4.0,16.0,30.0,1000.0,13000.0,200.0,800.0,200.0,200.0,600.0,6000.0,0.11494673815138318,0.0,0
Lalitpur,Residential,South-East,High Access,Godawari,1,Godawari,1900000.0,3.5,16.0,28.0,1000.0,12000.0,400.0,1000.0,600.0,700.0,800.0,6000.0,0.11494673815138318,0.0,1
Lalitpur,Residential,North,High Access,Godawari,3,Godawari,2300000.0,8.0,16.0,48.0,400.0,13000.0,300.0,1000.0,50.0,100.0,600.0,6000.0,0.11494673815138318,0.0,0
Lalitpur,Residential,South,High Access,Mahalaxmi,9,Lubhu,1400000.0,7.0,16.0,28.0,300.0,10000.0,200.0,700.0,200.0,100.0,800.0,5000.0,0.1174068144882187,0.0,0
Lalitpur,Semi-commercial,South-West,High Access,Mahalaxmi,9,Lubhu,1800000.0,6.0,16.0,28.0,1000.0,10000.0,200.0,1000.0,400.0,50.0,1000.0,6000.0,0.11494673815138318,0.0,1
Lalitpur,Residential,North-East,High Access,Mahalaxmi,4,Imadol,4900000.0,5.0,20.0,30.0,300.0,4000.0,100.0,300.0,100.0,50.0,200.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,East,High Access,Mahalaxmi,9,Lamatar,2500000.0,4.187,10.0,28.0,2000.0,5000.0,100.0,1000.0,500.0,100.0,300.0,5000.0,0.1174068144882187,0.0,0
Lalitpur,Residential,East,High Access,Mahalaxmi,8,Lubhu,2800000.0,4.25,26.0,27.0,400.0,8000.0,200.0,600.0,200.0,100.0,1000.0,4000.0,0.12056473085830295,0.0,0
Lalitpur,Semi-commercial,West,High Access,Lalitpur,25,Bhaisepati,7200000.0,6.0,20.0,36.0,2500.0,9500.0,500.0,5000.0,550.0,700.0,1000.0,3000.0,0.12489538691450888,0.0,0
Lalitpur,Residential,South-East,High Access,Lalitpur,4,Dhobighat,5500000.0,7.75,13.0,50.0,1000.0,9500.0,500.0,2000.0,800.0,150.0,1500.0,150.0,0.19931118704250333,0.0,1
Lalitpur,Residential,South-West,Low Access,Lalitpur,23,Hattiban,4000000.0,4.12,13.0,30.0,1000.0,8400.0,700.0,2700.0,800.0,700.0,3000.0,2300.0,0.12918062259237034,0.0,1
Lalitpur,Residential,South-East,High Access,Lalitpur,18,Bhaisepati,5300000.0,8.68,10.0,58.0,650.0,10000.0,250.0,3400.0,650.0,200.0,750.0,1700.0,0.13442718359379177,0.0,1
Lalitpur,Residential,North-East,High Access,Mahalaxmi,3,Tikathali,4600000.0,5.25,13.0,30.0,400.0,8000.0,100.0,300.0,100.0,50.0,700.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,South-East,High Access,Mahalaxmi,8,Lubhu,2500000.0,4.0,20.0,32.0,500.0,5000.0,100.0,200.0,100.0,100.0,200.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,South-East,High Access,Mahalaxmi,5,Tikathali,3500000.0,4.5,13.0,32.0,500.0,4000.0,100.0,200.0,100.0,100.0,200.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,South-East,High Access,Mahalaxmi,5,Tikathali,4200000.0,4.5,13.0,32.0,500.0,4000.0,100.0,200.0,100.0,100.0,100.0,4000.0,0.12056473085830295,0.0,1
Lalitpur,Residential,North-West,Low Access,Mahalaxmi,7,Lubhu,3300000.0,3.5,16.0,29.0,2000.0,5000.0,400.0,500.0,400.0,50.0,80.0,5000.0,0.1174068144882187,0.0,1
Lalitpur,Residential,West,High Access,Mahalaxmi,4,Imadol,4200000.0,3.5,13.0,28.0,1000.0,9000.0,200.0,700.0,200.0,100.0,500.0,3000.0,0.12489538691450888,0.0,0
Lalitpur,Residential,North-West,Low Access,Lalitpur,26,Sunakothi,4700000.0,3.75,16.0,29.0,1700.0,9000.0,850.0,2800.0,550.0,850.0,3500.0,2900.0,0.12542628027641056,0.0,1
Lalitpur,Residential,East,Low Access,Godawari,4,Godawari,2000000.0,16.0,20.0,30.0,2000.0,8000.0,500.0,3000.0,500.0,1500.0,2000.0,600.0,0.1562843108887373,0.0,0
Lalitpur,Residential,South,High Access,Mahalaxmi,6,Mahalaxmi Nagarpalika,3800000.0,2.75,13.0,28.0,1000.0,8000.0,200.0,1000.0,200.0,50.0,1000.0,6000.0,0.11494673815138318,0.0,0
