district,property_type,property_face,road_type,municipality,ward_no,neighborhood,price_per_aana,land_size_aana,road_width_feet,facing_road_width,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,public_transport_m,police_station_m,ring_road_m,ring_road_proximity,comm_road_premium,is_corner_plot
Kathmandu,Residential,North,High Access,Kathmandu,31,Premium_Zone,7700000.0,3.5,10.0,30.0,500.0,1000.0,100.0,500.0,100.0,100.0,1700.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,South-West,Low Access,Kathmandu,3,Bansbari,5700000.0,10.5,13.0,55.0,300.0,6000.0,200.0,5000.0,800.0,300.0,800.0,5000.0,0.1174068144882187,0.0,1
Kathmandu,Residential,North-West,Low Access,Kageshwori Manohara,7,Kadaghari,5000000.0,7.25,10.0,53.0,1200.0,3500.0,300.0,3000.0,200.0,50.0,500.0,2500.0,0.12780457668621606,0.0,1
Kathmandu,Residential,South,Low Access,Kageshwori Manohara,7,Gothatar,3800000.0,3.5,13.0,40.0,4000.0,3200.0,200.0,5000.0,300.0,200.0,2000.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,South-West,Low Access,Kageshwori Manohara,7,Gothatar,4000000.0,4.5,13.0,40.0,4000.0,3200.0,200.0,5000.0,300.0,200.0,2000.0,4000.0,0.12056473085830295,0.0,1
Kathmandu,Semi-commercial,West,High Access,Budhanilkantha,6,Budhanilkantha,4000000.0,29.0,15.0,81.0,1500.0,9000.0,100.0,5000.0,100.0,200.0,90.0,3000.0,0.12489538691450888,0.0,0
Kathmandu,Residential,East,Low Access,Tokha,2,Megacity,2800000.0,3.5,13.0,30.0,2000.0,9000.0,500.0,2000.0,300.0,500.0,1000.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Residential,East,High Access,Tokha,3,Tokha,4400000.0,4.5,11.0,36.0,1000.0,8000.0,200.0,7000.0,200.0,100.0,1000.0,2500.0,0.12780457668621606,0.0,0
Kathmandu,Residential,North-East,Low Access,Tokha,5,Basundhara,6500000.0,6.0,11.0,55.0,100.0,4000.0,500.0,1000.0,100.0,100.0,1700.0,4000.0,0.12056473085830295,0.0,1
Kathmandu,Commercial,North,High Access,Budhanilkantha,2,Budhanilkantha,5500000.0,4.0,26.0,24.0,800.0,8000.0,300.0,3000.0,500.0,100.0,500.0,200.0,0.18856166434639035,26.0,0
Kathmandu,Residential,South,High Access,Budhanilkantha,2,Chapali,4500000.0,11.0,16.0,29.0,2500.0,8000.0,100.0,5000.0,500.0,200.0,1700.0,8000.0,0.1112678527400893,0.0,0
Kathmandu,Residential,East,Low Access,Tarkeshwor,1,Sangla,3000000.0,3.12,12.0,26.0,500.0,10000.0,500.0,3000.0,500.0,200.0,1000.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Commercial,North-East,High Access,Gokarneshwor,5,Boudha,6000000.0,5.0,14.0,28.0,300.0,7000.0,300.0,1000.0,400.0,50.0,500.0,4000.0,0.12056473085830295,14.0,1
