district,road_type,land_size_aana,price_per_aana,is_large_plot,road_width_feet,is_wide_road,facing,source,log_land,neighborhood_encoded,road_quality_score,neighborhood_x_district,plot_size_category,location_tier,large_plot_x_neighborhood
2,0,50.0,4000000.0,1,13.0,0,7,0,3.9318256327243257,15.289607009818557,1.0556229318461035,30.579214019637114,4,3,15.289607009818557
0,0,6.0,2000000.0,0,13.0,0,7,0,1.9459101490553128,14.189175111726222,1.0556229318461035,0.0,2,1,0.0
2,0,3.75,9500000.0,0,13.0,0,7,0,1.55814461804655,15.797351059185896,1.0556229318461035,31.594702118371792,1,5,0.0
2,0,5.0,5800000.0,0,13.0,0,7,0,1.791759469228055,15.371640665662255,1.0556229318461035,30.74328133132451,2,4,0.0
2,3,10.0,650000.0,0,13.0,0,7,0,2.3978952727983707,14.979781014302722,2.8556229318461033,29.959562028605443,2,2,0.0
1,0,2.5,7000000.0,0,13.0,0,7,0,1.252762968495368,15.797351059185896,1.0556229318461035,15.797351059185896,1,5,0.0
1,0,5.0,4700000.0,0,13.0,0,7,0,1.791759469228055,15.28609246171445,1.0556229318461035,15.28609246171445,2,3,0.0
2,0,6.6875,6200000.0,0,13.0,0,7,0,2.0395956331326364,15.060208134162949,1.0556229318461035,30.120416268325897,2,2,0.0
1,2,4.0,8000000.0,0,13.0,0,7,0,1.6094379124341005,15.797351059185896,2.255622931846103,15.797351059185896,1,5,0.0
2,2,3.0,6000000.0,0,13.0,0,7,0,1.3862943611198906,15.532087763001728,2.255622931846103,31.064175526003456,1,4,0.0
2,0,16.75,6700000.0,0,13.0,0,7,0,2.8763855159214247,15.797351059185896,1.0556229318461035,31.594702118371792,3,5,0.0
1,0,4.0,6500000.0,0,13.0,0,7,0,1.6094379124341005,15.28609246171445,1.0556229318461035,15.28609246171445,1,3,0.0
1,2,10.0,5000000.0,0,13.0,0,7,0,2.3978952727983707,15.28609246171445,2.255622931846103,15.28609246171445,2,3,0.0
1,0,4.0,3400000.0,0,13.0,0,7,0,1.6094379124341005,14.92072405500484,1.0556229318461035,14.92072405500484,1,2,0.0
1,3,12.0,8000000.0,0,13.0,0,7,0,2.5649493574615367,15.87869815835439,2.8556229318461033,15.87869815835439,3,5,0.0
2,1,22.0,650000.0,0,13.0,0,7,0,3.1354942159291497,14.437225574395764,1.6556229318461035,28.87445114879153,4,1,0.0
1,0,8.0,10000000.0,0,13.0,0,7,0,2.19722457733622,15.874151547270928,1.0556229318461035,15.874151547270928,2,5,0.0
1,2,3.0,5500000.0,0,13.0,0,7,0,1.3862943611198906,15.28609246171445,2.255622931846103,15.28609246171445,1,3,0.0
1,3,4.0,3500000.0,0,13.0,0,7,0,1.6094379124341005,14.854775753972746,2.8556229318461033,14.854775753972746,1,1,0.0
1,1,16.0,3500000.0,0,13.0,0,7,0,2.833213344056216,15.28609246171445,1.6556229318461035,15.28609246171445,3,3,0.0
0,0,3.0,9062500.0,0,13.0,0,7,0,1.3862943611198906,14.93902976140785,1.0556229318461035,0.0,1,2,0.0
1,0,50.0,1500000.0,1,13.0,0,7,0,3.9318256327243257,14.59429434363932,1.0556229318461035,14.59429434363932,4,1,14.59429434363932
1,0,4.0,4500000.0,0,13.0,0,7,0,1.6094379124341005,15.28609246171445,1.0556229318461035,15.28609246171445,1,3,0.0
2,0,4.0,5300000.0,0,13.0,0,7,0,1.6094379124341005,15.319816389610905,1.0556229318461035,30.63963277922181,1,3,0.0
0,0,16.0,2500000.0,0,13.0,0,7,0,2.833213344056216,14.871275810783608,1.0556229318461035,0.0,3,1,0.0
0,2,6.0,3500000.0,0,13.0,0,7,0,1.9459101490553128,15.720141408680858,2.255622931846103,0.0,2,4,0.0
1,1,2.5,3700000.0,0,13.0,0,7,0,1.252762968495368,15.01111633398688,1.6556229318461035,15.01111633398688,1,2,0.0
1,0,16.0,6000000.0,0,13.0,0,7,0,2.833213344056216,15.643758400258202,1.0556229318461035,15.643758400258202,3,4,0.0
1,2,34.0,1300000.0,0,13.0,0,7,0,3.555348061489413,14.59429434363932,2.255622931846103,14.59429434363932,4,1,0.0
1,3,3.0,4000000.0,0,13.0,0,7,0,1.3862943611198906,15.371640665662255,2.8556229318461033,15.371640665662255,1,4,0.0
2,2,4.0,4000000.0,0,13.0,0,7,0,1.6094379124341005,15.371640665662255,2.255622931846103,30.74328133132451,1,4,0.0
2,3,6.0,5500000.0,0,13.0,0,7,0,1.9459101490553128,15.371640665662255,2.8556229318461033,30.74328133132451,2,4,0.0
2,2,5.0,3990000.0,0,13.0,0,7,0,1.791759469228055,14.871275810783608,2.255622931846103,29.742551621567216,2,1,0.0
1,1,3.0,3600000.0,0,13.0,0,7,0,1.3862943611198906,14.871275810783608,1.6556229318461035,14.871275810783608,1,1,0.0
1,0,7.0,7000000.0,0,13.0,0,7,0,2.079441541679836,15.797351059185896,1.0556229318461035,15.797351059185896,2,5,0.0
1,0,8.0,4500000.0,0,13.0,0,7,0,2.19722457733622,15.371640665662255,1.0556229318461035,15.371640665662255,2,4,0.0
1,0,8.0,4500000.0,0,13.0,0,7,0,2.19722457733622,15.245256633717792,1.0556229318461035,15.245256633717792,2,2,0.0
1,3,19.3,7000000.0,0,13.0,0,7,0,3.0106208860477417,15.28609246171445,2.8556229318461033,15.28609246171445,3,3,0.0
1,3,24.0,2300000.0,0,13.0,0,7,0,3.218875824868201,14.904476029399897,2.8556229318461033,14.904476029399897,4,1,0.0
2,0,10.0,8500000.0,0,13.0,0,7,0,2.3978952727983707,15.415943755967746,1.0556229318461035,30.83188751193549,2,4,0.0
1,0,20.0,19000000.0,0,13.0,0,7,0,3.044522437723423,16.34044893073437,1.0556229318461035,16.34044893073437,3,5,0.0
1,0,12.5,6000000.0,0,13.0,0,7,0,2.602689685444384,15.797351059185896,1.0556229318461035,15.797351059185896,3,5,0.0
1,3,5.25,5500000.0,0,13.0,0,7,0,1.8325814637483104,15.371640665662255,2.8556229318461033,15.371640665662255,2,4,0.0
1,0,10.125,2100000.0,0,13.0,0,7,0,2.409194828052304,14.871275810783608,1.0556229318461035,14.871275810783608,3,1,0.0
1,0,4.5,6500000.0,0,13.0,0,7,0,1.7047480922384253,15.767583314110528,1.0556229318461035,15.767583314110528,2,5,0.0
1,3,5.875,4000000.0,0,13.0,0,7,0,1.927891643552635,15.315970225277846,2.8556229318461033,15.315970225277846,2,3,0.0
1,0,14.0,6500000.0,0,13.0,0,7,0,2.70805020110221,15.28609246171445,1.0556229318461035,15.28609246171445,3,3,0.0
0,0,4.25,5500000.0,0,13.0,0,7,0,1.6582280766035324,15.371640665662255,1.0556229318461035,0.0,2,4,0.0
1,2,6.0,5500000.0,0,13.0,0,7,0,1.9459101490553128,15.28609246171445,2.255622931846103,15.28609246171445,2,3,0.0
2,1,6.25,3500000.0,0,13.0,0,7,0,1.9810014688665836,14.871275810783608,1.6556229318461035,29.742551621567216,2,1,0.0
2,3,3.0,4500000.0,0,13.0,0,7,0,1.3862943611198906,15.371640665662255,2.8556229318461033,30.74328133132451,1,4,0.0
1,0,21.0,2500000.0,0,13.0,0,7,0,3.091042453358316,14.871275810783608,1.0556229318461035,14.871275810783608,4,1,0.0
1,0,3.1,7500000.0,0,13.0,0,7,0,1.410986973710262,14.970235115388723,1.0556229318461035,14.970235115388723,1,2,0.0
1,1,5.2,10000000.0,0,13.0,0,7,0,1.824549292051046,15.245256633717792,1.6556229318461035,15.245256633717792,2,2,0.0
2,0,6.0,3600000.0,0,13.0,0,7,0,1.9459101490553128,14.871275810783608,1.0556229318461035,29.742551621567216,2,1,0.0
1,3,8.0,5600000.0,0,13.0,0,7,0,2.19722457733622,15.556783369999732,2.8556229318461033,15.556783369999732,2,4,0.0
2,2,5.0,1080000.0,0,13.0,0,7,0,1.791759469228055,14.076963152141449,2.255622931846103,28.153926304282898,2,1,0.0
